DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,FT,DPTO,fex_c_2011
5418283,1,1,1,50,05,1,,,1,4,,2,2,2,2,2,,,,,,,,04,1,05,1353.0913745
5418283,1,2,1,50,05,1,,,2,6,PASEAR,2,1,,,,,,,,,,,04,1,05,1353.0913745
5418284,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1372.919943
5418284,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1372.919943
5418285,1,1,1,50,05,1,3,,1,4,,2,2,2,1,,,,,,,,1,04,1,05,1567.1085675
5418286,1,1,1,50,05,1,,,1,6,CAMINAR VER TELEVISION Y ESTAR EN TERAPIAS,2,2,2,2,1,11,,,,,,,04,1,05,1119.2244403
5418286,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,1119.2244403
5418286,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,04,1,05,1119.2244403
5418286,1,4,1,50,05,1,1,,4,3,,2,2,2,1,,,,,,,,1,04,1,05,1119.2244403
5418286,1,5,1,50,05,1,,,2,5,,,,,,,,,,,,,,04,1,05,1119.2244403
5418287,1,1,1,50,05,1,,,1,2,,1,,,,,,,,,,,,04,1,05,1633.6005594
5418287,1,2,1,50,05,1,3,,2,4,,2,2,2,1,,,,,,,,1,04,1,05,1633.6005594
5418287,1,5,1,50,05,1,1,,5,2,,2,2,2,1,,,,,,,,1,04,1,05,1633.6005594
5418288,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1332.3776062
5418289,1,1,1,50,05,1,2,,1,6,PASEAR,2,2,2,1,,,,,,,,1,04,1,05,1195.4017976
5418289,1,2,1,50,05,1,,,2,3,,2,2,2,2,2,,,,,,,,04,1,05,1195.4017976
5418290,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,767.04942154
5418290,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,767.04942154
5418290,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,04,1,05,767.04942154
5418290,2,1,2,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,767.04942154
5418290,2,2,2,50,05,1,,,2,4,,1,,,,,,,,,,,,04,1,05,767.04942154
5418291,1,1,1,50,05,1,,,1,6,CUIDADO DE ACCIDENTE,2,2,2,2,1,11,,,,,,,04,1,05,823.42519375
5418291,1,2,1,50,05,1,,,2,4,,1,,,,,,,,,,,,04,1,05,823.42519375
5418292,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,669.47817325
5418292,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,669.47817325
5418293,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,703.44176972
5418293,1,2,1,50,05,1,,,2,4,,1,,,,,,,,,,,,04,1,05,703.44176972
5418294,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,588.40864539
5418294,1,2,1,50,05,1,2,,2,2,,2,2,2,1,,,,,,,,1,04,1,05,588.40864539
5418294,1,3,1,50,05,1,,,1,3,,2,2,2,2,2,,,,,,,,04,1,05,588.40864539
5418294,1,5,1,50,05,1,,,5,6,VER TV ACOSTADA EN LA CAMA,2,2,2,2,2,,,,,,,,04,1,05,588.40864539
5418294,1,6,1,50,05,1,1,,6,4,,2,2,2,1,,,,,,,,1,04,1,05,588.40864539
5418294,1,7,1,50,05,1,,,7,1,,,,,,,,,,,,,,04,1,05,588.40864539
5418294,1,8,1,50,05,1,,,5,1,,,,,,,,,,,,,,04,1,05,588.40864539
5418295,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,795.36891079
5418295,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,795.36891079
5418295,1,4,1,50,05,1,,,4,4,,2,2,2,2,1,11,,,,,,,04,1,05,795.36891079
5418296,1,1,1,50,05,1,,,1,4,,2,2,2,2,2,,,,,,,,04,1,05,624.89448632
5418296,1,2,1,50,05,1,1,,2,2,,2,2,2,1,,,,,,,,1,04,1,05,624.89448632
5418297,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,688.9469488
5418297,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,688.9469488
5418297,1,3,1,50,05,1,,,1,4,,2,2,2,2,1,11,,,,,,,04,1,05,688.9469488
5418297,1,4,1,50,05,1,,,4,3,,2,2,2,2,2,,,,,,,,04,1,05,688.9469488
5418299,1,1,1,50,05,1,,,1,6,VER TELEVISION Y LEER,2,2,2,2,1,13,POR LA PANDEMIA,,,,,,04,1,05,1261.6035997
5418299,1,2,1,50,05,1,,,2,4,,2,2,2,2,1,13,PANDEMIA,,,,,,04,1,05,1261.6035997
5418299,1,3,1,50,05,1,2,,3,2,,2,2,2,1,,,,,,,,1,04,1,05,1261.6035997
5418300,1,1,1,50,05,1,,,1,5,,,,,,,,,,,,,,04,1,05,1250.9643622
5418300,1,2,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1250.9643622
5418300,1,3,1,50,05,1,,,3,4,,2,2,2,2,1,2,,2,,1,1,1,04,1,05,1250.9643622
5418300,1,4,1,50,05,1,,,4,3,,2,2,2,2,2,,,,,,,,04,1,05,1250.9643622
5418301,1,1,1,50,05,1,,,1,6,DILIGENCIAS PERSONALES,2,1,,,,,,,,,,,04,1,05,1318.2425782
5418302,1,1,1,50,05,1,,,1,6,DE PASEO,2,1,,,,,,,,,,,04,1,05,1318.2425782
5418303,1,1,1,50,05,1,,,1,4,,2,2,2,2,2,,,,,,,,04,1,05,1322.402051
5418303,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,1322.402051
