DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5422868,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,70,1582.4935816
5422869,1,1,1,80,2,1,4,,2,,,4,,2,,2,,2,,500000,2,1,04,2,70,984.40997418
5422871,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,1429.6330201
5422872,1,1,1,80,2,1,4,,2,,,8,,2,,2,,,,,2,1,04,4,70,814.73002567
5422873,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,1130.5699168
5422874,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,862.80549969
5422875,1,3,1,80,2,2,,,,2,,,.,2,,2,,2,,350000,2,1,04,,70,1630.1576651
5422876,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,1096.7814671
5423724,1,1,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,2,15,1288.0474653
5423725,1,1,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,1.3,15,1183.7519978
5423725,1,2,1,80,2,1,4,,2,,,8,,2,,2,,,,,2,1,04,4,15,1183.7519978
5423726,1,1,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,15,1183.7519978
5423726,1,2,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,15,1183.7519978
5423727,1,2,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,1478.9542786
5423727,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,1478.9542786
5423728,1,2,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,3249.9263677
5423729,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,3,15,1045.315836
5423730,1,2,1,80,2,1,1,,2,,,1,,2,,2,,,,,2,1,04,1.4,15,1493.9843118
5423730,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1493.9843118
5423731,1,1,1,80,2,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,15,1066.6992684
5423731,1,2,1,80,2,1,7,,2,,,11,,1,1,2,,,,,1,1,04,2,15,1066.6992684
5423732,1,1,1,80,2,1,6,,2,,,1,,2,,2,,,,,2,1,04,2,15,1398.6963321
5423732,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1398.6963321
5423732,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,1398.6963321
5423733,1,1,1,80,2,1,7,,2,,,8,,2,,2,,,,,2,1,04,2,15,1183.7519978
5423733,1,2,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,15,1183.7519978
5423734,1,2,1,80,2,1,3,,2,,,8,,2,,2,,,,,2,1,04,4,15,1288.0474653
5423735,1,3,1,80,2,1,2,,2,,,2,,2,,2,,,,,2,1,04,2,15,1721.6859079
5423735,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1721.6859079
5423736,1,1,1,80,2,1,7,,2,,,9,,2,,2,,1,40,1000000,2,1,04,2,15,1002.738608
5423736,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1002.738608
5423736,1,5,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,15,1002.738608
5423737,1,2,1,80,2,1,6,,2,,,1,,2,,2,,,,,2,1,04,1.4,15,905.1447517
5423737,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,905.1447517
5423738,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,15,1183.7519978
5423738,1,2,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,15,1183.7519978
5423739,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,3,15,1401.9315769
5423739,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1401.9315769
5423739,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1401.9315769
5423740,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1493.9843118
5423741,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,2,15,1020.672901
5423741,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,1020.672901
5423745,1,2,1,80,2,2,,,,2,,,.,2,,2,,2,,800000,2,1,04,,18,445.1183328
5423745,1,3,1,80,2,2,,,,2,,,.,2,,2,,1,40,800000,2,1,04,,18,445.1183328
5423745,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,445.1183328
5423747,1,1,1,80,2,2,,,,2,,,.,2,,2,,2,,300000,2,1,04,,18,644.59662378
5423748,1,1,1,80,2,1,4,,2,,,4,,2,,2,,2,,300000,2,1,04,2,18,307.08857791
5423749,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,644.59662378
5423749,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,644.59662378
5423750,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,18,222.05975176
5423751,1,1,1,80,2,1,7,,1,,1,9,,2,,2,,2,,600000,2,1,04,1.4,18,302.83936178
5423751,1,2,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,302.83936178
5423752,1,1,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,18,222.05975176
5423753,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,18,365.76882135
5423753,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,18,365.76882135
5423755,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,491.10314124
5423757,1,1,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,18,222.05975176
5423760,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,18,412.73420905
5423761,1,2,1,80,2,2,,,,2,,,.,2,,2,,2,,300000,2,1,04,,18,161.14915595
5423762,1,2,1,80,2,1,8,,2,,,9,,2,,2,,1,30,200000,2,1,04,2,18,315.51198751
5423762,1,3,1,80,2,2,,,,2,,,.,2,,2,,2,,400000,2,1,04,,18,315.51198751
5423762,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,315.51198751
5423763,1,2,1,80,2,1,8,,2,,,2,,2,,2,,1,30,500000,2,1,04,1.2,18,491.07062366
5423763,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,491.07062366
5423763,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,491.07062366
5423764,1,2,1,80,2,2,,,,2,,,.,2,,2,,1,40,300000,2,1,04,,18,464.57728291
5423767,1,2,1,80,2,1,8,,2,,,9,,2,,2,,1,40,500000,2,1,04,4,18,205.41991919
5423770,1,2,1,80,2,1,8,,2,,,1,,2,,2,,1,48,908526,2,1,04,3,18,185.90564222
5423770,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,18,185.90564222
5423770,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,18,185.90564222
5423772,1,1,1,80,2,1,4,,2,,,8,,2,,2,,,,,2,1,04,4,18,222.05975176
5423773,1,3,1,80,2,2,,,,2,,,.,2,,1,100000,,,,2,1,04,,18,336.68610169
5423774,1,2,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,332.15182008
5423774,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,332.15182008
