DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5422868,1,1,1,60,2,70,2,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,700000,1,8400000,3,,12,2,,,,,3,1,1,48,,.,48,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,35,4,,2,,,,,,,,3,14,,,2,,,,1,1,1,1,1,2,2,1,2,1,2,,2,1,2,2,2,2,2,1,9,,98,49,1,04,4,4921,700000,70,1582.4935816,
5422870,1,1,1,60,2,70,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,700000,1,6000000,3,,12,1,1,1,0,0,3,3,2,48,,.,48,,,2,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,60,4,,2,,,,,,,,10,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,5,,41,47,1,04,5,4711,700000,70,648.63726236,
5422870,1,2,1,60,2,70,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,600000,1,7500000,3,,12,1,1,1,0,0,3,3,2,42,,.,42,,,2,7,,2,,2,,,,1,,,,,,1,,,,2,2,1,0,36,1,,2,,,,,,,,5,3,8,,2,,,,1,1,1,1,2,2,2,2,1,2,2,,1,1,2,2,1,2,2,1,3,,51,56,1,04,5,5630,600000,70,648.63726236,
5422871,1,1,1,60,2,70,2,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,0,1,4500000,3,,12,2,,,,,2,3,2,40,,.,24,6,,1,8,,2,,2,,,,1,,,,,,1,,,,2,2,1,0,24,1,,1,70,20,4,,350000,1,8,9,3,45,2,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,9,,61,01,1,04,4,0112,350000,70,1429.6330201,
5422871,1,2,1,60,2,70,2,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,80000,1,1200000,3,,12,2,,,,,3,1,2,20,2,,20,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,12,4,,2,,,,,,,,3,14,,,2,,,,1,1,1,2,2,2,2,1,2,2,2,,2,1,2,2,2,2,2,1,3,,45,47,1,04,4,4729,80000,70,1429.6330201,
5422872,1,2,1,60,2,70,2,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,200000,1,2400000,3,,12,2,,,,,3,1,2,24,1,,24,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,11,1,,2,,,,,,,,1,14,,,1,20,2,1,1,1,1,1,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,1,9,,77,56,1,04,4,5619,200000,70,814.73002567,
5422872,1,3,1,60,2,70,1,1,,,1,,,1,2,2,2,4,,1,,2,400000,2,,,1,240000,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,45,,.,45,,,2,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,9,4,,2,,,,,,,,8,11,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,98,97,1,04,3,9700,640000,70,814.73002567,
5422873,1,1,1,60,2,70,2,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,900000,1,10000000,3,,12,2,,,,,3,10,2,46,,.,46,,,1,8,,2,,2,,,,1,,,,,,1,,,,2,2,2,,,,,1,70,18,4,,200000,1,8,,9,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,5,,64,03,1,04,4,0311,1100000,70,1130.5699168,
5422873,1,2,1,60,2,70,2,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,120000,1,1500000,3,,12,2,,,,,3,3,2,16,2,,16,,,1,1,,2,,2,,,,1,,,,,,1,,,,2,2,1,2,36,4,,2,,,,,,,,3,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,5,,45,56,1,04,4,5619,120000,70,1130.5699168,
5422874,1,1,1,60,2,70,2,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,2,,2,1000000,1,12000000,3,,12,1,1,0,0,1,3,10,2,54,,.,54,,,2,1,,2,,2,,,,1,,,,,,1,,,,2,2,1,0,8,3,,2,,,,,,,,10,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,9,,41,47,1,04,4,4711,1000000,70,862.80549969,
5422874,1,2,1,60,2,70,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,.,12,,,,,,,,,21,2,,21,,,2,1,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,45,47,1,04,6,4711,,70,862.80549969,
5422875,1,1,1,60,2,70,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,200000,1,4000000,1,,12,2,,,,,3,10,2,40,,.,40,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,6,4,,2,,,,,,,,3,14,,,2,,,,1,1,2,1,2,1,2,1,1,2,2,,1,1,2,2,1,2,2,1,5,,62,02,1,04,4,0220,200000,70,1630.1576651,
