DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,P5220,P5220S1,P6008,P6007,P6007S1,HOGAR,P4000,P4010,P4020,P4030S1,P4030S1A1,P4030S2,P4030S3,P4030S4,P4030S4A1,P4030S5,P4040,REGIS,CLASE,MES,DPTO,fex_c_2011
5422868,1,3,1,2,1,4,1,1,4,4,,,,80000,,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,4,2,,1,1,4,1,1,1,2,2,1,8,1,2,01,2,04,70,1582.4935816
5422869,1,1,1,6,,1,9,1,4,4,,,,80000,,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,1,1,5,1,1,1,2,2,1,8,2,,01,2,04,70,984.40997418
5422870,1,4,3,2,1,1,1,1,4,5,,,,150000,,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,1,3,5,2,,1,1,1,4,1,1,2,2,1,8,1,2,01,2,04,70,648.63726236
5422871,1,3,2,2,1,1,1,5,5,1,,,35000000,200000,,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,4,2,,1,1,1,2,1,1,2,2,1,8,1,2,01,2,04,70,1429.6330201
5422872,1,3,2,6,,3,1,5,5,1,,,30000000,150000,,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,4,2,,1,1,1,2,1,1,2,2,1,8,1,2,01,2,04,70,814.73002567
5422873,1,4,2,2,1,1,1,5,5,4,,,,150000,,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,3,4,2,,1,1,1,4,1,1,2,2,1,8,1,2,01,2,04,70,1130.5699168
5422874,1,4,2,2,1,4,10,5,5,4,,,,150000,,2,2,1,1,1,1,1,2,2,2,1,2,2,1,2,2,1,2,1,2,2,2,,4,2,,1,1,1,2,1,1,2,2,1,8,1,2,01,2,04,70,862.80549969
5422875,1,3,2,6,,1,1,5,5,5,,,,100000,,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,6,2,,1,1,1,2,1,1,2,2,1,8,1,2,01,2,04,70,1630.1576651
5422876,1,5,2,2,1,1,10,1,4,1,,,80000000,400000,,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,3,2,,1,1,1,4,1,1,2,2,1,8,1,2,01,2,04,70,1096.7814671
5423724,1,2,1,6,,4,4,1,5,4,,,,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,1,1,3,1,1,1,2,2,2,,2,,01,2,04,15,1288.0474653
5423725,1,3,2,2,1,4,4,1,4,1,,,20000000,100000,,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,1,4,1,1,2,2,2,,2,,01,2,04,15,1183.7519978
5423726,1,2,1,3,1,4,6,1,5,4,,,,150000,,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,1,2,1,2,2,2,2,,2,,01,2,04,15,1183.7519978
5423727,1,2,1,3,1,4,4,1,5,3,,,,,150000,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,2,,1,1,1,4,1,2,2,2,2,,2,,01,2,04,15,1478.9542786
5423728,1,3,2,2,1,4,6,1,5,4,,,,250000,,2,1,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,7,2,,1,1,1,4,1,2,2,1,2,,2,,01,2,04,15,3249.9263677
5423729,1,3,1,2,1,4,4,1,4,4,,,,100000,,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,1,1,2,1,2,2,2,2,,2,,01,2,04,15,1045.315836
5423730,1,3,2,2,1,4,6,1,4,2,,400000,99,200000,,2,1,1,2,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,3,3,2,,1,1,1,2,1,2,2,1,2,,2,,01,2,04,15,1493.9843118
5423731,1,3,1,2,1,5,4,1,4,1,,,60000000,400000,,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,,1,1,1,4,1,2,2,2,2,,2,,01,2,04,15,1066.6992684
5423732,1,3,2,2,1,4,6,1,5,3,,,,,120000,2,2,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,4,2,,1,1,1,4,1,2,2,2,2,,2,,01,2,04,15,1398.6963321
5423733,1,3,2,2,1,4,6,1,5,1,,,40000000,150000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,,1,1,1,2,1,2,2,2,2,,2,,01,2,04,15,1183.7519978
5423734,1,3,2,2,1,1,1,1,4,1,,,99,300000,,2,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,,1,1,1,4,1,2,2,2,1,1,1,2,01,2,04,15,1288.0474653
5423735,1,4,3,2,1,1,1,1,5,3,,,,,500000,2,1,1,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,1,5,5,2,,1,1,1,4,1,2,2,2,1,1,1,2,01,2,04,15,1721.6859079
5423736,1,5,4,2,1,4,1,1,4,2,,650000,200000000,650000,,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,4,5,2,,1,1,1,4,1,2,2,2,1,1,1,2,01,2,04,15,1002.738608
5423737,1,5,3,2,1,1,1,1,4,4,,,,600000,,2,1,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,1,2,2,2,1,4,4,2,,1,1,1,4,1,2,2,2,1,1,1,2,01,2,04,15,905.1447517
5423738,1,3,1,2,1,1,1,1,4,1,,,40000000,200000,,2,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,1,1,1,4,1,2,2,2,1,1,1,2,01,2,04,15,1183.7519978
5423739,1,4,3,2,1,1,1,1,4,4,,,,300000,,2,1,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,1,5,5,2,,1,1,1,4,1,2,2,2,1,1,1,2,01,2,04,15,1401.9315769
5423740,1,3,2,2,1,1,1,1,4,1,,,35000000,300000,,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,3,3,2,,1,1,1,4,1,2,2,2,1,1,1,2,01,2,04,15,1493.9843118
5423741,1,4,2,2,1,1,1,1,4,1,,,99,300000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,3,2,,1,1,1,4,1,2,2,2,1,1,1,2,01,2,04,15,1020.672901
5423742,1,3,2,2,1,1,4,1,3,3,,,,,180000,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,640.16843663
5423745,1,4,2,2,1,1,4,1,3,4,,,,300000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,4,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,445.1183328
5423746,1,2,1,2,1,1,4,1,4,3,,,,,75000,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,1,2,1,1,2,2,1,3,2,,01,2,04,18,400.06158332
5423747,1,2,1,2,1,1,4,1,3,3,,,,,50000,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,644.59662378
5423748,1,2,1,2,2,1,4,1,3,1,,,5000000,60000,,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,2,5,2,1,1,1,2,1,3,2,,01,2,04,18,307.08857791
5423749,1,5,2,2,1,1,4,1,3,1,,,10000000,150000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,4,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,644.59662378
5423750,1,3,1,2,1,1,3,1,3,1,,,15000000,250000,,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,,1,1,5,2,1,1,1,2,1,3,2,,01,2,04,18,222.05975176
5423751,1,1,1,2,1,1,3,1,4,4,,,,150000,,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,1,2,2,,1,1,5,2,1,1,2,2,1,3,2,,01,2,04,18,302.83936178
5423752,1,3,1,2,1,1,3,1,3,1,,,18000000,200000,,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,222.05975176
5423753,1,3,2,2,1,1,3,1,3,1,,,16000000,200000,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,365.76882135
5423755,1,4,3,2,1,1,3,1,3,1,,,7000000,80000,,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,2,2,1,4,6,2,,1,1,5,2,1,1,1,2,1,3,2,,01,2,04,18,491.10314124
5423756,1,2,1,2,1,1,4,1,3,1,,,5000000,70000,,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,,1,1,5,2,1,1,1,2,1,3,2,,01,2,04,18,307.08857791
