DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,RAMA4D_D_R4,MES,DPTO,fex_c_2011
5418285,1,1,1,70,05,54,48,1,,2,54,1,,4,2,1,,,,,,,,,,,1,2,,908536,2,,14,03,03,1,2,1410,04,05,1567.1085675
5418286,1,4,1,70,05,12,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,97,,1,1,.,04,05,1119.2244403
5418287,1,2,1,70,05,12,30,1,,2,54,1,,5,2,4,,,,,,,,,,,1,2,,1200000,2,,14,53,55,1,1,1410,04,05,1633.6005594
5418287,1,5,1,70,05,24,48,3,,2,2,4,,1,2,4,,,,,,,,,,,1,1,35000,1000000,2,,85,54,13,1,2,8559,04,05,1633.6005594
5418289,1,1,1,70,05,24,60,1,,2,24,1,,7,2,1,,,,,,,,,,,1,2,,3500000,2,,68,21,21,1,2,6820,04,05,1195.4017976
5418294,1,2,1,70,05,12,48,1,,2,120,4,,9,2,1,,,,,,,,,,,1,2,,908526,2,,53,39,97,1,1,5320,04,05,588.40864539
5418294,1,6,1,70,05,4,48,1,,2,36,1,,4,2,1,,,,,,,,,,,1,2,,908526,2,,22,97,97,1,1,2229,04,05,588.40864539
5418296,1,2,1,70,05,52,48,1,,2,12,1,,3,2,1,,,,,,,,,,,1,2,,908526,2,,15,80,80,1,2,1522,04,05,624.89448632
5418299,1,3,1,70,05,48,48,1,,2,48,1,,9,2,1,,,,,,,,,,,1,2,,2000000,2,,61,03,03,1,2,6110,04,05,1261.6035997
5418300,1,3,1,70,05,2,48,1,,2,24,1,,9,2,4,,,,,,,,,,,1,2,,1500000,2,,92,70,21,1,1,9200,04,05,1250.9643622
5418303,1,5,1,70,05,4,48,1,,2,4,1,,9,2,1,,,,,,,,,,,1,1,908526,908526,2,,86,39,39,1,1,8621,04,05,1322.402051
5418306,1,4,1,70,05,1,48,1,,2,8,1,,6,2,1,,,1,,,,,,,,,1,600000,1800000,1,2,56,05,53,1,1,5611,04,05,1291.2165093
5418310,1,1,1,70,05,52,24,3,,1,,,,,,,,.,,,,,,,,.,,,,600000,,,,54,,1,2,.,04,05,1160.076019
5418315,1,1,1,70,05,120,48,1,,2,52,1,,9,2,2,,,,,,,,,,,1,2,,908526,2,,47,45,45,1,2,4752,04,05,1372.919943
5418318,1,5,1,70,05,60,48,1,,2,108,1,,4,2,1,,,,,,,,,,,1,2,,1000000,2,,41,03,95,1,2,4112,04,05,1117.140101
5418343,1,7,1,70,05,8,48,1,,2,8,1,,2,2,8,,,,,,,,,,,1,2,,908526,2,,56,53,53,1,1,5611,04,05,2432.2119752
5418343,1,11,1,70,05,8,48,1,,2,72,1,,4,2,4,,,,,,,,,,,1,2,,908526,2,,56,53,53,1,1,5611,04,05,2432.2119752
5418344,1,2,1,70,05,28,48,1,,2,28,1,,9,2,2,,,,,,,,,,,1,2,,908000,2,,92,45,45,1,2,9200,04,05,1372.919943
5418350,1,2,1,70,05,52,48,1,,2,48,1,,9,2,1,,,,,,,,,,,1,2,,908000,2,,41,95,95,1,2,4112,04,05,1338.9563465
5418355,1,4,1,70,05,24,48,4,,2,24,4,,1,2,1,,,,,,,,,,,1,2,,908526,2,,90,17,17,1,2,9007,04,05,1397.4343968
5418356,1,1,1,70,05,52,48,1,,2,12,4,,1,2,3,,,,,,,,,,,1,2,,908000,2,,96,33,59,1,2,9609,04,05,1205.9133027
5418361,1,3,1,70,05,6,48,1,,2,6,1,,4,2,2,,,,,,,,,,,1,2,,908526,2,,96,39,39,1,1,9609,04,05,1272.4052945
5418367,1,1,1,70,05,6,60,1,,2,6,1,,4,2,8,,,,,,,,,,,1,2,,908526,2,,41,95,95,1,1,4111,04,05,1285.6551226
5418367,1,2,1,70,05,12,48,1,,1,,,,,,,,.,,,,,,,,.,,,,720000,,,,45,,1,1,.,04,05,1285.6551226
5418370,1,2,1,70,05,52,48,1,,2,52,1,,4,2,2,,,,,,,,,,,1,2,,908526,2,,56,33,53,1,2,5611,04,05,1496.3345611
5418375,1,1,1,70,05,12,48,1,,2,12,1,,3,2,1,,,,,,,,,,,1,2,,1300000,2,,07,71,71,1,1,0722,04,05,1115.6009174
5418375,1,2,1,70,05,65,48,1,,2,104,1,,4,2,1,,,,,,,,,,,1,2,,908526,2,,47,45,45,1,2,4719,04,05,1115.6009174
5418379,1,2,1,70,05,12,48,3,,2,56,1,,4,2,2,,,,,,,,,,,1,2,,908526,2,,14,54,79,1,1,1410,04,05,1612.886791
5418416,1,1,1,70,17,4,48,4,,2,3,4,,2,2,2,,,,,,,,,,,1,1,99,1200000,2,,95,97,03,1,1,9522,04,17,174.1245783
5418421,1,4,1,70,17,4,48,1,,2,3,4,,2,2,1,,,,,,,,,,,1,1,180000,1014980,2,,43,93,93,1,1,4330,04,17,390.58227353
5418422,1,1,1,70,17,8,48,1,,2,8,4,,1,2,1,,,,,,,,,,,1,2,,98,2,,43,03,03,1,1,4321,04,17,373.27531037
5418423,1,2,1,70,17,60,48,1,,2,60,1,,5,2,1,,,1,,,,,,,,,2,,1500000,2,,87,19,19,1,2,8730,04,17,110.07325975
5418431,1,4,1,70,17,6,48,1,,2,6,4,,2,2,1,,,1,,,,,,,,,2,,1100000,2,,47,34,40,1,1,4711,04,17,117.860204
5418436,1,5,1,70,17,8,48,1,,2,1,4,,1,2,1,,,,,,,,,,,1,2,,1000000,2,,41,95,95,1,1,4112,04,17,196.50409694
5418440,1,2,1,70,17,12,48,1,,2,12,1,,6,2,2,,,,,,,,,,,1,2,,1300000,2,,68,70,34,1,1,6810,04,17,240.56954151
5418443,1,2,1,70,17,20,48,1,,2,20,1,,1,2,1,,,,,,,,,,,1,2,,1014980,2,,81,45,55,1,2,8121,04,17,163.8821452
5418446,1,1,1,70,17,48,48,3,,2,48,3,,1,2,2,,,,,,,,,,,1,2,,908526,2,,97,54,54,1,2,9700,04,17,178.74434904
5418447,1,2,1,70,17,12,48,1,,2,12,1,,2,2,1,,,,,,,,,,,1,2,,908526,2,,43,93,93,1,1,4330,04,17,120.97626286
5418447,1,5,1,70,17,48,48,1,,2,48,1,,4,2,1,,,,,,,,,,,1,2,,908526,2,,41,95,95,1,2,4111,04,17,120.97626286
5418451,1,1,1,70,17,6,48,1,,2,6,1,,4,2,1,,,1,,,,,,,,,2,,1500000,1,1,64,44,33,1,1,6412,04,17,148.07889393
5418509,1,2,1,70,23,20,48,1,,2,20,1,,3,2,1,,,,,,,,,,,1,2,,700000,2,,56,53,53,1,2,5619,04,23,149.77743859
5418561,1,1,1,70,50,3,45,4,,2,3,4,,8,2,1,,,1,,,,,,,,,1,1800000,2000000,1,1,42,02,02,1,1,4210,04,50,359.12312698
5418562,1,2,1,70,50,2,48,1,,2,2,1,,3,2,3,,,,,,,,,,,1,1,800000,1000000,2,,41,95,95,1,1,4111,04,50,311.81494341
5418562,1,3,1,70,50,3,48,1,,2,3,1,,3,2,1,,,,,,,,,,,1,1,900000,908000,2,,56,53,53,1,1,5611,04,50,311.81494341
5418568,1,1,1,70,50,104,48,1,,2,104,4,,1,2,1,,,,,,,,,,,1,2,,1200000,2,,31,81,81,1,2,3110,04,50,252.40845771
5418571,1,2,1,70,50,3,48,4,,2,3,4,,1,2,2,,,,,,,,,,,1,1,1000000,1000000,2,,73,92,92,1,1,7310,04,50,231.68512085
5418572,1,1,1,70,50,4,48,1,,2,4,1,,7,2,7,,,,,,,,,,,1,1,920000,1500000,2,,47,98,98,1,1,4773,04,50,359.12312698
5418572,1,2,1,70,50,12,48,1,,2,12,4,,1,2,6,,,,,,,,,,,1,2,,1000000,2,,47,07,41,1,1,4719,04,50,359.12312698
5418573,1,3,1,70,50,24,24,1,,2,36,4,,1,2,1,,,,,,,,,,,1,2,,500000,2,,47,45,45,1,2,4759,04,50,161.19397294
5418584,1,2,1,70,50,28,48,1,,1,,,,,,,,.,,,,,,,,.,,,,1200000,,,,11,,1,2,.,04,50,274.81253576
5418595,1,2,1,70,52,17,40,1,,2,17,4,,9,2,2,,,,,,,,,,,1,2,,908526,2,,84,06,06,1,2,8412,04,52,155.1316868
5418602,1,3,1,70,52,8,48,1,,2,4,1,,2,2,1,,,,,,,,,,,1,1,200000,600000,2,,47,45,45,1,1,4771,04,52,532.04431688
5418603,1,2,1,70,52,52,20,1,,2,60,4,,9,2,7,,,,,,,,,,,1,2,,1500000,2,,84,12,12,1,2,8412,04,52,282.46109872
5418611,1,3,1,70,52,52,40,4,,2,52,4,,1,2,1,,,,,,,,,,,1,1,30000,2000000,2,,43,03,03,1,2,4321,04,52,181.37379981
5418622,1,2,1,70,54,52,48,1,,2,104,4,,1,2,8,,,,,,,,,,,1,2,,908000,2,,96,39,57,1,2,9602,04,54,242.04721281
5418624,1,1,1,70,54,8,45,4,,2,8,4,,1,2,1,,,,,,,,,,,1,2,,900000,2,,81,55,55,1,1,8121,04,54,388.64464985
5418625,1,1,1,70,54,15,48,4,,2,18,4,,1,2,7,,,,,,,,,,,1,2,,800000,2,,14,79,74,1,2,1410,04,54,647.27738316
5418625,2,1,2,70,54,24,48,4,,2,24,4,,1,2,7,,,,,,,,,,,1,2,,600000,2,,14,79,79,1,2,1410,04,54,647.27738316
5418627,1,3,1,70,54,2,40,4,,2,2,4,,1,2,1,,,,,,,,,,,1,1,900000,900000,2,,49,98,98,1,1,4921,04,54,270.61735062
5418627,1,4,1,70,54,4,48,3,,2,4,3,,1,2,1,,,,,,,,,,,1,1,600000,900000,2,,97,54,54,1,1,9700,04,54,270.61735062
5418627,1,5,1,70,54,12,40,1,,1,,,,,,,,.,,,,,,,,.,,,,1000000,,,,44,,1,1,.,04,54,270.61735062
5418627,1,6,1,70,54,2,40,4,,2,2,4,,1,2,1,,,,,,,,,,,1,1,1000000,1200000,2,,49,98,98,1,1,4921,04,54,270.61735062
5418628,1,2,1,70,54,12,48,1,,1,,,,,,,,.,,,,,,,,.,,,,950000,,,,33,,1,1,.,04,54,406.32270111
5418629,1,1,1,70,54,13,48,3,,2,18,4,,1,2,1,,,,,,,,,,,1,2,,800000,2,,81,54,55,1,1,8121,04,54,389.26398319
5418630,1,1,1,70,54,4,48,4,,2,36,4,,1,2,4,,,,,,,,,,,1,2,,500000,2,,81,55,55,1,1,8121,04,54,341.15560913
5418630,1,3,1,70,54,12,48,1,,1,,,,,,,,.,,,,,,,,.,,,,1200000,,,,59,,1,1,.,04,54,341.15560913
5418633,1,1,1,70,54,8,48,1,,2,8,1,,2,2,1,,,,,,,,,,,1,2,,1200000,2,,47,45,45,1,1,4773,04,54,489.04233642
5418635,1,2,1,70,54,30,48,4,,1,,,,,,,,.,,,,,,,,.,,,,908000,,,,45,,1,2,.,04,54,229.38887852
5418639,1,6,1,70,54,6,48,1,,2,8,1,,2,2,1,,,,,,,,,,,1,2,,1000000,2,,41,95,95,1,1,4111,04,54,346.17532611
5418641,1,2,1,70,54,2,48,4,,2,2,4,,1,2,1,,,,,,,,,,,1,1,600000,800000,2,,52,97,97,1,1,5224,04,54,330.76472563
5418646,1,1,1,70,54,4,48,4,,2,4,4,,1,2,1,,,,,,,,,,,1,2,,1014980,2,,15,80,80,1,1,1522,04,54,352.73722987
5418646,1,3,1,70,54,4,48,1,,2,4,4,,1,2,1,,,,,,,,,,,1,2,,1014980,2,,15,45,80,1,1,1522,04,54,352.73722987
5418648,1,2,1,70,54,2,60,1,,2,4,4,,1,2,1,,,,,,,,,,,1,2,,900000,2,,47,45,41,1,1,4772,04,54,471.99099614
5418649,1,1,1,70,54,12,24,4,,2,36,4,,1,2,1,,,,,,,,,,,1,2,,1014980,2,,81,55,55,1,1,8121,04,54,477.46071569
5418653,1,4,1,70,54,12,48,4,,2,12,4,,9,2,1,,,1,,,,,,,,,2,,1500000,1,1,85,13,13,1,1,8544,04,54,391.96151518
5418660,1,3,1,70,54,12,48,1,,2,12,1,,2,2,1,,,,,,,,,,,1,2,,700000,2,,41,95,95,1,1,4111,04,54,278.05250393
5418662,1,3,1,70,54,12,40,4,,2,12,1,,5,2,4,,,,,,,,,,,1,2,,908526,2,,73,95,95,1,1,7310,04,54,361.3631204
5418663,1,3,1,70,54,52,48,1,,2,52,1,,5,2,1,,,,,,,,,,,1,2,,908000,2,,85,13,13,1,2,8530,04,54,617.62984992
5418665,1,3,1,70,54,8,40,1,,2,12,1,,9,2,4,,,,,,,,,,,1,2,,1500000,2,,06,02,02,1,1,0610,04,54,342.34634636
5418669,1,1,1,70,54,52,48,4,,2,52,4,,1,2,1,,,,,,,,,,,1,2,,908000,2,,14,45,79,1,2,1410,04,54,324.16709205
5418675,1,3,1,70,54,52,48,4,,2,52,4,,1,2,1,,,,,,,,,,,1,2,,500000,2,,13,59,59,1,2,1313,04,54,465.97696609
5418811,1,2,1,70,68,48,48,1,,2,48,1,,4,2,1,,,,,,,,,,,1,2,,800000,2,,15,80,80,1,2,1522,04,68,989.23886033
5418823,1,2,1,70,68,12,48,1,,2,104,1,,3,2,1,,,,,,,,,,,1,2,,980000,2,,56,58,53,1,1,5611,04,68,968.91618826
5418826,1,2,1,70,68,52,48,1,,2,52,4,,1,2,2,,,,,,,,,,,1,2,,900000,2,,55,55,54,1,2,5590,04,68,471.01460874
5418827,1,2,1,70,68,16,48,1,,2,200,1,,3,2,1,,,,,,,,,,,1,2,,908526,2,,56,45,53,1,2,5619,04,68,821.18376723
5418829,1,3,1,70,68,16,48,1,,2,16,1,,4,2,1,,,,1,,,,,,,,2,,1200000,1,2,85,13,13,1,2,8530,04,68,540.88454532
