DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5418283,1,1,1,80,05,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,05,1353.0913745
5418286,1,1,1,80,05,1,4,,2,,,4,,1,2,2,,2,,908536,1,1,04,2,05,1119.2244403
5418286,1,2,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,05,1119.2244403
5418286,1,5,1,80,05,1,4,,2,,,8,,2,,2,,,,,2,1,04,4,05,1119.2244403
5418289,1,2,1,80,05,1,8,,2,,,2,,2,,2,,,,,2,1,04,2,05,1195.4017976
5418291,1,1,1,80,05,1,9,CIERRE DE EMPRESA POR PANDEMIA,2,,,4,,2,,2,,2,,908526,2,1,04,2,05,823.42519375
5418294,1,3,1,80,05,2,,,,2,,,.,,,2,,,,,,1,04,,05,588.40864539
5418294,1,5,1,80,05,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,05,588.40864539
5418295,1,4,1,80,05,1,4,,2,,,4,,2,,2,,2,,908526,2,1,04,4,05,795.36891079
5418296,1,1,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,05,624.89448632
5418297,1,2,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,05,688.9469488
5418297,1,3,1,80,05,1,6,,2,,,4,,2,,2,,1,48,908526,2,1,04,3,05,688.9469488
5418297,1,4,1,80,05,1,8,,2,,,2,,2,,2,,,,,2,1,04,1.3,05,688.9469488
5418299,1,1,1,80,05,1,5,,2,,,12,POR LA PANDEMIA,3,,2,,1,48,2000000,3,1,04,2,05,1261.6035997
5418299,1,2,1,80,05,2,,,,2,,,.,2,,2,,2,,1000000,2,1,04,,05,1261.6035997
5418300,1,1,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,04,,05,1250.9643622
5418300,1,4,1,80,05,1,2,,2,,,2,,2,,2,,,,,2,1,04,3,05,1250.9643622
5418303,1,1,1,80,05,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,05,1322.402051
5418303,1,2,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,04,,05,1322.402051
5418303,1,4,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,04,,05,1322.402051
5418304,1,1,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,04,,05,1353.0913745
5418305,1,2,1,80,05,1,6,,1,,3,8,,1,,2,,,,,2,1,04,4,05,1350.7709735
5418306,1,1,1,80,05,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,05,1291.2165093
5418306,1,2,1,80,05,1,5,,2,,,11,,3,,2,,,,,3,1,04,4,05,1291.2165093
5418307,1,3,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,04,,05,1512.3721426
5418308,1,1,1,80,05,1,8,,2,,,11,,3,,2,,,,,3,1,04,4,05,624.89448632
5418308,1,2,1,80,05,1,5,,2,,,11,,3,,2,,,,,3,1,04,4,05,624.89448632
5418309,1,1,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,05,1291.2165093
5418309,1,2,1,80,05,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,05,1291.2165093
