DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,P6430,RAMA4D_R4,INGLABO,MES,DPTO,fex_c_2011,RAMA4DP8_R4
5418283,1,2,1,60,05,5,2,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2021,2,3500000,1,,3,,12,1,1,1,0,0,3,4,2,48,,.,0,3,,2,7,,1,,2,,,,1,,,,,,,,,1,2,2,1,12,24,4,,2,,,,,,,,3,8,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,41,47,1,5,4772,3500000,04,05,1353.0913745,
5418284,1,1,1,60,05,27,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,200000,1,,3,,7,2,,,,,3,1,2,60,,.,20,5,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,5,7,4,,2,,,,,,,,3,15,30,2,1,48,1,1,1,1,1,1,2,1,1,1,1,1,1,TENER PRESTACIONES SOCIALES,1,1,2,2,2,2,2,2,3,,71,08,1,4,0811,200000,04,05,1372.919943,
5418284,1,2,1,60,05,5,1,2,2,2,1,,,1,1,2,1,1,,3,,1,908526,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,600000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,7,,,,,,,,,45,,.,27,2,,7,1,,1,,1,2,1,6,1,1,,,,,,,,,1,1,1,5,27,1,,2,,,,,,,,3,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,44,69,1,1,6910,908526,04,05,1372.919943,
5418286,1,3,1,60,05,5,1,2,1,,1,,,1,1,2,1,3,,1,,2,908526,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,3,,,,,,,,,48,,.,24,2,,6,7,,1,,1,1,1,2,1,1,,,,,,,,,1,1,1,9,18,1,,2,,,,,,,,1,11,18,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,2,8,,33,59,1,1,5914,908526,04,05,1119.2244403,
5418287,1,1,1,60,05,5,2,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,800000,1,,3,,12,2,,,,,3,1,1,72,,.,10,6,,1,6,,11,,2,,,,1,,,,,,,,,1,2,2,1,0,12,1,,2,,,,,,,,3,2,60,2,1,40,1,1,1,1,1,1,2,1,2,2,2,2,2,,1,1,2,2,2,2,2,1,8,,02,45,1,4,4520,800000,04,05,1633.6005594,
5418288,1,1,1,60,05,5,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,1200000,1,,3,,12,2,,,,,3,3,2,48,,.,30,2,,1,5,,1,,2,,,,1,,,,,,,,,1,2,2,1,0,54,1,,2,,,,,,,,2,3,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,45,47,1,4,4799,1200000,04,05,1332.3776062,
5418290,1,1,1,60,05,5,2,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2021,2,2000000,1,,3,,12,1,1,0,0,1,3,5,2,78,,.,50,7,TOQUE DE QUEDA,2,7,,3,,2,,,,1,,,,,,,,,1,2,2,1,2,2,1,,2,,,,,,,,1,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,45,47,1,4,4711,2000000,04,05,767.04942154,
5418290,1,2,1,60,05,5,2,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,28,7,TOQUE DE QUEDA,2,7,,3,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,45,47,1,6,4711,,04,05,767.04942154,
5418290,1,3,1,60,05,5,1,2,1,,1,,,2,1,2,1,12,,1,,2,1300000,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,1,1250000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,30,7,SEMANA SANTA,7,7,,1,,1,1,1,6,1,1,,,,,,,,,1,1,1,3,5,1,,2,,,,,,,,1,11,40,,2,,,,1,1,1,1,1,2,2,1,1,1,2,,1,1,2,2,2,2,1,1,3,,03,71,1,1,7120,1300000,04,05,767.04942154,
5418290,2,1,2,60,05,5,1,2,2,12,1,,,1,1,2,1,84,,1,,2,1300000,2,,,1,96000,2,,1,156000,2,,2,,,1,106454,2,1,38400,2,2,,,2,,,2,,,1,1050000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,40,2,,9,7,,1,,1,1,1,15,1,1,,,,,,,,,1,1,1,0,84,1,,2,,,,,,,,3,7,45,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,5,,03,10,1,1,1040,1396000,04,05,767.04942154,
5418290,2,2,2,60,05,5,2,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,80000,1,,3,,5,2,,,,,3,11,2,16,2,,10,6,,1,1,,3,,2,,,,1,,,,,,,,,1,2,2,1,60,24,1,,2,,,,,,,,9,14,,1,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,3,,54,81,1,4,8121,80000,04,05,767.04942154,
5418291,1,2,1,60,05,5,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,160000,1,,1,,12,2,,,,,3,11,2,16,2,,8,6,,1,5,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,60,1,2,,,,2,,,,,,,,,,,,,,1,2,2,2,1,1,8,,53,56,1,4,5619,160000,04,05,823.42519375,
5418292,1,1,1,60,05,5,1,2,1,,1,,,1,1,2,1,24,,2,,1,1500000,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,1,1400000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,47,,.,31,7,SEMANA SANTA,9,7,,1,,1,1,1,10,1,1,,,,,,,,,1,1,1,2,48,4,,2,,,,,,,,8,11,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,5,,40,47,1,1,4773,1500000,04,05,669.47817325,
5418292,1,2,1,60,05,5,1,2,1,,1,,,1,1,2,1,48,,2,,1,,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,1,98,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,32,2,,9,7,,1,,1,2,1,10,1,1,,,,,,,,,1,1,1,1,36,1,,2,,,,,,,,13,11,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,59,47,1,1,4773,,04,05,669.47817325,
5418293,1,1,1,60,05,5,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,750000,1,,3,,8,2,,,,,3,1,1,112,,.,80,2,,1,4,,1,,1,1,3,3,1,,,,,,1,,,,1,1,1,4,15,4,,2,,,,,,,,13,3,2,,2,,,,1,1,2,1,2,2,2,2,1,2,2,,1,1,2,2,2,2,1,2,5,,98,49,1,4,4921,750000,04,05,703.44176972,
5418293,1,2,1,60,05,5,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,120000,1,,3,,12,2,,,,,3,4,2,15,1,,3,6,,1,1,,3,,2,,,,1,,,,,,,,,1,2,1,2,,,,,2,,,,,,,,,14,,2,2,,,,1,1,2,1,2,2,2,2,2,2,2,,1,1,2,2,2,2,2,1,3,,57,96,1,4,9602,120000,04,05,703.44176972,
5418294,1,1,1,60,05,5,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,85000,1,,3,,12,2,,,,,3,1,1,60,,.,60,,,1,5,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,11,15,,1,15,2,1,1,1,1,1,2,2,2,2,1,2,2,,2,1,2,2,2,2,2,1,8,,53,56,1,4,5619,85000,04,05,588.40864539,
5418294,1,7,1,60,05,5,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,400000,1,,1,,4,2,,,,,1,1,2,50,,.,30,1,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,1,8,4,1,,2,,,,,,,,5,3,10,2,2,,,,1,1,1,1,2,1,2,2,2,2,2,,1,1,2,2,1,2,2,1,3,,97,52,1,4,5224,400000,04,05,588.40864539,
5418294,1,8,1,60,05,5,2,,,,,,,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,280000,1,,3,,12,2,,,,,3,1,1,25,1,,15,2,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,2,25,,1,10,2,2,1,1,1,1,2,2,2,2,2,2,2,,1,1,2,2,2,2,2,1,3,,45,47,1,4,4789,280000,04,05,588.40864539,
5418295,1,1,1,60,05,5,1,2,1,,1,,,1,1,2,1,36,,3,,1,1400000,2,,,2,,2,,1,100000,2,,2,,,1,106454,2,1,34800,2,2,,,2,,,2,,,1,1230000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,40,2,,9,4,,1,,1,1,1,12,1,1,,,,,,,,,1,1,1,18,48,1,,2,,,,,,,,8,7,2,,2,,,,1,1,2,1,2,2,2,2,2,2,2,,2,1,2,2,2,2,1,1,5,,98,49,1,1,4921,1400000,04,05,795.36891079,
5418295,1,2,1,60,05,5,1,2,1,,2,1,,1,1,2,1,18,,3,,1,1900000,2,,,2,,2,,2,,2,,2,,,2,,,1,34800,2,2,,,2,,,1,200000,1,1,1900000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,36,2,,9,7,,1,,1,1,1,19,1,1,,,,,,,,,1,1,1,12,5,1,,2,,,,,,,,5,11,45,,2,,,,2,,,,,,,,,,,,,,2,2,1,2,2,1,3,,70,21,1,1,2100,1900000,04,05,795.36891079,7810
5418297,1,1,1,60,05,5,1,2,1,,1,,,1,1,2,1,360,,2,,2,1300000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,2100000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,40,2,,8,7,,1,,1,2,1,30,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,11,25,,2,,,,2,,,,,,,,,,,,,,1,1,2,2,1,1,5,,39,55,1,1,5511,1300000,04,05,688.9469488,
5418300,1,2,1,60,05,5,2,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,3000000,1,,3,,12,2,,,,,1,4,2,40,,.,40,,,1,1,,1,,1,2,2,26,1,,,,,,,,,1,2,2,1,0,96,2,,2,,,,,,,,7,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,33,69,1,4,6920,3000000,04,05,1250.9643622,
