DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500S1,P7500S1A1,P7500S2,P7500S2A1,P7500S3,P7500S3A1,P7505,P7510S1,P7510S1A1,P7510S2,P7510S2A1,P7510S3,P7510S3A1,P750S1,P750S1A1,P750S2,P750S2A1,P1661S1,P1661S1A1,P1661S2,P1661S2A1,P1661S3,P1661S3A1,P1661S4,P1661S4A1,P1661S4A2,P750S3,P750S3A1,P750S4,P7510S5,P7510S5A1,P7510S6,P7510S6A1,P7510S7,P7510S7A1,AREA,MES,DPTO,fex_c_2011
5418283,1,1,1,95,2,,,,,,,1,1,500000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,05,04,05,1353.0913745
5418283,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1353.0913745
5418284,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1372.919943
5418284,1,2,1,95,2,,,,,,,1,2,,1,2300000,2,,,,,,,,,,,,,,,,,,2,,1,800000,1,1064000,05,04,05,1372.919943
5418285,1,1,1,95,2,,,,,,,1,1,2500000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,05,04,05,1567.1085675
5418286,1,1,1,95,1,1,280000,2,,2,,1,1,3360000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,05,04,05,1119.2244403
5418286,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1119.2244403
5418286,1,3,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,800000,05,04,05,1119.2244403
5418286,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1119.2244403
5418286,1,5,1,95,2,,,,,,,1,2,,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,05,04,05,1119.2244403
5418287,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1633.6005594
5418287,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1633.6005594
5418287,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1633.6005594
5418288,1,1,1,95,2,,,,,,,1,1,2000000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,05,04,05,1332.3776062
5418289,1,1,1,95,1,1,1400000,2,,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,4500000,05,04,05,1195.4017976
5418289,1,2,1,95,2,,,,,,,1,1,20000000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,05,04,05,1195.4017976
5418290,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,767.04942154
5418290,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,767.04942154
5418290,1,3,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,100000,2,,05,04,05,767.04942154
5418290,2,1,2,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,120000,2,,05,04,05,767.04942154
5418290,2,2,2,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,767.04942154
5418291,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,800000,05,04,05,823.42519375
5418291,1,2,1,95,2,,,,,,,1,2,,2,,1,960000,,,1,960000,1,960000,,,,,,,,,,,2,,2,,2,,05,04,05,823.42519375
5418292,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,200000,2,,05,04,05,669.47817325
5418292,1,2,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,98,2,,05,04,05,669.47817325
5418293,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,703.44176972
5418293,1,2,1,95,2,,,,,,,1,2,,2,,1,190000,,,1,190000,1,190000,,,,,,,,,,,2,,2,,2,,05,04,05,703.44176972
5418294,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,588.40864539
5418294,1,2,1,95,2,,,,,,,1,2,,2,,1,320000,,,1,320000,,,,,,,1,INGRESO SOLIDARIO,320000,,,,2,,2,,2,,05,04,05,588.40864539
5418294,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,588.40864539
5418294,1,5,1,95,2,,,,,,,1,2,,2,,1,1200000,,,1,1200000,,,,,,,1,INGRESO SOLIDARIO,1200000,,,,2,,2,,2,,05,04,05,588.40864539
5418294,1,6,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,588.40864539
5418294,1,7,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,588.40864539
5418294,1,8,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,588.40864539
5418295,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,180000,2,,05,04,05,795.36891079
5418295,1,2,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,150000,2,,05,04,05,795.36891079
5418295,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,795.36891079
5418296,1,1,1,95,1,2,,1,835844,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1755606,05,04,05,624.89448632
5418296,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,624.89448632
5418297,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,688.9469488
5418297,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,688.9469488
5418297,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,688.9469488
5418297,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,688.9469488
5418299,1,1,1,95,1,2,,1,2474800,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,2500000,05,04,05,1261.6035997
5418299,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1261.6035997
5418299,1,3,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,12000,1,1750000,05,04,05,1261.6035997
5418300,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1250.9643622
5418300,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1250.9643622
5418300,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1250.9643622
5418300,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1250.9643622
5418301,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1318.2425782
5418302,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,400000,2,,05,04,05,1318.2425782
5418303,1,1,1,95,1,2,,1,835844,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1755606,05,04,05,1322.402051
5418303,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1322.402051
5418303,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1322.402051
5418303,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1322.402051
5418303,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1322.402051
5418304,1,1,1,95,1,1,98,2,,2,,1,1,25000000,1,4000000,2,,,,,,,,,,,,,,,,,,2,,2,,2,,05,04,05,1353.0913745
5418304,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1353.0913745
5418305,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1350.7709735
5418305,1,2,1,95,2,,,,,,,1,1,4000000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,05,04,05,1350.7709735
5418305,1,3,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,98,1,1400000,05,04,05,1350.7709735
5418306,1,1,1,95,1,2,,1,2500000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,5000000,05,04,05,1291.2165093
5418306,1,2,1,95,1,2,,1,2300000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,4600000,05,04,05,1291.2165093
5418306,1,3,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,500000,2,,05,04,05,1291.2165093
5418306,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1291.2165093
5418307,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1512.3721426
5418307,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1512.3721426
5418307,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1512.3721426
5418308,1,1,1,95,1,2,,1,2640000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,6000000,05,04,05,624.89448632
5418308,1,2,1,95,1,2,,1,3520000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,6000000,05,04,05,624.89448632
5418309,1,1,1,95,1,1,8000000,2,,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,1,5000000,2,,2,,05,04,05,1291.2165093
5418309,1,2,1,95,1,1,4000000,1,6000000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,12000000,05,04,05,1291.2165093
5418309,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1291.2165093
5418309,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1291.2165093
5418310,1,1,1,95,2,,,,,,,1,2,,1,5400000,2,,,,,,,,,,,,,,,,,,2,,2,,2,,05,04,05,1160.076019
5418310,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1160.076019
5418310,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1160.076019
5418311,1,1,1,95,1,2,,1,1705606,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1705606,05,04,05,554.51108852
5418311,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,554.51108852
5418311,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,554.51108852
5418312,1,1,1,95,1,1,1100000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,590.90135976
5418312,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,590.90135976
5418312,1,3,1,95,1,1,1700000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,590.90135976
5418312,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,590.90135976
5418312,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,590.90135976
5418314,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1226.627071
5418314,1,2,1,95,2,,,,,,,1,1,2400000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,05,04,05,1226.627071
5418315,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1372.919943
5418315,1,2,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,98,2,,05,04,05,1372.919943
5418316,1,1,1,95,1,2,,1,908526,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,877803,05,04,05,1378.1558296
5418316,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1378.1558296
5418317,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,1,600000,1,300000,2,,05,04,05,1350.7709735
5418317,1,2,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,400000,2,,05,04,05,1350.7709735
5418317,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1350.7709735
5418318,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1117.140101
5418318,1,2,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,98,2,,05,04,05,1117.140101
5418318,1,3,1,95,1,2,,1,835844,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1755606,05,04,05,1117.140101
5418318,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1117.140101
5418318,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1117.140101
5418318,1,6,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1117.140101
5418321,1,1,1,95,1,1,800000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1373.8051428
5418321,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1373.8051428
5418321,1,3,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,1200000,1,2100000,05,04,05,1373.8051428
5418326,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,98,2,,05,04,05,1372.919943
5418326,1,2,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,98,2,,05,04,05,1372.919943
5418327,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,637.86931382
5418327,1,2,1,95,1,2,,1,923000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1050000,05,04,05,637.86931382
5418327,1,3,1,95,1,2,,1,983000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1095000,05,04,05,637.86931382
5418328,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1217.7279297
5418328,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1217.7279297
5418329,1,1,1,95,1,2,,1,908526,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1147.6619603
5418329,1,2,1,95,1,2,,1,908526,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1147.6619603
5418329,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1147.6619603
5418329,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1147.6619603
5418330,1,1,1,95,1,2,,1,835000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1700000,05,04,05,1249.7889726
5418330,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1249.7889726
5418332,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,240000,2,,05,04,05,1578.9231946
5418332,1,2,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,200000,2,,05,04,05,1578.9231946
5418333,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1490.0460104
5418333,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1490.0460104
5418333,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1490.0460104
5418335,1,1,1,95,1,2,,1,2044184,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,2271315,05,04,05,1353.0913745
5418335,1,2,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,9,,05,04,05,1353.0913745
5418336,1,1,1,95,1,2,,1,835844,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1755606,05,04,05,1344.1922332
5418336,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1344.1922332
5418337,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1505.2337024
5418337,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1505.2337024
5418337,1,3,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,120000,2,,05,04,05,1505.2337024
5418338,1,1,1,95,1,2,,1,1300000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1300000,05,04,05,1638.836446
5418338,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1638.836446
5418338,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1638.836446
5418339,1,1,1,95,1,2,,1,1104000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,2400000,05,04,05,1291.2165093
5418339,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1291.2165093
5418339,1,3,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,9,,2,,05,04,05,1291.2165093
5418339,1,4,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,9,,2,,05,04,05,1291.2165093
5418341,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1137.7498869
5418341,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1137.7498869
5418341,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1137.7498869
5418342,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1578.9231946
5418342,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1578.9231946
5418343,1,1,1,95,2,,,,,,,1,2,,2,,1,300000,,,1,300000,,,,,,,1,FONDO DE SOLIDARIDAD SOCIAL,300000,,,,2,,2,,2,,05,04,05,2432.2119752
5418343,1,2,1,95,2,,,,,,,1,2,,2,,1,680000,,,1,680000,1,680000,,,,,,,,,,,2,,2,,2,,05,04,05,2432.2119752
5418343,1,3,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1500000,05,04,05,2432.2119752
5418343,1,6,1,95,2,,,,,,,1,2,,2,,1,100000,,,1,100000,,,,,,,1,INGRESO SOLIDARIO,100000,,,,2,,2,,1,2560000,05,04,05,2432.2119752
5418343,1,7,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,2432.2119752
5418343,1,10,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,2432.2119752
5418343,1,11,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,2432.2119752
5418344,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,100000,2,,05,04,05,1372.919943
5418344,1,2,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,2300000,05,04,05,1372.919943
5418345,1,1,1,95,2,,,,,,,1,1,900000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,05,04,05,1358.3272611
5418345,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1358.3272611
