DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5332763,1,3,1,70,63,1,16,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,03,,1,2,01,.,63,121.20921514
5332764,1,1,1,70,63,1,38,48,8,,2,38,8,,4,2,1,,,,,,,,,,,1,2,,877052,2,,01,62,62,1,2,01,0122,63,74.445258756
5332764,1,4,1,70,63,1,8,48,1,,2,36,1,,8,2,1,,,,,,,,,,,1,2,,900000,2,,01,45,62,1,1,01,0125,63,74.445258756
5332765,1,4,1,70,63,1,2,48,4,,2,48,4,,1,2,1,,,,,,,,,,,1,2,,900000,2,,31,95,95,1,1,01,3110,63,183.97420403
5332768,1,1,1,70,63,1,12,48,4,,2,4,4,,1,2,1,,,,,,,,,,,1,2,,800000,2,,45,53,99,1,1,01,4520,63,227.18094537
5332768,1,2,1,70,63,1,12,48,4,,2,28,4,,1,2,1,,,,,,,,,,,1,2,,700000,2,,47,53,41,1,1,01,4724,63,227.18094537
5332768,1,5,1,70,63,1,28,48,4,,2,28,4,,1,2,4,,,,,,,,,,,1,2,,900000,2,,56,53,33,1,2,01,5611,63,227.18094537
5332773,1,2,1,70,68,1,2,48,1,,2,2,1,,2,2,8,,,,,,,,,,,1,1,320000,877803,2,,47,45,45,1,1,01,4782,68,293.46975331
5332775,1,1,1,70,63,1,10,48,4,,2,10,4,,1,2,1,,,,,,,,,,,1,2,,900000,2,,41,95,95,1,1,01,4111,63,167.7565208
5332776,1,4,1,70,63,1,24,48,1,,2,24,4,,1,2,1,,,,,,,,,,,1,2,,877803,2,,56,45,45,1,2,01,5619,63,218.70548371
5332778,1,1,1,70,63,1,20,48,1,,2,40,1,,6,2,1,,,,,,,,,,,1,2,,877803,2,,31,81,81,1,2,01,3110,63,190.32643806
5332782,1,2,1,70,63,1,8,48,1,,2,8,4,,9,2,3,,,,,,,,,,,1,2,,877803,2,,88,13,13,1,1,01,8890,63,74.445258756
5332783,1,1,1,70,68,1,8,48,1,,2,8,1,,9,2,1,,,1,,,,,,,,,2,,2000000,1,1,88,13,21,1,1,01,8890,68,612.56144108
5332784,1,1,1,70,68,1,5,48,1,,2,5,1,,2,2,1,,,1,,,,,,,,,1,1500000,1500000,1,2,49,98,98,1,1,01,4923,68,419.26875014
5332785,1,5,1,70,68,1,16,48,3,,2,52,3,,1,2,1,,,,,,,,,,,1,2,,877803,2,,97,54,54,1,2,01,9700,68,740.64259238
5332786,1,2,1,70,68,1,52,48,1,,2,52,4,,1,2,1,,,,,,,,,,,1,2,,877803,2,,45,34,44,1,2,01,4512,68,655.70021549
5332796,1,1,1,70,50,1,8,48,1,,2,8,1,,9,2,3,,,,,,,,,,,1,2,,1300000,2,,80,58,58,1,1,01,8010,50,410.4222576
5332796,1,4,1,70,50,1,2,50,1,,2,2,1,,3,2,1,,,,,,,,,,,1,1,800000,900000,2,,56,53,53,1,1,01,5611,50,410.4222576
5332798,1,2,1,70,50,1,16,48,1,,2,36,1,,3,2,1,,,,,,,,,,,1,2,,900000,2,,56,34,53,1,2,01,5611,50,388.30782845
5332799,1,1,1,70,50,1,6,48,4,,2,6,4,,1,2,1,,,,,,,,,,,1,2,,800000,2,,81,55,55,1,1,01,8121,50,208.0722409
5332803,1,2,1,70,50,1,4,48,1,,2,4,1,,2,2,1,,,,,,,,,,,1,1,1000000,1000000,2,,41,95,95,1,1,01,4111,50,277.63218942
5332806,1,2,1,70,50,1,8,48,1,,2,8,1,,4,2,1,,,,,,,,,,,1,1,1600000,1200000,2,,41,95,95,1,1,01,4111,50,307.57621098
5332807,1,2,1,70,50,1,259,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,45,,1,2,01,.,50,367.37170148
5332813,1,3,1,70,63,1,4,54,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,95,,1,1,01,.,63,179.53264477
5332815,1,1,1,70,63,1,3,48,3,,2,3,3,,1,2,1,,,,,,,,,,,1,1,400000,400000,2,,97,55,54,1,1,01,9700,63,91.959740609
5332816,1,1,1,70,63,1,4,48,4,,2,4,4,,1,2,1,,,,,,,,,,,1,1,600000,600000,2,,31,81,81,1,1,01,3110,63,168.75686469
5332816,1,2,1,70,63,1,4,48,4,,2,4,4,,1,2,1,,,,,,,,,,,1,1,800000,800000,2,,41,95,95,1,1,01,4111,63,168.75686469
5332817,1,1,1,70,63,1,4,48,4,,2,3,4,,9,2,1,,,,1,,,,,,,,1,2000000,2000000,1,1,84,12,12,1,1,01,8412,63,138.26385374
5332819,1,2,1,70,63,1,12,48,1,,2,104,1,,9,2,2,,,,,,,,,,,1,2,,900000,2,,64,03,33,1,1,01,6412,63,111.08844251
5332843,1,1,1,70,54,1,5,48,4,,2,7,4,,1,2,1,,,,,,,,,,,1,2,,800000,2,,41,95,95,1,1,01,4111,54,419.96569042
5332846,1,1,1,70,76,1,52,48,1,,2,52,3,,1,2,4,,,,,,,,,,,1,2,,907256,2,,97,59,59,1,2,01,9700,76,919.74557592
5332854,1,2,1,70,76,1,27,60,1,,2,52,1,,2,2,1,,,,,,,,,,,1,2,,900000,2,,41,58,95,1,2,01,4111,76,1045.7969214
5332854,1,3,1,70,76,1,2,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,45,,1,1,01,.,76,1045.7969214
5332855,1,3,1,70,76,1,17,60,1,,2,8,4,,2,2,1,,,,,,,,,,,1,2,,1000000,2,,56,53,53,1,2,01,5621,76,966.4771524
5332858,1,3,1,70,19,1,8,45,1,,2,8,1,,6,2,3,,,,,,,,,,,1,2,,1500000,2,,86,06,06,1,1,01,8622,19,82.385068706
5332863,1,1,1,70,19,1,5,48,1,,2,40,4,,9,2,1,,,,,,,,,,,1,2,,98,2,,84,39,39,1,1,01,8412,19,116.39479336
