DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,DPTO,fex_c_2011
5332763,1,1,1,50,63,1,,,1,1,,,,,,,,,,,,,,01,63,121.20921514
5332763,1,2,1,50,63,1,,,2,4,,2,2,2,2,2,,,,,,,,01,63,121.20921514
5332763,1,3,1,50,63,1,1,,3,3,,2,2,2,1,,,,,,,,1,01,63,121.20921514
5332763,1,4,1,50,63,1,,,4,3,,2,2,2,2,1,12,,,,,,,01,63,121.20921514
5332764,1,1,1,50,63,1,1,,1,6,DILIGENCIAS PERSONALES,2,2,2,1,,,,,,,,1,01,63,74.445258756
5332764,1,2,1,50,63,1,,,2,4,,2,2,2,2,1,11,,,,,,,01,63,74.445258756
5332764,1,3,1,50,63,1,,,3,1,,,,,,,,,,,,,,01,63,74.445258756
5332764,1,4,1,50,63,1,2,,4,2,,2,2,2,1,,,,,,,,1,01,63,74.445258756
5332764,1,5,1,50,63,1,,,5,6,HACER DEPORTE,2,2,2,2,1,13,MENOR DE EDAD,,,,,,01,63,74.445258756
5332765,1,1,1,50,63,1,,,1,1,,,,,,,,,,,,,,01,63,183.97420403
5332765,1,2,1,50,63,1,,,2,1,,,,,,,,,,,,,,01,63,183.97420403
5332765,1,3,1,50,63,1,,,3,3,,2,2,2,2,1,12,,,,,,,01,63,183.97420403
5332765,1,4,1,50,63,1,1,,4,4,,2,2,2,1,,,,,,,,1,01,63,183.97420403
5332766,1,1,1,50,63,1,,,1,6,VER TELEVISON Y LEER,2,2,2,2,2,,,,,,,,01,63,166.36386807
5332767,1,1,1,50,63,1,,,1,6,DILIGENCIAS PERSONALES,2,2,2,2,1,11,,,,,,,01,63,136.87120102
5332767,1,2,1,50,63,1,,,2,4,,2,2,2,2,2,,,,,,,,01,63,136.87120102
5332768,1,1,1,50,63,1,2,,1,2,,2,2,2,1,,,,,,,,1,01,63,227.18094537
5332768,1,2,1,50,63,1,2,,2,6,DILIGENCIAS PERSONALES,2,2,2,1,,,,,,,,1,01,63,227.18094537
5332768,1,5,1,50,63,1,1,,5,2,,2,2,2,1,,,,,,,,1,01,63,227.18094537
5332769,1,1,1,50,63,1,,,1,4,,2,2,2,2,2,,,,,,,,01,63,166.36386807
5332772,1,1,1,50,68,1,,,1,4,,2,2,2,2,2,,,,,,,,01,68,299.79015098
5332772,1,2,1,50,68,1,,,2,1,,,,,,,,,,,,,,01,68,299.79015098
5332772,1,3,1,50,68,1,,,3,3,,2,2,2,2,2,,,,,,,,01,68,299.79015098
5332773,1,1,1,50,68,1,,,1,1,,,,,,,,,,,,,,01,68,293.46975331
5332773,1,2,1,50,68,1,1,,2,4,,2,2,2,1,,,,,,,,1,01,68,293.46975331
5332774,1,1,1,50,68,1,,,1,1,,,,,,,,,,,,,,01,68,360.18116255
5332774,1,2,1,50,68,1,,,2,3,,2,2,2,2,2,,,,,,,,01,68,360.18116255
5332775,1,1,1,50,63,1,1,,1,2,,2,2,2,1,,,,,,,,1,01,63,167.7565208
5332775,1,2,1,50,63,1,,,2,4,,2,2,2,2,1,10,,,,,,,01,63,167.7565208
5332776,1,1,1,50,63,1,,,1,4,,2,2,2,2,1,5,,1,2,,,,01,63,218.70548371
5332776,1,2,1,50,63,1,,,2,1,,,,,,,,,,,,,,01,63,218.70548371
5332776,1,3,1,50,63,1,,,3,6,COMPARTIR CON AMIGOS,2,2,2,2,2,,,,,,,,01,63,218.70548371
5332776,1,4,1,50,63,1,2,,4,4,,2,2,2,1,,,,,,,,1,01,63,218.70548371
5332777,1,1,1,50,63,1,,,1,1,,,,,,,,,,,,,,01,63,99.312318544
5332778,1,1,1,50,63,1,2,,1,2,,2,2,2,1,,,,,,,,1,01,63,190.32643806
5332778,1,2,1,50,63,1,,,2,1,,,,,,,,,,,,,,01,63,190.32643806
5332778,1,3,1,50,63,1,,,3,1,,,,,,,,,,,,,,01,63,190.32643806
5332779,1,1,1,50,63,1,,,1,2,,1,,,,,,,,,,,,01,63,145.8197222
5332779,1,2,1,50,63,1,,,2,3,,2,2,2,2,2,,,,,,,,01,63,145.8197222
5332780,1,1,1,50,63,1,,,1,1,,,,,,,,,,,,,,01,63,99.069126021
5332780,1,2,1,50,63,1,,,2,1,,,,,,,,,,,,,,01,63,99.069126021
5332780,1,3,1,50,63,1,,,3,4,,2,2,2,2,2,,,,,,,,01,63,99.069126021
5332780,1,4,1,50,63,1,,,4,3,,2,2,2,2,2,,,,,,,,01,63,99.069126021
5332781,1,1,1,50,63,1,,,1,1,,,,,,,,,,,,,,01,63,79.940424115
5332781,1,2,1,50,63,1,,,2,3,,2,2,2,2,2,,,,,,,,01,63,79.940424115
5332781,1,3,1,50,63,1,,,3,4,,2,2,2,2,2,,,,,,,,01,63,79.940424115
5332781,1,4,1,50,63,1,,,4,1,,,,,,,,,,,,,,01,63,79.940424115
5332782,1,1,1,50,63,1,,,1,1,,,,,,,,,,,,,,01,63,74.445258756
5332782,1,2,1,50,63,1,2,,2,2,,2,2,2,1,,,,,,,,1,01,63,74.445258756
5332783,1,1,1,50,68,1,4,,1,6,DESCANSANDO EN EL HOGAR,2,2,2,1,,,,,,,,1,01,68,612.56144108
