DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5332763,1,1,1,60,63,1,63,2,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,900000,1,,3,,10,2,,,,,3,3,2,50,,.,50,,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,12,4,,2,,,,,,,,13,2,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,8,,45,47,1,01,4,4781,900000,63,121.20921514,
5332764,1,3,1,60,63,1,63,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,320000,1,,1,,6,2,,,,,2,1,1,20,1,,20,,,1,2,,2,,2,,,,1,,,,,,,,,1,2,2,1,6,2,1,,2,,,,,,,,9,2,30,,1,28,1,1,1,1,1,1,2,2,2,2,1,2,2,,1,1,2,2,2,2,2,1,3,,55,81,1,01,4,8121,320000,63,74.445258756,
5332765,1,1,1,60,63,1,63,1,2,1,,1,,,1,1,2,1,36,,1,,2,900000,2,,,2,,2,,2,,2,,2,,,1,102052,2,2,,,2,,,2,,,2,,,1,850000,2,,1,450000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,6,9,,1,,1,1,1,20,1,1,,,,,,,,,1,1,1,0,144,1,,2,,,,,,,,2,2,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,95,41,1,01,1,4111,900000,63,183.97420403,
5332765,1,2,1,60,63,1,63,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,300000,1,,1,,10,2,,,,,3,1,1,48,,.,48,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,6,4,,2,,,,,,,,13,14,,,2,,,,1,1,1,1,2,1,2,2,1,2,2,,1,1,2,2,2,2,2,1,3,,77,56,1,01,4,5619,300000,63,183.97420403,
5332772,1,2,1,60,68,1,68,1,2,2,12,1,,,1,1,2,1,24,,1,,2,877803,2,,,2,,2,,2,,2,,2,,,1,102854,2,2,,,2,,,2,,,2,,,1,877803,2,,2,,1,200000,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,4,9,,1,,1,1,1,6,1,1,,,,,,,,,1,1,1,2,12,1,,2,,,,,,,,1,2,20,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,8,,95,42,1,01,1,4210,877803,68,299.79015098,
5332773,1,1,1,60,68,1,68,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,800000,1,,3,,12,2,,,,,3,1,1,40,,.,40,,,1,6,,10,,2,,,,1,,,,,,,,,1,2,2,1,1,12,1,,2,,,,,,,,1,12,30,,2,,,,1,1,2,1,2,2,2,2,2,2,2,,1,1,1,2,2,2,2,1,8,,97,52,1,01,4,5224,800000,68,293.46975331,
5332774,1,1,1,60,68,1,68,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,150000,1,,3,,12,2,,,,,3,1,2,60,,.,60,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,4,38,1,,2,,,,,,,,1,14,,,2,,,,2,,,,,,,,,,,,,,1,2,2,2,1,1,8,,84,45,1,01,4,4520,150000,68,360.18116255,
5332776,1,2,1,60,63,1,63,1,1,,,1,,,1,2,2,2,0,,1,,2,850000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,5,,,,,,,,,55,,.,55,,,4,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,1,1,1,,2,,,,,,,,1,11,10,,2,,,,1,1,1,1,2,1,2,1,2,2,2,,2,1,1,1,1,2,2,1,3,,79,13,1,01,1,1392,850000,63,218.70548371,
5332777,1,1,1,60,63,1,63,2,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,600000,1,,3,,10,2,,,,,2,1,2,40,,.,40,,,1,2,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,20,4,,2,,,,,,,,13,2,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,54,81,1,01,4,8121,600000,63,99.312318544,
5332778,1,2,1,60,63,1,63,1,2,2,12,2,4,COOPERATIVA DE VIGILANCIA PRIVADA DEL QUINDIO,1,1,2,1,0,,2,,2,877803,2,,,2,,2,,2,,2,,2,,,1,102854,2,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,5,,,,,,,,,48,,.,48,,,4,7,,1,,1,1,1,5,1,,,,,,,,,1,1,1,1,2,2,4,,2,,,,,,,,1,11,60,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,58,68,1,01,1,6820,877803,63,190.32643806,8010
