DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5345410,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,41,946.35040591
5345410,1,2,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,41,946.35040591
5345412,1,2,1,80,2,2,,,,1,4,9,,2,,2,,1,40,877000,2,1,01,,41,916.85496865
5345412,1,3,1,80,2,1,8,,2,,,2,,2,,2,,,,,2,1,01,1.1,41,916.85496865
5345412,1,4,1,80,2,1,2,,2,,,2,,2,,2,,,,,2,1,01,1.1,41,916.85496865
5345412,1,5,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,41,916.85496865
5345412,1,6,1,80,2,1,5,,2,,,10,,3,,2,,,,,3,1,01,3,41,916.85496865
5345413,1,1,1,80,2,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,41,922.5841291
5345413,1,2,1,80,2,2,,,,1,4,4,,2,,2,,,,,2,1,01,,41,922.5841291
5345415,1,2,1,80,2,1,7,,2,,,4,,1,,2,,1,40,500000,2,1,01,2,41,658.85658653
5345416,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,41,597.85229061
5345416,1,5,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,41,597.85229061
5345417,1,1,1,80,2,1,7,,2,,,11,,2,,2,,,,,2,1,01,1.4,41,625.69740015
5346131,1,2,1,80,2,1,2,,2,,,2,,2,,2,,,,,2,1,01,1.1,68,4355.5673027
5346131,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,68,4355.5673027
5346133,1,2,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,1.1,68,967.90384504
5346134,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,68,1707.6374648
5346134,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,1707.6374648
5346135,1,2,1,80,2,1,7,,2,,,9,,2,,2,,1,20,600000,2,1,01,1.3,68,967.90384504
5346135,1,3,1,80,2,1,7,,2,,,2,,2,,2,,1,30,500000,2,1,01,1.4,68,967.90384504
5346135,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,68,967.90384504
5346136,1,2,1,80,2,1,8,,2,,,11,,1,,1,200000,,,,2,1,01,1.2,68,967.90384504
5346136,1,4,1,80,2,1,5,,2,,,10,,2,,2,,,,,2,1,01,4,68,967.90384504
5346137,1,4,1,80,2,1,4,,2,,,4,,1,,2,,2,,900000,2,1,01,2,68,967.90384504
5346137,1,5,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,967.90384504
