DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480S1,P7480S1A1,P7480S3,P7480S3A1,P7480S4,P7480S4A1,P7480S5,P7480S5A1,P7480S6,P7480S6A1,P7480S7,P7480S7A1,P7480S8,P7480S8A1,P7480S9,P7480S9A1,P7480S10,P7480S10A1,P7480S11,P7480S11A1,P7481,CLASE,MES,DPTO,fex_c_2011
5345410,1,1,1,90,1,1,1,14,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,946.35040591
5345410,1,2,1,90,1,1,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,946.35040591
5345410,1,3,1,90,1,2,1,7,2,,2,,1,2,2,,2,,2,,2,,2,,,2,01,41,946.35040591
5345412,1,1,1,90,1,20,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,916.85496865
5345412,1,2,1,90,1,1,1,15,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,916.85496865
5345412,1,3,1,90,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,916.85496865
5345412,1,4,1,90,1,7,1,1,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,916.85496865
5345412,1,5,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,916.85496865
5345412,1,6,1,90,2,,1,7,2,,2,,1,21,2,,2,,2,,2,,2,,,2,01,41,916.85496865
5345413,1,1,1,90,1,14,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,922.5841291
5345413,1,2,1,90,1,1,1,14,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,922.5841291
5345414,1,1,1,90,1,1,1,14,2,,1,7,2,,2,,2,,2,,2,,2,,,2,01,41,1579.565167
5345414,1,2,1,90,2,,1,7,2,,1,15,2,,2,,2,,2,,2,,2,,,2,01,41,1579.565167
5345414,1,5,1,90,1,1,1,1,2,,1,1,2,,2,,2,,2,,2,,2,,,2,01,41,1579.565167
5345414,1,6,1,90,2,,1,7,2,,1,5,2,,2,,2,,2,,2,,2,,,2,01,41,1579.565167
5345414,1,8,1,90,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1579.565167
5345414,1,9,1,90,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1579.565167
5345415,1,1,1,90,1,7,1,1,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,658.85658653
5345415,1,2,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,658.85658653
5345415,1,3,1,90,1,1,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,658.85658653
5345416,1,1,1,90,2,,1,21,1,2,2,,2,,2,,2,,2,,2,,2,,,2,01,41,597.85229061
5345416,1,2,1,90,1,7,1,1,1,2,2,,1,2,2,,2,,2,,2,,2,,,2,01,41,597.85229061
5345416,1,3,1,90,1,1,1,8,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,597.85229061
5345416,1,4,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,597.85229061
5345416,1,5,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,597.85229061
5345417,1,1,1,90,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,625.69740015
5345417,1,2,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,625.69740015
5345417,1,3,1,90,1,14,1,1,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,625.69740015
5345418,1,1,1,90,1,7,1,1,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,922.5841291
5345418,1,2,1,90,1,1,1,20,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,922.5841291
5346131,1,1,1,90,1,16,1,21,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,4355.5673027
5346131,1,2,1,90,1,10,1,8,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,4355.5673027
5346131,1,3,1,90,1,10,1,12,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,4355.5673027
5346132,1,1,1,90,1,16,1,10,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,1184.0488313
5346133,1,1,1,90,2,,1,8,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346133,1,2,1,90,1,20,1,27,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346134,1,1,1,90,1,17,1,10,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,1707.6374648
5346134,1,2,1,90,1,16,1,26,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,1707.6374648
