DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,AREA,ESC,MES,DPTO,fex_c_2011
5332772,1,1,1,10,1,2,8,1964,56,1,6,,2,3,,3,,1,2,,,,1,,,1,,,,,,2,1,,,1,5,,2,1,2,,3,3,,,68,3,01,68,299.79015098
5332772,1,2,1,10,2,1,1,1967,53,2,6,,2,3,,2,,1,1,,,,1,,,,,,,,,,1,,,1,1,35112,2,1,2,,5,11,2,,68,11,01,68,299.79015098
5332772,1,3,1,10,3,2,10,2002,18,3,6,,6,1,2,1,1,,,,,,,,,,,,,1,,,1,,,3,,,2,1,1,1,6,0,2,2,68,11,01,68,299.79015098
5332773,1,1,1,10,1,1,10,2000,20,1,6,,1,3,,2,,1,2,,,,1,,,1,,,,,,1,2,1,12,,,,2,1,2,,5,10,1,,68,10,01,68,293.46975331
5332773,1,2,1,10,2,2,7,2003,17,2,6,,1,2,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,68,11,01,68,293.46975331
5332774,1,1,1,10,1,1,7,1977,43,1,6,,6,3,,2,,,,,,,1,,,,,,,,,1,1,,,3,,,2,1,2,,4,7,,,68,7,01,68,360.18116255
5332774,1,2,1,10,2,1,4,2007,13,3,6,,6,1,1,2,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,1,1,3,4,,,68,4,01,68,360.18116255
5332774,1,3,1,10,1,1,11,2014,6,3,6,,,1,1,2,,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,1,,,68,1,01,68,360.18116255
5332783,1,1,1,10,1,1,8,1988,32,1,6,,2,2,,2,,1,2,,1,1,1,,,,,,,,,2,1,,,1,3,110000,2,1,2,,6,5,4,,68,16,01,68,612.56144108
5332783,1,2,1,10,2,2,7,1993,27,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,1,1,50000,2,1,1,2,6,0,2,2,68,11,01,68,612.56144108
5332784,1,1,1,10,1,1,2,1992,28,1,6,,2,2,,2,,1,2,,,1,1,,,1,,,,,,2,1,,,1,3,110000,2,1,2,,5,11,2,,68,11,01,68,419.26875014
5332784,1,2,1,10,2,2,7,1993,27,2,6,,2,2,,2,,1,1,,1,,,,,,,,,,,,1,,,1,3,110000,2,1,2,,6,5,4,,68,16,01,68,419.26875014
5332784,1,3,1,10,2,1,3,2014,6,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,1,3,1,,,68,1,01,68,419.26875014
5332784,1,4,1,10,2,1,12,2020,0,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,,,,,,,,68,,01,68,419.26875014
5332785,1,1,1,10,1,1,6,1989,31,1,6,,6,3,,1,3,,,,,1,,,,1,,,,,,2,1,,,3,,,2,1,2,,6,5,4,,68,16,01,68,740.64259238
5332785,1,2,1,10,1,2,3,2016,4,3,6,,,1,1,2,,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,1,2,0,,,68,0,01,68,740.64259238
5332785,1,3,1,10,3,2,11,1969,51,5,6,,5,2,,2,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,3,,,68,3,01,68,740.64259238
5332785,1,4,1,10,4,1,1,1959,62,5,6,,6,3,,2,,,,,,,,,,,,,,1,,,1,,,3,,,2,2,2,,1,0,,,68,0,01,68,740.64259238
5332785,1,5,1,10,5,2,3,1961,59,5,6,,6,3,,2,,,,,,1,,,,1,,,,,,,1,,,3,,,2,1,2,,3,5,,,68,5,01,68,740.64259238
5332785,1,6,1,10,6,1,11,1987,33,5,6,,6,2,,1,5,,,,,,,,,,,,,1,,,1,,,1,1,35112,2,1,2,,5,11,2,,68,11,01,68,740.64259238
5332786,1,1,1,10,1,2,11,1960,60,1,6,,5,3,,3,,,,,,,,,,1,,,,,,2,1,,,3,,,2,1,2,,5,11,2,,68,11,01,68,655.70021549
5332786,1,2,1,10,2,1,11,1981,39,3,6,,6,3,,1,1,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,4,8,,,68,8,01,68,655.70021549
5332786,1,3,1,10,3,1,8,2005,15,4,6,,6,1,2,2,,,,,,,,,,,1,,,,,,2,1,10,,,,2,1,1,1,4,9,,,68,9,01,68,655.70021549
5332786,1,4,1,10,4,1,8,1958,62,5,6,,6,3,,3,,,,,,,,,,,,,,1,,,2,1,96,,,,2,1,2,,4,9,,,68,9,01,68,655.70021549
5332787,1,1,1,10,2,1,3,1962,58,1,6,,2,3,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,35112,2,1,2,,3,5,,,68,5,01,68,366.80901604
5332787,1,2,1,10,2,2,2,1962,58,2,6,,2,3,,3,,1,1,,,,,,,1,,,,,,,1,,,1,2,70224,2,1,2,,3,5,,,68,5,01,68,366.80901604
5332787,2,1,2,10,1,1,9,1952,68,1,6,,4,3,,3,,,,,,,,,,,,,,1,,2,1,,,1,2,70224,2,1,2,,3,5,,,68,5,01,68,366.80901604
5332794,1,1,1,10,1,2,6,1954,66,1,6,,4,3,,3,,,,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,5,,,50,5,01,50,208.0722409
5332795,1,1,1,10,1,2,6,1955,65,1,6,,4,3,,3,,,,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,3,,,50,3,01,50,243.10186494
5332795,1,2,1,10,2,2,9,1981,39,3,6,,6,2,,1,1,,,,,,,,,1,,,,,,,2,1,12,,,,2,1,2,,5,11,2,,50,11,01,50,243.10186494
5332795,1,3,1,10,2,1,8,2007,13,4,6,,6,2,,1,2,,,,,,,,,,,,,1,,,2,1,12,,,,2,1,1,1,4,6,,,50,6,01,50,243.10186494
