DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,RAMA4D_D_R4,MES,DPTO,fex_c_2011
5332773,1,2,1,70,68,2,48,1,,2,2,1,,2,2,8,,,,,,,,,,,1,1,320000,877803,2,,47,45,45,1,1,4782,01,68,293.46975331
5332783,1,1,1,70,68,8,48,1,,2,8,1,,9,2,1,,,1,,,,,,,,,2,,2000000,1,1,88,13,21,1,1,8890,01,68,612.56144108
5332784,1,1,1,70,68,5,48,1,,2,5,1,,2,2,1,,,1,,,,,,,,,1,1500000,1500000,1,2,49,98,98,1,1,4923,01,68,419.26875014
5332785,1,5,1,70,68,16,48,3,,2,52,3,,1,2,1,,,,,,,,,,,1,2,,877803,2,,97,54,54,1,2,9700,01,68,740.64259238
5332786,1,2,1,70,68,52,48,1,,2,52,4,,1,2,1,,,,,,,,,,,1,2,,877803,2,,45,34,44,1,2,4512,01,68,655.70021549
5332796,1,1,1,70,50,8,48,1,,2,8,1,,9,2,3,,,,,,,,,,,1,2,,1300000,2,,80,58,58,1,1,8010,01,50,410.4222576
5332796,1,4,1,70,50,2,50,1,,2,2,1,,3,2,1,,,,,,,,,,,1,1,800000,900000,2,,56,53,53,1,1,5611,01,50,410.4222576
5332798,1,2,1,70,50,16,48,1,,2,36,1,,3,2,1,,,,,,,,,,,1,2,,900000,2,,56,34,53,1,2,5611,01,50,388.30782845
5332799,1,1,1,70,50,6,48,4,,2,6,4,,1,2,1,,,,,,,,,,,1,2,,800000,2,,81,55,55,1,1,8121,01,50,208.0722409
5332803,1,2,1,70,50,4,48,1,,2,4,1,,2,2,1,,,,,,,,,,,1,1,1000000,1000000,2,,41,95,95,1,1,4111,01,50,277.63218942
5332806,1,2,1,70,50,8,48,1,,2,8,1,,4,2,1,,,,,,,,,,,1,1,1600000,1200000,2,,41,95,95,1,1,4111,01,50,307.57621098
5332807,1,2,1,70,50,259,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,45,,1,2,.,01,50,367.37170148
5332843,1,1,1,70,54,5,48,4,,2,7,4,,1,2,1,,,,,,,,,,,1,2,,800000,2,,41,95,95,1,1,4111,01,54,419.96569042
5332846,1,1,1,70,76,52,48,1,,2,52,3,,1,2,4,,,,,,,,,,,1,2,,907256,2,,97,59,59,1,2,9700,01,76,919.74557592
