DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5332772,1,1,1,80,68,1,9,AISLAMIENTO PREVENTIVO OBLIGATORIO,2,,,12,TEMOR AL CONTAGIO COVID 19,2,,2,,,,,2,1,01,1.4,68,299.79015098
5332772,1,3,1,80,68,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,299.79015098
5332774,1,2,1,80,68,2,,,,2,,,.,,,2,,,,,,1,01,,68,360.18116255
5332784,1,2,1,80,68,1,8,,2,,,9,,1,1,2,,,,,1,1,01,1.2,68,419.26875014
5332785,1,3,1,80,68,1,4,,2,,,4,,2,,2,,,,,2,1,01,3,68,740.64259238
5332785,1,4,1,80,68,1,4,,2,,,4,,2,,2,,,,,2,1,01,2,68,740.64259238
5332786,1,3,1,80,68,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,655.70021549
5332787,1,2,1,80,68,1,7,,2,,,9,,3,,2,,2,,800000,3,1,01,1.4,68,366.80901604
5332787,2,1,2,80,68,1,8,,2,,,8,,3,,2,,,,,3,1,01,2,68,366.80901604
5332794,1,1,1,80,50,1,6,,2,,,8,,2,,2,,,,,2,1,01,4,50,208.0722409
5332795,1,1,1,80,50,1,4,,2,,,8,,2,,2,,,,,2,1,01,4,50,243.10186494
5332795,1,3,1,80,50,2,,,,2,,,.,,,2,,,,,,1,01,,50,243.10186494
5332796,1,2,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,01,1.3,50,410.4222576
5332797,1,2,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,01,1.4,50,367.37170148
5332803,1,1,1,80,50,1,3,,2,,,4,,2,,2,,,,,2,1,01,4,50,277.63218942
5332804,1,2,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,186.90755955
5332805,1,1,1,80,50,1,3,,2,,,12,POR LA PANDEMIA,2,,2,,,,,2,1,01,2,50,292.17242218
5332805,1,4,1,80,50,2,,,,2,,,.,,,2,,,,,,1,01,,50,292.17242218
5332806,1,1,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,01,3,50,307.57621098
5332808,1,2,1,80,50,1,8,,2,,,9,,2,,2,,1,48,800000,2,1,01,1.2,50,318.82912445
5332809,1,3,1,80,50,2,,,,2,,,.,,,2,,,,,,1,01,,50,361.87968057
5332810,1,3,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,145.34567475
5332810,1,4,1,80,50,1,4,,2,,,8,,2,,2,,,,,2,1,01,4,50,145.34567475
5332810,1,5,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,145.34567475
5332842,1,1,1,80,54,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,54,343.56265745
5332842,1,2,1,80,54,1,8,,2,,,9,,2,,2,,2,,800000,2,1,01,2,54,343.56265745
5332843,1,2,1,80,54,1,8,,2,,,9,,2,,2,,,,,2,1,01,4,54,419.96569042
5332847,1,1,1,80,76,1,4,,2,,,4,,2,,2,,,,,2,1,01,3,76,932.22191901
5332848,1,2,1,80,76,2,,,,2,,,.,2,,2,,,,,2,1,01,,76,946.79045531
5332849,1,1,1,80,76,1,7,,2,,,11,,3,,2,,,,,3,1,01,4,76,809.30288586
5332849,1,2,1,80,76,2,,,,2,,,.,2,,2,,,,,2,1,01,,76,809.30288586
5332850,1,1,1,80,76,1,8,,2,,,4,,2,,2,,,,,2,1,01,4,76,1307.2318022
5332850,1,4,1,80,76,2,,,,2,,,.,,,2,,,,,,1,01,,76,1307.2318022
5332850,1,5,1,80,76,2,,,,2,,,.,2,,2,,,,,2,1,01,,76,1307.2318022
5332851,1,1,1,80,76,2,,,,2,,,.,2,,2,,,,,2,1,01,,76,919.74557592
5332852,1,2,1,80,76,2,,,,2,,,.,2,,2,,,,,2,1,01,,76,1104.8016632
5332853,1,1,1,80,76,1,3,,2,,,9,,2,,2,,,,,2,1,01,3,76,943.65814299
5332855,1,1,1,80,76,1,1,,2,,,4,,2,,2,,2,,1000000,2,1,01,1.2,76,966.4771524
5332855,1,2,1,80,76,1,1,,2,,,4,,2,,2,,,,,2,1,01,3,76,966.4771524
5332855,1,5,1,80,76,2,,,,2,,,.,,,2,,,,,,1,01,,76,966.4771524
5332855,1,7,1,80,76,1,7,,2,,,9,,2,,2,,2,,800000,2,1,01,4,76,966.4771524
5332855,1,8,1,80,76,2,,,,2,,,.,2,,2,,,,,2,1,01,,76,966.4771524
5332864,1,2,1,80,05,2,,,,2,,,.,2,,2,,2,,877803,2,1,01,,05,1226.7129172
5332864,1,3,1,80,05,1,8,,1,,1,9,,2,,2,,,,1100000,2,1,01,1.3,05,1226.7129172
5332871,1,3,1,80,17,2,,,,2,,,.,,,2,,,,,,1,01,,17,201.3798871
5332875,1,3,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,01,,17,201.86902529
