DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,P6430,RAMA4D_R4,INGLABO,MES,DPTO,fex_c_2011,RAMA4DP8_R4
5332772,1,2,1,60,68,68,1,2,2,12,1,,,1,1,2,1,24,,1,,2,877803,2,,,2,,2,,2,,2,,2,,,1,102854,2,2,,,2,,,2,,,2,,,1,877803,2,,2,,1,200000,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,4,9,,1,,1,1,1,6,1,1,,,,,,,,,1,1,1,2,12,1,,2,,,,,,,,1,2,20,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,8,,95,42,1,1,4210,877803,01,68,299.79015098,
5332773,1,1,1,60,68,68,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,800000,1,,3,,12,2,,,,,3,1,1,40,,.,40,,,1,6,,10,,2,,,,1,,,,,,,,,1,2,2,1,1,12,1,,2,,,,,,,,1,12,30,,2,,,,1,1,2,1,2,2,2,2,2,2,2,,1,1,1,2,2,2,2,1,8,,97,52,1,4,5224,800000,01,68,293.46975331,
5332774,1,1,1,60,68,68,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,150000,1,,3,,12,2,,,,,3,1,2,60,,.,60,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,4,38,1,,2,,,,,,,,1,14,,,2,,,,2,,,,,,,,,,,,,,1,2,2,2,1,1,8,,84,45,1,4,4520,150000,01,68,360.18116255,
5332783,1,2,1,60,68,68,1,2,2,12,1,,,1,1,2,1,18,,1,,2,1100000,2,,,2,,2,,2,,2,,2,,,1,102854,1,2,,,2,,,2,,,2,,,1,1200000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,0,3,,9,7,,1,,1,1,1,9,1,1,,,,,,,,,1,1,1,4,60,1,,2,,,,,,,,8,11,15,,1,20,2,1,2,,,,,,,,,,,,,,1,1,1,2,1,1,1,,39,94,1,1,9499,1100000,01,68,612.56144108,
5332785,1,1,1,60,68,68,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,600000,1,,3,,6,2,,,,,3,3,2,48,,.,48,,,1,5,,2,,2,,,,1,,,,,,,,,1,2,2,1,6,60,4,,2,,,,,,,,2,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,02,43,1,4,4321,600000,01,68,740.64259238,
5332785,1,6,1,60,68,68,1,2,1,,1,,,1,1,2,1,24,,3,,2,877803,2,,,2,,2,,2,,2,,2,,,1,102854,2,2,,,2,,,2,,,2,,,1,877803,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,6,,1,,1,1,1,2,1,1,,,,,,,,,2,1,1,0,1,1,,2,,,,,,,,1,2,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,99,38,1,1,3811,877803,01,68,740.64259238,
5332786,1,1,1,60,68,68,2,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,100000,1,,3,,12,2,,,,,3,3,2,14,2,,14,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,36,1,,2,,,,,,,,1,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,45,47,1,4,4792,100000,01,68,655.70021549,
5332786,1,4,1,60,68,68,1,1,,,1,,,2,2,2,2,78,,1,,2,1600000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,54,,.,54,,,4,7,,4,,2,,,,1,,,1,,,,,,,2,2,1,0,36,1,,2,,,,,,,,1,2,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,84,33,1,1,3312,1600000,01,68,655.70021549,
5332787,1,1,1,60,68,68,1,2,1,,1,,,1,1,2,1,420,,3,,2,877803,2,,,2,,2,,2,,2,,2,,,1,102854,2,2,,,2,,,2,,,2,,,1,877803,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,56,,.,0,1,,9,4,,1,,1,1,1,35,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,2,20,2,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,98,49,1,1,4923,877803,01,68,366.80901604,
5332795,1,2,1,60,50,50,1,1,,,1,,,1,2,2,2,7,,1,,2,800000,2,,,1,250000,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,10,,,,,,,,,50,,.,50,,,3,7,,4,,2,,,,1,,,,,,,,,1,2,2,1,2,3,1,,2,,,,,,,,13,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,53,56,1,1,5619,1050000,01,50,243.10186494,
