DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,FT,DPTO,fex_c_2011
5367027,1,1,1,50,,1,,,1,1,,,,,,,,,,,,,,02,1,68,4302.405868
5367027,1,2,1,50,,1,,,2,1,,,,,,,,,,,,,,02,1,68,4302.405868
5367028,1,1,1,50,,1,,,1,4,,2,2,2,2,1,10,,,,,,,02,1,68,5158.2424523
5367028,1,2,1,50,,1,,,2,1,,,,,,,,,,,,,,02,1,68,5158.2424523
5367028,1,3,1,50,,1,,,3,1,,,,,,,,,,,,,,02,1,68,5158.2424523
5367028,1,5,1,50,,1,,,5,1,,,,,,,,,,,,,,02,1,68,5158.2424523
5367029,1,1,1,50,,1,1,,1,2,,2,2,2,1,,,,,,,,1,02,1,68,4106.098894
5367030,1,1,1,50,,1,,,1,1,,,,,,,,,,,,,,02,1,68,5610.0764413
5367030,1,2,1,50,,1,,,1,4,,2,2,2,2,2,,,,,,,,02,1,68,5610.0764413
5367031,1,1,1,50,,1,,,1,1,,,,,,,,,,,,,,02,1,68,5309.340606
5367031,1,2,1,50,,1,,,2,4,,2,2,2,2,2,,,,,,,,02,1,68,5309.340606
5367031,1,3,1,50,,1,,,2,3,,2,2,2,2,2,,,,,,,,02,1,68,5309.340606
5367032,1,1,1,50,,1,,,1,1,,,,,,,,,,,,,,02,1,68,3711.0836319
5367033,1,1,1,50,,1,1,,1,2,,2,2,2,1,,,,,,,,1,02,1,68,4487.7300515
5367033,1,2,1,50,,1,,,2,1,,,,,,,,,,,,,,02,1,68,4487.7300515
5367034,1,1,1,50,,1,2,,1,2,,2,2,2,1,,,,,,,,1,02,1,68,3516.2560102
5367034,1,2,1,50,,1,,,2,6,DESCANSANDO POR VEJEZ,2,2,2,2,2,,,,,,,,02,1,68,3516.2560102
5367034,1,4,1,50,,1,,,4,4,,2,2,2,2,1,10,,,,,,,02,1,68,3516.2560102
5367035,1,1,1,50,,1,,,1,1,,,,,,,,,,,,,,02,1,68,4739.6585289
5367035,1,2,1,50,,1,,,2,4,,2,2,2,2,1,5,,2,,1,6,1,02,1,68,4739.6585289
5367035,1,3,1,50,,1,,,2,3,,2,2,2,2,2,,,,,,,,02,1,68,4739.6585289
5367036,1,1,1,50,,1,,,1,1,,,,,,,,,,,,,,02,1,68,2702.794974
5367036,1,2,1,50,,1,,,2,6,AYUDAR EN EL NEGOCIO FAMILIAR,2,2,1,,,,,,,,,,02,1,68,2702.794974
