DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5367027,1,1,1,60,,1,68,2,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,1000000,1,,3,,12,1,1,0,1,0,3,10,1,50,,.,56,,,2,1,,3,,2,,,,1,,,1,,,,,,,2,2,1,0,180,3,,2,,,,,,,,9,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,94,32,1,02,4,3290,1000000,68,4302.405868,
5367027,1,2,1,60,,1,68,2,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,1000000,1,,3,,12,1,1,0,1,0,3,3,1,60,,.,62,,,2,1,,10,,2,,,,1,,,,,,,,,1,2,2,1,0,108,8,,2,,,,,,,,3,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,94,32,1,02,4,3290,1000000,68,4302.405868,
5367028,1,2,1,60,,1,68,1,2,1,,2,1,,1,2,1,1,4,,1,,2,1200000,2,,,2,,2,,2,,2,,2,,,1,100000,1,2,,,2,,,2,,,2,,,1,300000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,4,,,,,,,,,48,,.,48,,,7,7,,2,,1,2,1,0,1,,,,1,,,,,,1,1,1,8,8,1,,2,,,,,,,,13,12,10,,1,15,2,1,1,1,1,1,2,1,2,2,2,1,2,,2,1,2,2,1,2,2,1,8,,87,84,1,02,1,8413,1200000,68,5158.2424523,7810
5367028,1,3,1,60,,1,68,1,2,2,6,1,,,1,2,2,2,0,,2,,2,0,2,,,2,,2,,2,,9,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,2,,,,,,,,,56,,.,56,,,7,7,,1,,1,2,1,1,1,,,,,,,,,1,1,2,1,0,2,4,,2,,,,,,,,3,11,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,2,3,,59,86,1,02,1,8621,0,68,5158.2424523,
5367028,1,5,1,60,,1,68,2,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,100000,1,,3,,12,2,,,,,2,10,2,60,,.,60,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,12,4,,2,,,,,,,,3,9,180,,2,,,,1,1,1,1,2,1,2,2,1,1,2,,1,1,2,2,2,2,1,1,8,,64,03,1,02,4,0312,100000,68,5158.2424523,
5367030,1,1,1,60,,1,68,1,1,,,1,,,1,2,2,2,2,,1,,2,900000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,4,,,,,,,,,48,,.,48,,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,8,12,1,,2,,,,,,,,3,3,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,55,55,1,02,1,5530,900000,68,5610.0764413,
5367031,1,1,1,60,,1,68,2,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,60000,1,,3,,12,2,,,,,2,5,2,48,,.,48,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,12,4,,2,,,,,,,,3,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,85,95,1,02,4,9521,60000,68,5309.340606,
5367032,1,1,1,60,,1,68,2,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,2600000,1,,3,,12,2,,,,,2,1,1,48,,.,54,,,1,1,,4,,2,,,,1,,,,,,,,,1,2,2,1,0,120,1,,2,,,,,,,,2,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,59,96,1,02,4,9609,2600000,68,3711.0836319,
5367033,1,2,1,60,,1,68,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,750000,1,,3,,5,2,,,,,2,1,2,40,,.,40,,,1,6,,4,,2,,,,1,,,,,,,,,1,2,2,1,3,1,4,,2,,,,,,,,2,3,1,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,97,53,1,02,4,5320,750000,68,4487.7300515,
5367035,1,1,1,60,,1,68,1,2,1,,1,,,1,1,1,1,18,,2,,1,2800000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,1200000,2,,1,600000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,50,,.,50,,,9,7,,1,,1,2,1,6,1,1,,,,,,,,,1,2,1,1,7,1,,2,,,,,,,,1,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,2,2,,02,71,1,02,1,7120,2800000,68,4739.6585289,
5367036,1,1,1,60,,1,68,2,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,800000,1,,3,,8,1,2,0,0,2,3,1,2,72,,.,72,,,2,1,,4,,2,,,,1,,,,,,,,,1,2,2,1,4,171,4,,2,,,,,,,,13,14,,,2,,,,2,,,,,,,,,,,,,,1,1,2,2,1,1,3,,53,56,1,02,4,5619,800000,68,2702.794974,
5367036,1,2,1,60,,1,68,2,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,.,8,,,,,,,,,42,,.,42,,,2,1,,4,,2,,,,1,,,,,,,,,1,2,2,1,4,60,6,,2,,,,,,,,13,14,,,2,,,,1,1,1,1,1,1,2,2,1,1,2,,2,1,2,2,2,2,2,1,8,,45,56,1,02,6,5619,,68,2702.794974,
5367036,1,3,1,60,,1,68,2,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,.,8,,,,,,,,,5,1,,5,,,2,1,,4,,2,,,,1,,,,,,,,,1,2,2,1,4,18,6,,2,,,,,,,,13,14,,,1,43,2,1,1,1,1,1,2,1,2,2,2,2,2,,2,1,2,2,2,2,2,1,5,,45,56,1,02,6,5619,,68,2702.794974,
5367064,1,1,1,60,05,1,5,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,140000,1,,3,,12,2,,,,,2,1,2,20,1,,20,,,1,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,12,6,3,,2,,,,,,,,3,4,40,,2,,,,1,1,2,1,2,1,2,2,2,2,2,,1,1,2,2,2,2,2,1,8,,55,81,1,02,4,8121,140000,05,1307.2338945,
