DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5372924,1,1,1,60,2,68,2,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2020,1,4000000,1,48000000,3,,12,1,2,2,0,0,3,3,2,52,,.,52,,,2,7,,1,,2,,,,1,,,,1,,,,,,9,2,1,0,120,5,,2,,,,,,,,3,8,35,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,41,46,1,02,5,4649,4000000,68,1039.5428993,
5372924,1,2,1,60,2,68,2,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2020,1,1000000,1,12000000,3,,12,1,1,1,0,0,3,3,2,72,,.,72,,,2,7,,3,,2,,,,1,,,,1,,,,,,2,2,1,0,60,1,,2,,,,,,,,10,8,35,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,21,96,1,02,5,9602,1000000,68,1039.5428993,
5372924,1,3,1,60,2,68,1,2,1,,1,,,1,2,2,2,11,,1,,2,795000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,24,2,,24,,,3,7,,1,,2,,,,1,,,,1,,,,,,1,2,1,1,36,4,,1,68,20,5,,0,2,8,2,11,35,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,8,,21,68,1,02,1,6820,795000,68,1039.5428993,
5372924,1,4,1,60,2,68,1,2,1,,1,,,1,2,2,2,12,,1,,2,500000,2,,,1,300000,1,200000,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,60,,.,60,,,1,1,,4,,2,,,,1,,,,,,,,,1,2,2,1,6,72,4,,2,,,,,,,,2,14,,,2,,,,1,1,2,1,2,2,2,2,2,2,2,,2,1,1,1,1,2,1,1,8,,62,97,1,02,3,9700,1000000,68,1039.5428993,
5372926,1,1,1,60,2,68,1,2,2,12,1,,,1,1,2,1,168,,2,,2,2000000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,2000000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,24,2,,24,,,9,7,,1,,1,2,1,20,1,1,,,,,,,,,1,1,1,0,12,1,,2,,,,,,,,1,8,25,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,5,,13,85,1,02,1,8544,2000000,68,1447.4161972,
5372926,1,2,1,60,2,68,1,2,1,,1,,,1,1,2,1,120,,2,,2,5600000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,5600000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,1,,1,,1,2,1,15,1,1,,,,,,,,,1,1,1,0,60,1,,2,,,,,,,,1,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,5,,05,74,1,02,1,7490,5600000,68,1447.4161972,
5372927,1,1,1,60,2,68,1,2,2,12,1,,,1,1,2,1,5,,1,,2,900000,2,,,2,,2,,2,,2,,2,,,1,102854,2,2,,,2,,,2,,,2,,,1,450000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,50,,.,50,,,9,9,,1,,1,2,1,6,1,1,,,,,,,,,1,1,1,0,24,1,,2,,,,,,,,2,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,95,41,1,02,1,4111,900000,68,1140.4866757,
5372928,1,1,1,60,2,68,1,2,1,,1,,,1,1,2,1,36,,2,,2,908526,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,1,877803,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,56,,.,56,,,7,4,,1,,1,1,1,10,1,1,,,,,,,,,1,1,1,0,36,1,,2,,,,,,,,1,11,40,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,98,49,1,02,1,4921,908526,68,1114.836366,
5372928,1,2,1,60,2,68,1,1,,,1,,,1,2,2,2,1,,1,,2,100000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,4,,,,,,,,,5,2,,0,6,,1,2,,3,,2,,,,1,,,,,,,,,1,2,2,1,8,11,3,,2,,,,,,,,5,3,5,2,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,54,97,1,02,3,9700,100000,68,1114.836366,
5372928,1,4,1,60,2,68,1,1,,,1,,,1,2,2,2,1,,1,,2,400000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,1,2,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,1,8,,2,,,,,,,,1,3,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,54,97,1,02,3,9700,400000,68,1114.836366,
