DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480S1,P7480S1A1,P7480S3,P7480S3A1,P7480S4,P7480S4A1,P7480S5,P7480S5A1,P7480S6,P7480S6A1,P7480S7,P7480S7A1,P7480S8,P7480S8A1,P7480S9,P7480S9A1,P7480S10,P7480S10A1,P7480S11,P7480S11A1,CLASE,MES,DPTO,fex_c_2011
5372924,1,1,1,90,1,2,1,3,2,,2,,2,,2,,2,,1,8,2,,2,,2,02,68,1039.5428993
5372924,1,2,1,90,2,,1,8,2,,2,,2,,2,,1,8,2,,2,,2,,2,02,68,1039.5428993
5372924,1,3,1,90,1,10,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1039.5428993
5372924,1,4,1,90,1,4,1,3,1,1,2,,2,,2,,2,,2,,2,,1,1,2,02,68,1039.5428993
5372925,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,777.64334766
5372925,1,2,1,90,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,777.64334766
5372926,1,1,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1447.4161972
5372926,1,2,1,90,2,,1,18,2,,1,14,2,,2,,2,,2,,2,,2,,2,02,68,1447.4161972
5372927,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1140.4866757
5372927,1,2,1,90,2,,1,28,2,,1,47,2,,2,,2,,2,,2,,2,,2,02,68,1140.4866757
5372927,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1140.4866757
5372928,1,1,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1114.836366
5372928,1,2,1,90,2,,1,28,2,,1,20,2,,2,,2,,2,,2,,2,,2,02,68,1114.836366
5372928,1,4,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1114.836366
5372928,1,5,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1114.836366
5372929,1,1,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1298.0559077
5372930,1,1,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1291.9242126
5372930,1,2,1,90,1,7,1,18,2,,1,12,2,,2,,2,,2,,2,,2,,2,02,68,1291.9242126
5372931,1,1,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,732.68775739
5372932,1,1,1,90,2,,1,24,2,,2,,1,24,2,,2,,2,,2,,2,,2,02,68,574.75412527
5372932,1,2,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,574.75412527
5372932,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,574.75412527
5372933,1,1,1,90,1,14,1,8,2,,1,10,2,,2,,2,,2,,2,,2,,2,02,68,777.64334766
5372933,1,2,1,90,1,15,1,50,2,,1,18,2,,2,,2,,2,,2,,2,,2,02,68,777.64334766
5372934,1,1,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,644.51244017
5372934,1,2,1,90,2,,1,28,2,,1,12,2,,2,,2,,2,,2,,2,,2,02,68,644.51244017
5372934,1,3,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,644.51244017
5372935,1,1,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,995.58491963
5372935,1,2,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,995.58491963
5372935,1,3,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,995.58491963
5372936,1,1,1,90,1,10,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1228.6619929
5372937,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1924.6090303
5372937,1,2,1,90,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1924.6090303
5372937,2,1,2,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1924.6090303
5372937,2,2,2,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1924.6090303
5372938,1,1,1,90,1,4,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,980.0573921
5372938,1,2,1,90,1,3,1,18,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,980.0573921
5372938,1,3,1,90,1,2,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,980.0573921
5372938,1,4,1,90,1,4,1,24,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,980.0573921
5372939,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,2957.2016627
5372939,1,2,1,90,2,,1,32,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,2957.2016627
5372939,1,3,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,2957.2016627
5372939,1,4,1,90,1,5,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,2957.2016627
5372939,1,5,1,90,1,5,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,2957.2016627
5372939,1,6,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,2957.2016627
5372940,1,1,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1170.9551423
5372940,1,2,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1170.9551423
5372940,1,3,1,90,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1170.9551423
5372941,1,1,1,90,1,18,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1589.255643
5372941,1,2,1,90,1,35,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1589.255643
5372941,1,3,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1589.255643
5372942,1,1,1,90,2,,1,8,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,739.30041567
5372942,1,2,1,90,2,,1,16,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,739.30041567
5372942,1,3,1,90,2,,1,24,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,739.30041567
