DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,P5220,P5220S1,P6008,P6007,P6007S1,HOGAR,P4000,P4010,P4020,P4030S1,P4030S1A1,P4030S2,P4030S3,P4030S4,P4030S4A1,P4030S5,P4040,REGIS,CLASE,MES,DPTO,fex_c_2011
5372924,1,4,3,2,1,1,1,1,3,1,,,98,600000,,2,2,2,2,1,1,1,2,2,2,1,2,1,1,2,2,1,1,1,1,2,1,4,4,2,,1,1,1,4,1,2,1,2,1,2,1,1,01,2,02,68,1039.5428993
5372925,1,3,1,2,1,1,1,1,3,1,,,120000000,360000,,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,,1,1,1,4,1,2,1,2,1,2,1,1,01,2,02,68,777.64334766
5372926,1,4,2,2,1,1,1,1,3,1,,,98,500000,,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,3,2,,1,1,1,4,1,2,1,2,1,2,1,1,01,2,02,68,1447.4161972
5372927,1,3,2,2,1,1,1,1,3,1,,,600000000,250000,,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,2,,1,1,1,4,1,2,1,2,1,2,1,1,01,2,02,68,1140.4866757
5372928,1,3,2,2,1,1,6,1,3,1,,,98,400000,,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,5,2,,1,1,1,1,1,2,1,2,1,2,2,,01,2,02,68,1114.836366
5372929,1,2,1,2,1,1,1,1,4,1,,,80000000,400000,,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,1,1,4,1,2,2,2,1,2,1,1,01,2,02,68,1298.0559077
5372930,1,4,3,2,1,1,1,1,3,1,,,98,500000,,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,3,3,2,,1,1,3,1,1,2,1,2,1,2,1,1,01,2,02,68,1291.9242126
5372931,1,3,1,2,1,1,1,1,3,1,,,900000000,350000,,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,1,1,4,1,2,1,2,1,2,1,1,01,2,02,68,732.68775739
5372932,1,4,3,2,1,1,1,1,3,3,,,,,400000,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,3,2,,1,1,1,4,1,2,1,2,1,2,1,1,01,2,02,68,574.75412527
5372933,1,4,2,2,1,1,1,1,3,2,,550000,80000000,500000,,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,,1,1,1,4,1,2,1,2,1,2,1,1,01,2,02,68,777.64334766
5372934,1,3,2,2,1,1,1,1,3,3,,,,,450000,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,,4,2,,1,1,1,4,1,2,1,2,1,2,1,1,01,2,02,68,644.51244017
5372935,1,3,2,2,1,1,6,1,3,4,,,,400000,,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,3,3,2,,1,1,1,2,1,2,1,2,1,2,2,,01,2,02,68,995.58491963
5372936,1,4,1,2,1,3,4,1,3,4,,,,200000,,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,,1,1,1,2,1,2,1,2,2,,2,,01,2,02,68,1228.6619929
5372937,1,3,2,1,1,1,1,1,3,3,,,,,400000,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,1,1,1,4,1,2,1,1,1,2,1,1,01,2,02,68,1924.6090303
5372937,2,2,1,1,1,1,1,1,3,3,,,,,350000,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,4,2,,2,1,1,4,1,2,1,1,1,2,1,1,01,2,02,68,1924.6090303
5372938,1,4,3,2,1,1,2,1,4,1,,,20000000,300000,,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,4,2,,1,1,5,1,1,1,2,2,1,2,2,,01,2,02,18,980.0573921
5372939,1,3,3,2,1,4,2,1,4,1,,,10000000,200000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,8,2,,1,1,1,2,1,1,2,2,2,,2,,01,2,02,18,2957.2016627
5372940,1,3,2,2,1,1,2,1,4,4,,,,200000,,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,3,2,,1,1,1,2,1,1,2,2,1,2,2,,01,2,02,18,1170.9551423
5372941,1,5,3,2,1,4,2,1,4,1,,,15000000,300000,,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,1,1,4,2,,1,1,1,2,1,1,2,2,2,,2,,01,2,02,18,1589.255643
5372942,1,3,2,2,1,1,2,1,4,1,,,10000000,200000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,4,2,,1,1,1,4,1,1,2,2,1,2,2,,01,2,02,18,739.30041567
5372943,1,3,2,2,1,4,2,1,4,1,,,7000000,150000,,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,1,1,2,1,1,2,2,2,,2,,01,2,02,18,1266.0809347
5372944,1,3,2,2,1,1,2,1,4,1,,,6000000,100000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,3,2,,1,1,5,1,1,1,2,2,1,2,2,,01,2,02,18,772.78406334
5372945,1,4,3,2,1,4,2,1,4,1,,,25000000,400000,,2,2,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,3,5,2,,1,1,1,2,1,1,2,2,2,,2,,01,2,02,18,739.30041567
5372946,1,1,1,2,1,4,2,2,5,4,,,,50000,,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,3,2,,1,1,5,1,1,1,2,2,2,,2,,01,2,02,18,868.04825122
5372947,1,2,1,2,1,4,2,1,4,1,,,4000000,150000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,3,2,,1,1,5,2,1,1,2,2,2,,2,,01,2,02,18,1684.8892054
5372948,1,2,1,2,1,4,2,1,4,1,,,12000000,200000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,3,5,2,,1,1,5,2,1,1,2,2,2,,2,,01,2,02,18,1394.9734241
5372949,1,2,1,2,1,4,2,1,4,4,,,,100000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,1,1,5,2,1,1,2,2,2,,2,,01,2,02,18,1437.185466
5373383,1,2,1,2,1,1,2,4,4,5,,,,250000,,2,1,2,2,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,1,4,2,,1,1,1,2,1,1,2,2,1,2,2,,01,2,02,44,1375.2312415
5373384,1,3,2,2,1,1,1,1,3,3,,,,,250000,2,1,2,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,6,2,,1,1,1,4,1,1,1,1,1,2,1,2,01,2,02,44,1701.2909968
5373385,1,4,3,2,1,1,1,5,3,5,,,,250000,,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,3,9,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,1057.5006274
5373386,1,3,2,2,1,1,1,1,4,1,,,10000000,100000,,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,1,1,4,2,1,1,2,2,1,2,1,2,01,2,02,44,1175.0166544
5373387,1,3,2,2,1,1,1,1,4,1,,,6000000,150000,,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,1,1,1,2,1,1,2,2,1,2,1,2,01,2,02,44,1033.295937
5373388,1,3,2,2,1,1,1,1,4,1,,,98,250000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,4,2,,1,1,1,2,1,1,2,2,1,2,1,2,01,2,02,44,847.66177552
5373389,1,2,1,1,1,1,1,3,3,5,,,,250000,,2,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,2,,1,1,1,2,1,1,1,1,1,2,1,2,01,2,02,44,1040.9778455
5373390,1,3,2,2,1,1,1,1,3,1,,,98,300000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,4,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,847.66177552
5373391,1,4,3,2,1,1,1,1,3,4,,,,300000,,2,2,1,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,4,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,970.41505405
5373392,1,4,3,2,1,1,1,1,3,2,,270000,35000000,300000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,3,4,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,726.88758541
5373393,1,4,3,2,1,1,1,1,3,1,,,98,350000,,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,3,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,1366.0243087
5373394,1,3,2,2,1,1,1,1,3,1,,,30000000,300000,,2,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,3,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,862.3462213
5373395,1,3,2,2,1,1,10,1,3,5,,,,350000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,3,2,,1,2,1,4,1,1,1,2,1,1,1,2,01,2,02,44,901.54493458
5373396,1,3,2,2,1,1,1,1,3,4,,,,150000,,2,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,5,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,1957.8738753
5373397,1,1,1,2,1,1,10,1,3,3,,,,,400000,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,4,2,,1,2,1,4,1,1,1,2,1,1,1,2,01,2,02,44,1740.8962449
5373398,1,3,2,6,,1,1,5,5,3,,,,,100000,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,5,2,,1,1,1,2,1,1,1,1,1,2,1,2,01,2,02,44,2013.246177
5373399,1,2,1,1,1,1,1,1,4,4,,,,150000,,2,2,2,1,2,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,3,2,,1,1,4,1,1,1,2,1,1,2,1,2,01,2,02,44,1366.0243087
5373400,1,3,2,1,1,1,10,1,3,5,,,,400000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,1,1,1,4,1,1,1,1,1,2,1,2,01,2,02,44,916.22938036
5373401,1,1,1,1,1,1,10,1,3,4,,,,200000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,,1,2,1,2,1,1,1,1,1,2,1,2,01,2,02,44,1061.9243728
5373402,1,2,1,2,1,1,1,1,3,3,,,,,500000,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,4,2,,1,2,1,4,1,1,1,2,1,2,1,2,01,2,02,44,1620.1220548
5373403,1,1,1,2,2,1,1,1,3,4,,,,200000,,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,,1,3,1,2,1,1,1,2,1,2,1,2,01,2,02,44,887.26702363
5373404,1,3,2,2,1,1,1,1,3,3,,,,,150000,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,3,2,,1,2,1,4,1,1,1,2,1,2,1,2,01,2,02,44,1366.0243087
5373405,1,2,1,2,1,1,1,1,4,3,,,,,200000,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,3,2,,1,1,1,2,1,1,2,2,1,2,1,2,01,2,02,44,1366.0243087
5373406,1,2,1,1,1,1,10,1,3,4,,,,350000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,,1,2,1,2,1,1,1,1,1,2,1,2,01,2,02,44,894.94893209
5373407,1,1,1,1,1,1,1,6,,4,,,,150000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,3,4,2,1,0,2,1,1,2,1,2,01,2,02,44,1040.9778455
5373408,1,3,2,1,1,1,1,1,3,3,,,,,250000,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,3,2,,1,1,1,2,1,1,1,1,1,2,1,2,01,2,02,44,763.5318506
5373409,1,3,2,2,1,1,3,1,3,1,,,98,300000,,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,02,68,709.030018
5373411,1,4,3,2,1,1,6,1,3,1,,,98,350000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,5,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,02,68,1087.9005779
5373412,1,3,2,2,1,1,6,1,3,3,,,,,150000,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,3,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,02,68,524.04219623
