DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,AREA,ESC,MES,DPTO,fex_c_2011
5367062,1,1,1,10,1,2,9,1970,50,1,6,,6,2,,3,,,,,,1,,1,,,,1,,,,2,1,,,1,5,,2,1,2,,3,2,,,05,2,02,05,1062.9350654
5367063,1,1,1,10,1,2,8,1968,52,1,6,,5,3,,3,,,,,,,,,,,,1,,,,2,1,,,3,,,2,1,2,,4,8,,,05,8,02,05,1157.1889824
5367063,1,2,1,10,2,1,5,1987,33,3,6,,6,3,,1,1,,,,1,,,,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,05,11,02,05,1157.1889824
5367063,1,3,1,10,3,2,9,1991,29,3,6,,6,3,,1,1,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,05,11,02,05,1157.1889824
5367063,1,4,1,10,3,1,2,2014,6,4,6,,,2,,1,3,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,1,2,0,,,05,0,02,05,1157.1889824
5367064,1,1,1,10,1,2,7,1968,52,1,6,,5,3,,3,,,,,,,,,,,,1,,,,1,1,,,3,,,2,2,2,,1,0,,,05,0,02,05,1307.2338945
5367064,1,2,1,10,2,2,8,2003,17,3,6,,6,3,,1,1,,,,,,,,,,1,1,,,,,1,,,3,,,2,1,1,1,4,7,,,05,7,02,05,1307.2338945
5367064,1,3,1,10,3,2,1,2001,20,3,6,,6,3,,1,1,,,,,,,1,,,,1,,,,,1,,,3,,,2,1,1,1,4,7,,,05,7,02,05,1307.2338945
5367064,1,4,1,10,3,1,2,2017,4,4,6,,,2,,1,3,,,,,,,,,,,,,,,,1,,,1,5,,2,2,1,1,2,0,,,05,0,02,05,1307.2338945
5367064,1,5,1,10,3,1,7,2015,5,3,6,,,2,,1,3,,,,,,,,,,,,,,,,1,,,1,5,,2,2,1,1,2,0,,,05,0,02,05,1307.2338945
