DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,RAMA4D_D_R4,MES,DPTO,fex_c_2011
5367063,1,2,1,70,05,40,48,1,,2,44,1,,7,2,1,,,,,,,,,,,1,2,,1500000,2,,43,95,95,1,2,4330,02,05,1157.1889824
5367063,1,3,1,70,05,40,48,1,,2,104,1,,6,2,1,,,,,,,,,,,1,2,,908000,2,,10,55,77,1,2,1081,02,05,1157.1889824
5367064,1,3,1,70,05,16,48,1,,2,20,1,,2,2,1,,,,,,,,,,,1,2,,908000,2,,47,45,45,1,2,4724,02,05,1307.2338945
5367070,1,1,1,70,05,40,48,4,,2,44,4,,1,2,1,,,1,,,,,,,,,2,,908526,1,2,53,37,37,1,2,5320,02,05,1056.6532338
5367071,1,1,1,70,05,29,48,1,,2,29,1,,6,2,2,,,,,,,,,,,1,2,,1000000,2,,79,32,44,1,2,7911,02,05,1256.6482115
5367074,1,2,1,70,05,20,48,1,,2,6,1,,7,2,2,,,,,,,,,,,1,2,,2500000,2,,82,21,21,1,2,8230,02,05,964.62999258
5367081,1,1,1,70,05,2,48,1,,2,2,1,,2,2,4,,,,,,,,,,,1,1,1000000,1600000,2,,49,98,98,1,1,4923,02,05,985.03489681
5367084,1,1,1,70,05,104,48,1,,2,104,2,,9,2,1,,,,,,,,,1,YA ES PENSIONADO,,2,,1500000,3,,85,15,13,1,2,8544,02,05,1488.2383704
5367088,1,1,1,70,05,28,48,3,,2,28,3,,1,2,1,,,,,,,,,,,1,2,,908526,2,,97,54,54,1,2,9700,02,05,1111.6375453
5367088,1,3,1,70,05,5,48,1,,2,5,1,,7,2,1,,,,,,,,,,,1,2,,980000,2,,46,45,45,1,1,4649,02,05,1111.6375453
5367092,1,2,1,70,05,40,48,2,,2,40,1,,8,2,3,,,,,1,,,,,,,2,,2000000,2,,85,13,13,1,2,8530,02,05,1076.3458793
5367094,1,5,1,70,05,12,48,1,,2,36,1,,9,2,1,,,,,,,,,,,1,2,,906000,2,,78,45,55,1,1,7820,02,05,1514.4785614
5367104,1,2,1,70,05,4,48,1,,2,5,1,,7,2,2,,,,,,,,,,,1,2,,908526,2,,43,85,85,1,1,4321,02,05,1434.6422311
5367125,1,1,1,70,05,4,48,1,,2,4,1,,9,2,2,,,,,1,,,,,,,1,1300000,18000000,2,,84,44,44,1,1,8430,02,05,1353.3525833
5367126,1,1,1,70,05,4,48,1,,2,54,4,,1,2,2,,,,,,,,,,,1,2,,908600,2,,88,45,54,1,1,8890,02,05,958.34816104
5367126,1,3,1,70,05,102,48,1,,2,102,1,,9,2,1,,,,,,,,,,,1,2,,1000000,2,,82,38,38,1,2,8220,02,05,958.34816104
5367142,1,1,1,70,08,8,48,1,,2,8,1,,9,2,1,,,,,,,,,,,1,2,,906000,2,,01,98,98,1,1,0126,02,08,623.05617445
