DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5367062,1,1,1,80,05,1,3,,2,,,9,,2,,2,,2,,908000,2,1,02,3,05,1062.9350654
5367063,1,1,1,80,05,1,4,,2,,,4,,2,,2,,,,,2,1,02,3,05,1157.1889824
5367064,1,2,1,80,05,2,,,,1,1,2,,2,,2,,,,,2,1,02,,05,1307.2338945
5367064,1,7,1,80,05,2,,,,2,,,.,2,,2,,1,48,908000,2,1,02,,05,1307.2338945
5367064,1,8,1,80,05,2,,,,2,,,.,,,2,,,,,,1,02,,05,1307.2338945
5367066,1,1,1,80,05,1,5,,2,,,10,,3,,2,,,,,3,1,02,4,05,1069.9291557
5367067,1,3,1,80,05,1,2,,2,,,2,,2,,1,100000,,,,2,1,02,1.2,05,1092.0650058
5367070,1,2,1,80,05,1,1,,1,,4,5,,2,,2,,1,48,908526,2,1,02,4,05,1056.6532338
5367072,1,2,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,02,4,05,965.34225134
5367072,1,3,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,02,,05,965.34225134
5367079,1,1,1,80,05,1,5,,2,,,8,,2,,2,,,,,2,1,02,3,05,1083.3399696
5367081,1,3,1,80,05,1,4,,2,,,4,,2,,2,,,,,2,1,02,4,05,985.03489681
5367083,1,2,1,80,05,1,3,,2,,,11,,2,,2,,,,,2,1,02,4,05,1508.7569579
5367084,1,3,1,80,05,1,8,,2,,,9,,2,,2,,,,,2,1,02,3,05,1488.2383704
5367085,1,1,1,80,05,1,5,,2,,,10,,3,,2,,,,,3,1,02,2,05,951.35407075
5367085,1,2,1,80,05,1,4,,2,,,4,,2,,2,,,,,2,1,02,4,05,951.35407075
5367086,1,1,1,80,05,1,3,,2,,,8,,2,,2,,,,,2,1,02,4,05,1083.3399696
5367087,1,2,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,02,,05,1142.5103289
5367089,1,1,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,02,4,05,1137.0497922
5367089,1,2,1,80,05,1,3,,1,,2,9,,2,,2,,,,,2,1,02,4,05,1137.0497922
5367089,1,4,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,02,3,05,1137.0497922
5367091,1,1,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,02,4,05,985.1697889
5367091,1,2,1,80,05,1,9,PARA CUIDAR A  LA MAMA,2,,,9,,2,,2,,,,,2,1,02,1.2,05,985.1697889
5367091,1,3,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,02,,05,985.1697889
5367091,1,5,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,02,3,05,985.1697889
5367093,1,2,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,02,4,05,1255.4940552
5367094,1,3,1,80,05,2,,,,2,,,.,,,2,,,,,,1,02,,05,1514.4785614
5367094,1,4,1,80,05,2,,,,1,1,4,,2,,2,,1,48,908000,2,1,02,,05,1514.4785614
5367095,1,2,1,80,05,2,,,,2,,,.,,,2,,,,,,1,02,,05,1142.5103289
5367096,1,1,1,80,05,1,5,,2,,,10,,3,,2,,,,,3,1,02,4,05,1049.6591435
5367096,1,2,1,80,05,1,3,,2,,,9,,1,2,2,,,,,1,1,02,4,05,1049.6591435
5367099,1,1,1,80,05,1,9,LA PANDEMIA DEL COVID 19,1,,1,12,POR PANDEMIA DEL COVID 19,3,,2,,1,48,908526,3,1,02,1.4,05,1017.5185203
5367099,1,3,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,02,,05,1017.5185203
5367100,1,2,1,80,05,1,4,,2,,,4,,2,,2,,,,,2,1,02,4,05,1063.0699575
5367102,1,2,1,80,05,1,9,POR LA PANDEMIA,2,,,12,EN EMBARAZO,2,,2,,2,,900000,2,1,02,2,05,1405.0924226
5367102,1,3,1,80,05,2,,,,2,,,.,,,2,,,,,,1,02,,05,1405.0924226
5367102,1,5,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,02,,05,1405.0924226
5367102,1,6,1,80,05,2,,,,2,,,.,,,2,,,,,,1,02,,05,1405.0924226
5367102,1,7,1,80,05,2,,,,2,,,.,,,2,,,,,,1,02,,05,1405.0924226
5367105,1,3,1,80,05,1,8,,2,,,1,,1,,2,,,,,2,1,02,1.3,05,1090.9108495
5367106,1,1,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,02,,05,1307.8011461
5367106,1,2,1,80,05,2,,,,2,,,.,2,,2,,1,24,500000,2,1,02,,05,1307.8011461
5367108,1,1,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,02,,05,1069.9291557
5367110,1,3,1,80,05,2,,,,2,,,.,,,2,,,,,,1,02,,05,1044.2052561
5367111,1,2,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,02,4,05,1090.9108495
5367111,1,3,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,02,,05,1090.9108495
5367113,1,3,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,02,,05,1044.2052561
5367114,1,1,1,80,05,1,5,,2,,,10,,3,,2,,,,,3,1,02,4,05,958.34816104
5367114,1,2,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,02,,05,958.34816104
5367114,1,3,1,80,05,1,3,,2,,,4,,2,,2,,,,,2,1,02,4,05,958.34816104
5367115,1,5,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,02,4,05,1606.9271386
5367116,1,2,1,80,05,1,3,,2,,,11,,2,,2,,,,,2,1,02,4,05,1056.6532338
5367117,1,3,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,02,,05,1005.6479093
5367118,1,2,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,02,4,05,1228.8073194
5367123,1,1,1,80,05,1,5,,2,,,11,,3,,2,,,,,3,1,02,4,05,965.34225134
5367123,1,2,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,02,4,05,965.34225134
5367123,1,3,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,02,,05,965.34225134
5367124,1,1,1,80,05,1,4,,2,,,10,,3,,2,,,,,3,1,02,4,05,1083.4748617
5367124,1,2,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,02,4,05,1083.4748617
5367127,1,2,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,02,,05,1435.3498426
5367127,1,4,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,02,3,05,1435.3498426
5367129,1,1,1,80,05,1,5,,2,,,10,,3,,2,,,,,3,1,02,4,05,958.34816104
5367129,1,2,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,02,,05,958.34816104
5367134,1,1,1,80,05,1,5,,2,,,11,,3,,2,,,,,3,1,02,4,05,1056.6532338
5367134,1,2,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,02,4,05,1056.6532338
5367137,1,3,1,80,08,1,3,,2,,,9,,2,,2,,,,,2,1,02,4,08,730.10171756
