DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,P6430,RAMA4D_R4,INGLABO,MES,DPTO,fex_c_2011,RAMA4DP8_R4
5367064,1,1,1,60,05,5,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,140000,1,,3,,12,2,,,,,2,1,2,20,1,,20,,,1,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,12,6,3,,2,,,,,,,,3,4,40,,2,,,,1,1,2,1,2,1,2,2,2,2,2,,1,1,2,2,2,2,2,1,8,,55,81,1,4,8121,140000,02,05,1307.2338945,
5367064,1,6,1,60,05,5,1,2,2,3,2,4,EXPERTOS SEGURIDAD,1,2,2,1,2,,2,,2,1250000,2,,,2,,2,,2,,2,,2,,,1,102000,1,2,,,2,,,2,,,2,,,1,450000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,72,,.,72,,,9,7,,1,,1,1,1,0,1,1,,,,,,,,,1,1,1,0,6,1,,2,,,,,,,,3,2,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,58,86,1,1,8610,1250000,02,05,1307.2338945,8010
5367065,1,1,1,60,05,5,2,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2020,1,4000000,1,,3,,12,1,1,1,0,0,3,3,2,60,,.,60,,,2,7,,1,,1,1,2,1,1,1,,1,1,,,,,,1,1,2,,,,,2,,,,,,,,,8,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,41,10,1,5,1051,4000000,02,05,1255.4940552,
5367065,1,2,1,60,05,5,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2000000,1,,3,,12,2,,,,,3,3,1,48,,.,48,,,1,1,,1,,1,1,2,4,1,1,,1,,,,,,,1,1,1,5,12,1,,2,,,,,,,,10,8,60,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,12,69,1,4,6910,2000000,02,05,1255.4940552,
5367067,1,1,1,60,05,5,1,2,2,12,1,,,1,1,2,1,0,,1,,2,1000000,2,,,2,,2,,2,,2,,2,,,1,106300,2,1,35000,2,2,,,2,,,2,,,1,878000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,48,,.,48,,,8,7,,1,,1,1,1,20,1,1,,,,,,,,,1,1,1,1,120,1,,2,,,,,,,,13,2,60,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,32,85,1,1,8544,1000000,02,05,1092.0650058,
5367067,1,2,1,60,05,5,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,1200000,1,,3,,8,2,,,,,2,10,1,40,,.,40,,,1,1,,3,,2,,,,1,,,,,,,,,1,2,2,1,4,16,1,,2,,,,,,,,7,14,,,1,8,2,1,2,,,,,,,,,,,,,,1,1,1,2,1,2,3,,03,73,1,4,7310,1200000,02,05,1092.0650058,
5367068,1,1,1,60,05,5,2,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,300000,1,,3,,12,2,,,,,3,3,2,30,2,,30,,,1,1,,3,,2,,,,1,,,1,,,,,,,2,2,2,,,,,2,,,,,,,,,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,79,95,1,4,9529,300000,02,05,971.62408288,
5367068,1,2,1,60,05,5,1,2,1,,1,,,1,1,2,1,72,,1,,2,1700000,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,1,1650009,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,43,,.,43,,,7,7,,1,,1,1,1,28,1,1,,,,,,,,,1,1,1,12,12,1,,2,,,,,,,,1,11,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,21,20,1,1,2022,1700000,02,05,971.62408288,
5367069,1,1,1,60,05,5,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,800000,1,,3,,12,2,,,,,2,3,2,50,,.,50,,,1,9,,1,,1,1,2,17,1,1,,,,,,,,,1,2,1,0,120,1,,2,,,,,,,,8,11,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,03,41,1,4,4112,800000,02,05,1353.3525833,
5367069,1,2,1,60,05,5,1,2,1,,1,,,1,1,2,1,40,,5,,1,1500000,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,1,1480000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,50,,.,50,,,9,7,,1,,1,1,1,5,1,1,,,,,,,,,1,1,1,0,5,1,,2,,,,,,,,8,2,45,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,03,86,1,1,8621,1500000,02,05,1353.3525833,
