DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,AREA,CLASE,ESC,MES,DPTO,fex_c_2011
5392574,1,1,1,10,1,1,7,1935,85,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,2,98,2,1,2,,4,6,,,,1,6,03,76,1487.1428673
5392574,1,2,1,10,2,2,6,1945,75,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,5,,,,1,5,03,76,1487.1428673
5392574,1,3,1,10,3,2,9,1983,37,4,6,,4,2,,2,,,,,,1,1,,,,,1,,,,,1,,,1,5,,2,1,2,,6,3,3,,,1,14,03,76,1487.1428673
5392574,1,4,1,10,3,1,4,2008,12,5,6,,6,2,,1,3,,,,,,,,,,1,1,,,,,1,,,1,5,,2,1,1,2,4,7,,,,1,7,03,76,1487.1428673
5392574,1,5,1,10,3,2,8,2011,9,5,6,,,2,,1,3,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,1,3,4,,,,1,4,03,76,1487.1428673
5392575,1,1,1,10,1,2,10,1952,68,1,5,,4,3,,3,,,,,,,,,,,,,,1,,2,1,,,1,2,78000,2,1,2,,3,5,,,,1,5,03,76,1806.0858682
5392578,1,1,1,10,1,2,8,1963,57,1,5,,2,2,,2,,1,2,,,1,1,,,,,1,,,,2,1,,,1,5,,2,1,2,,6,2,3,,,1,13,03,76,1602.7235279
5392578,1,2,1,10,2,1,6,1958,62,2,5,,2,2,,2,,1,1,,,1,1,,,,,1,,,,,1,,,1,3,450000,2,1,2,,5,10,1,,,1,10,03,76,1602.7235279
5392578,1,3,1,10,3,2,8,1993,27,3,5,,4,1,2,1,1,,,,,,,1,,,,1,,,,,1,,,3,,,2,1,1,1,6,5,4,,,1,16,03,76,1602.7235279
5392578,1,4,1,10,3,2,8,2012,8,4,5,,,2,,1,3,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,2,3,2,,,,1,2,03,76,1602.7235279
5392579,1,1,1,10,1,1,10,1962,58,1,6,,3,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,2,1,98,2,1,2,,6,2,3,,,1,13,03,76,2036.1897933
5392579,1,2,1,10,2,2,4,1967,53,2,6,,3,2,,2,,1,1,,,,,,,,,,,1,,,1,,,2,5,,2,1,2,,6,3,3,,,1,14,03,76,2036.1897933
5392579,1,3,1,10,3,1,9,1989,31,3,6,,6,1,1,1,2,,,,,,,,,1,,,,,,,1,,,3,,,2,1,2,,6,2,3,,,1,13,03,76,2036.1897933
5392580,1,1,1,10,1,2,8,1981,39,1,5,,4,2,,2,,,,,1,,,,,1,,1,,,,1,1,,,3,,,2,1,2,,4,6,,,,1,6,03,76,1440.8825649
5392580,1,2,1,10,2,2,3,1999,22,3,5,,6,3,,1,1,,,,,,,1,,,,,,,,,1,,,3,,,2,1,2,,6,1,3,,,1,12,03,76,1440.8825649
5392580,1,3,1,10,1,1,6,2006,14,3,5,,6,2,,1,1,,,,,,,,,,1,,,,,,2,2,,,,,2,1,1,1,4,0,,,,1,5,03,76,1440.8825649
5392581,1,1,1,10,1,2,7,2001,19,1,5,,6,2,,2,,,,,1,1,,,,,,1,,,,2,1,,,1,5,,2,1,2,,5,11,2,,,1,11,03,76,2158.1924996
5392581,1,2,1,10,1,1,6,2004,16,5,5,,6,2,,2,,,,,,,,,,,1,1,,,,,1,,,1,5,,2,1,1,1,4,6,,,,1,6,03,76,2158.1924996
5392582,1,1,1,10,1,2,5,1953,67,1,5,,4,3,,3,,,,,1,1,,,,,,1,,,,1,1,,,3,,,2,1,2,,3,5,,,,1,5,03,76,1845.322002
5392582,1,2,1,10,2,2,8,1999,21,5,5,,6,3,,2,,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,6,1,2,2,,1,12,03,76,1845.322002
5392583,1,1,1,10,1,2,11,1971,49,1,5,,4,3,,3,,,,,1,1,,,,1,,1,,,,1,2,1,180,,,,2,2,2,,1,0,,,,1,0,03,76,2873.3573723
5392583,1,2,1,10,2,1,11,1990,30,3,5,,6,2,,1,1,,,,1,1,,,,,,1,,,,,1,,,3,,,2,1,2,,4,6,,,,1,6,03,76,2873.3573723
5392583,1,3,1,10,2,1,1,2012,9,4,5,,,1,2,2,,,,,,,,,,,,,,,,,2,2,,,,,2,1,1,1,3,1,,,,1,1,03,76,2873.3573723
5392584,1,1,1,10,1,2,12,1965,55,1,5,,4,3,,3,,,,,1,1,1,,,1,,,,,,1,1,,,3,,,2,1,2,,3,3,,,,1,3,03,76,2624.6929703
5392584,1,2,1,10,1,1,4,2012,8,5,5,,,3,,2,,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,1,3,0,,,,1,0,03,76,2624.6929703
5392585,1,1,1,10,1,2,7,1989,31,1,5,,1,3,,3,,1,2,,1,1,,,,1,,1,,,,1,1,,,3,,,2,1,2,,4,7,,,,1,7,03,76,3649.8409742
5392585,1,2,1,10,2,1,12,2002,18,2,5,,1,2,,2,,1,1,,1,1,,,,1,,1,,,,,1,,,3,,,2,1,2,,4,6,,,,1,6,03,76,3649.8409742
5392585,1,3,1,10,1,2,9,2005,15,3,5,,6,3,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,6,,,,1,6,03,76,3649.8409742
5392585,1,4,1,10,1,2,8,2007,13,3,5,,6,3,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,3,4,,,,1,4,03,76,3649.8409742
5392585,1,5,1,10,1,2,6,2011,9,3,5,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,,1,2,03,76,3649.8409742
5392585,1,6,1,10,1,1,10,2013,7,3,5,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,1,3,0,,,,1,0,03,76,3649.8409742
5392585,1,7,1,10,1,1,9,2015,5,3,5,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,,1,0,03,76,3649.8409742
5392586,1,1,1,10,1,2,12,1948,72,1,5,,5,3,,3,,,,,1,1,,,,,,1,,,,1,1,,,1,2,98,2,1,2,,3,2,,,,1,2,03,76,1791.8023751
5392586,1,2,1,10,2,2,6,1990,30,3,5,,4,2,,1,1,,,,1,1,,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,,1,11,03,76,1791.8023751
5392586,1,3,1,10,2,1,3,2007,13,4,5,,6,3,,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,3,2,,,,1,2,03,76,1791.8023751
5392586,1,4,1,10,2,1,7,2017,3,4,5,,,2,,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,,1,0,03,76,1791.8023751
5392587,1,1,1,10,1,2,10,1957,63,1,5,,4,3,,3,,,,,1,1,,,,,,1,,,,1,1,,,3,,,2,1,2,,4,7,,,,1,7,03,76,1806.0858682
5392592,1,1,1,10,1,2,9,1986,34,1,5,,4,2,,2,,,,,1,1,,,,,,1,,,,2,1,,,3,,,2,1,2,,5,11,2,,,1,11,03,76,1973.3906361
5392592,1,2,1,10,1,2,5,2004,16,3,5,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,8,,,,1,8,03,76,1973.3906361
5392592,1,3,1,10,1,1,1,2008,13,3,5,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,3,3,,,,1,3,03,76,1973.3906361
5392592,1,4,1,10,1,2,12,2011,9,3,5,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,,1,2,03,76,1973.3906361
5392593,1,1,1,10,1,1,9,1957,63,1,5,,2,2,,2,,1,2,,1,1,,,,,,,,,,2,1,,,1,1,98,2,1,2,,3,5,,,,1,5,03,76,1954.8301593
5392593,1,2,1,10,2,2,2,1974,47,2,5,,2,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,2,,,,1,2,03,76,1954.8301593
5392593,1,3,1,10,2,1,8,1998,22,3,5,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,5,,2,2,2,,1,0,,,,1,0,03,76,1954.8301593
5392593,1,4,1,10,4,2,7,1996,24,3,5,,2,1,1,1,2,2,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,6,3,3,,,1,14,03,76,1954.8301593
5392593,1,5,1,10,4,2,8,2020,0,4,5,,,2,,1,4,,,,,,,,,,,,,,,,1,,,1,5,,2,,,,,,,,,1,,03,76,1954.8301593
5392596,1,1,1,10,1,2,2,1984,37,1,5,,2,1,6,2,,1,2,,1,1,,,,1,,1,,,,1,1,,,3,,,2,1,2,,4,8,,,,1,8,03,76,2647.1701321
5392596,1,2,1,10,2,1,7,1980,40,2,5,,2,2,,2,,1,1,,1,1,1,,,,,,,,,,1,,,3,,,2,1,2,,3,5,,,,1,5,03,76,2647.1701321
5392596,1,3,1,10,1,2,7,2000,20,3,5,,6,3,,1,1,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,4,,,,1,4,03,76,2647.1701321
5392596,1,4,1,10,1,2,11,2005,15,3,5,,6,3,,1,1,,,,,,,,,,1,1,,,,,1,,,3,,,2,1,1,1,4,8,,,,1,8,03,76,2647.1701321
5392596,1,5,1,10,1,2,9,2017,3,3,5,,,1,2,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,,1,0,03,76,2647.1701321
5392596,1,6,1,10,6,1,12,1953,67,5,5,,4,3,,3,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,3,,,,1,3,03,76,2647.1701321
5392597,1,1,1,10,1,2,9,1958,62,1,5,,4,3,,3,,,,,1,1,,,,,,1,,,,1,1,,,3,,,2,1,2,,3,5,,,,1,5,03,76,3157.2010416
5392597,1,2,1,10,1,1,10,2011,9,4,5,,,2,,2,,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,,1,2,03,76,3157.2010416
5392597,1,3,1,10,1,2,5,2012,8,4,5,,,2,,2,,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,1,3,1,,,,1,1,03,76,3157.2010416
5392602,1,1,1,10,1,2,12,1961,59,1,6,,6,3,,3,,,,,,,,,,,,,,1,,2,1,,,1,1,40000,2,1,2,,6,2,3,,15,1,13,03,15,90.470143924
5392602,1,2,1,10,2,1,3,1996,24,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,2,6,2,2,2,15,1,13,03,15,90.470143924
5392602,1,3,1,10,1,2,2,1955,66,5,6,,6,3,,3,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,3,,,15,1,3,03,15,90.470143924
5392602,1,4,1,10,4,2,8,1967,53,5,6,,6,3,,3,,,,,,,1,1,,,,,,,,,1,,,3,,,2,1,2,,4,9,,,15,1,9,03,15,90.470143924
5392602,1,5,1,10,5,1,6,1996,24,5,6,,6,2,,1,4,,,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,6,2,3,,15,1,13,03,15,90.470143924
5392603,1,1,1,10,1,1,3,1978,43,1,6,,2,2,,2,,1,2,,,1,1,,,1,,,,,,2,2,1,4,,,,2,1,2,,5,11,2,,15,1,11,03,15,105.54634132
5392603,1,2,1,10,2,2,5,1978,42,2,6,,2,2,,2,,1,1,,,1,1,1,,1,,,,,,,2,1,5,,,,2,1,2,,5,11,2,,15,1,11,03,15,105.54634132
