DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5392578,1,3,1,70,,1,48,48,1,,2,48,2,,9,2,1,,,,,,,,,,,1,2,,2000000,2,,84,32,32,1,2,03,8412,76,1602.7235279
5392579,1,3,1,70,,1,92,48,1,,2,92,1,,6,2,1,,,,,,,,,,,1,2,,900000,2,,47,45,45,1,2,03,4754,76,2036.1897933
5392580,1,1,1,70,,1,48,48,3,,2,48,3,,1,2,1,,,,,,,,,,,1,2,,900000,2,,97,56,56,1,2,03,9700,76,1440.8825649
5392580,1,2,1,70,,1,96,48,1,,2,96,1,,3,2,1,,,,,,,,,,,1,2,,600000,2,,03,32,32,1,2,03,0311,76,1440.8825649
5392585,1,1,1,70,,1,32,48,4,,2,32,4,,1,2,1,,,,,,,,,,,1,2,,400000,2,,47,45,45,1,2,03,4721,76,3649.8409742
5392585,1,2,1,70,,1,12,48,4,,2,12,4,,1,2,1,,,,,,,,,,,1,2,,500000,2,,41,95,95,1,1,03,4111,76,3649.8409742
5392593,1,4,1,70,,1,16,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,97,,1,2,03,.,76,1954.8301593
5392596,1,1,1,70,,1,12,48,4,,2,12,4,,1,2,1,,,,,,,,,,,1,2,,500000,2,,47,45,41,1,1,03,4723,76,2647.1701321
5392603,1,2,1,70,15,1,52,48,1,,2,52,4,,1,2,7,,,,,,,,,,,1,2,,908526,2,,47,45,45,1,2,03,4771,15,105.54634132
5392612,1,1,1,70,15,1,5,40,1,,2,5,1,,9,2,2,,,,,,,,,,,1,2,,2500000,2,,64,11,33,1,1,03,6412,15,155.34251831
5392616,1,1,1,70,15,1,52,48,2,,2,52,4,,9,2,1,,,,,1,,,,,,,2,,2000000,3,,84,08,08,1,2,03,8412,15,144.00743657
5392616,1,2,1,70,15,1,48,48,1,,2,110,4,,1,2,1,,,,1,,,,,,,,2,,3000000,1,2,70,21,21,1,2,03,7010,15,144.00743657
5392618,1,1,1,70,15,1,52,48,1,,2,52,1,,5,2,1,,,1,,,,,,,,,2,,2000000,1,1,42,02,02,1,2,03,4290,15,97.960933991
5392619,1,2,1,70,15,1,32,40,1,,2,32,1,,9,2,1,,,,,,,,,,,1,2,,908526,2,,61,50,44,1,2,03,6190,15,104.55895068
