DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5392574,1,1,1,80,,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,76,1487.1428673
5392574,1,2,1,80,,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,76,1487.1428673
5392574,1,4,1,80,,1,2,,,,2,,,.,,,2,,,,,,1,03,,76,1487.1428673
5392575,1,1,1,80,,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,76,1806.0858682
5392580,1,3,1,80,,1,2,,,,2,,,.,,,2,,,,,,1,03,,76,1440.8825649
5392581,1,1,1,80,,1,1,3,,2,,,9,,2,,2,,1,48,900000,2,1,03,1.2,76,2158.1924996
5392581,1,2,1,80,,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,76,2158.1924996
5392582,1,1,1,80,,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,4,76,1845.322002
5392582,1,2,1,80,,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,76,1845.322002
5392583,1,1,1,80,,1,1,4,,2,,,4,,2,,2,,2,,500000,2,1,03,1.4,76,2873.3573723
5392585,1,3,1,80,,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,76,3649.8409742
5392585,1,4,1,80,,1,2,,,,2,,,.,,,2,,,,,,1,03,,76,3649.8409742
5392586,1,1,1,80,,1,1,3,,2,,,9,,3,,2,,,,,3,1,03,4,76,1791.8023751
5392586,1,2,1,80,,1,1,4,,2,,,4,,2,,2,,1,40,300000,2,1,03,1.2,76,1791.8023751
5392586,1,3,1,80,,1,2,,,,2,,,.,,,2,,,,,,1,03,,76,1791.8023751
5392592,1,2,1,80,,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,76,1973.3906361
5392592,1,3,1,80,,1,2,,,,2,,,.,,,2,,,,,,1,03,,76,1973.3906361
5392593,1,2,1,80,,1,1,3,,2,,,9,,2,,2,,,,,2,1,03,4,76,1954.8301593
5392593,1,3,1,80,,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,76,1954.8301593
5392596,1,3,1,80,,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,76,2647.1701321
5392596,1,4,1,80,,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,76,2647.1701321
