DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5392574,1,3,1,60,,1,76,2,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,1000000,1,,3,,8,2,,,,,3,4,2,60,,.,60,,,1,1,,3,,2,,,,1,,,,,,,,,1,2,2,1,0,180,4,,2,,,,,,,,11,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,53,56,1,03,4,5621,1000000,76,1487.1428673,
5392578,1,1,1,60,,1,76,2,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,800000,1,,3,,9,2,,,,,2,3,2,40,,.,35,6,,1,7,,3,,2,,,,1,,,,,,,,,1,2,2,1,12,120,1,,2,,,,,,,,3,6,20,2,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,03,86,1,03,4,8692,800000,76,1602.7235279,
5392578,1,2,1,60,,1,76,2,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,700000,1,,3,,8,2,,,,,2,3,2,40,,.,40,,,1,7,,1,,1,2,2,18,1,1,,,,,,,,,1,2,1,0,12,1,,2,,,,,,,,1,6,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,84,45,1,03,4,4520,700000,76,1602.7235279,
5392579,1,1,1,60,,1,76,1,2,1,,1,,,1,1,1,1,182,,5,,2,,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,98,1,98,1,98,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,3,1,25,1,1,,,,,,,,,1,1,1,0,48,1,,2,,,,,,,,1,8,25,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,84,84,1,03,2,8422,,76,2036.1897933,
5392579,1,2,1,60,,1,76,1,2,1,,1,,,1,2,1,1,72,,2,,2,1200000,2,,,2,,2,,2,,2,,2,,,1,107000,2,2,,,2,,,2,,,2,,,1,600000,1,600000,2,,2,,2,,2,,,.,,,,,,,,,.,8,,,,,,,,,48,,.,48,,,5,7,,3,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,8,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,32,50,1,03,1,5012,1200000,76,2036.1897933,
5392583,1,2,1,60,,1,76,2,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,,1,,3,,11,2,,,,,3,1,2,60,,.,60,,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,10,,2,,,,1,1,2,1,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,2,8,,97,52,1,03,4,5224,,76,2873.3573723,
5392584,1,1,1,60,,1,76,2,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,100000,1,,3,,7,2,,,,,3,6,2,48,,.,48,,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,12,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,45,47,1,03,4,4781,100000,76,2624.6929703,
5392587,1,1,1,60,,1,76,2,,,,,,,,,,,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,,1,,3,,11,2,,,,,3,4,2,25,2,,25,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,41,47,1,03,4,4724,,76,1806.0858682,
5392592,1,1,1,60,,1,76,2,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,2,150000,1,,3,,1,2,,,,,3,3,2,30,1,,25,6,,1,2,,2,,2,,,,1,,,,,,,,,1,2,2,1,12,6,3,,2,,,,,,,,9,3,10,2,2,,,,1,1,2,1,2,2,2,2,2,2,2,,2,2,2,2,1,2,1,1,3,,45,47,1,03,4,4792,150000,76,1973.3906361,
5392593,1,1,1,60,,1,76,1,2,1,,1,,,1,1,1,1,475,,2,,2,,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,98,1,98,1,98,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,48,,.,48,,,9,4,,1,,1,2,1,39,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,2,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,98,94,1,03,1,9499,,76,1954.8301593,
5392596,1,2,1,60,,1,76,2,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,600000,1,,3,,10,2,,,,,3,1,2,60,,.,60,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,4,28,4,,2,,,,,,,,13,3,10,,2,,,,1,1,1,1,1,1,2,2,1,1,2,,1,1,2,2,2,2,2,2,8,,98,49,1,03,4,4921,600000,76,2647.1701321,
5392602,1,1,1,60,15,1,15,1,2,2,3,2,4,ASOCIACION DE PADRES DE FAMILIA DE RAMIRIQUI Y SUSACON,1,1,1,1,288,,2,,2,500000,2,,,2,,2,,2,,2,,2,,,1,102000,2,2,,,2,,,2,,,2,,,1,220000,1,220000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,20,1,,20,,,9,7,,1,,1,2,1,20,1,1,,,,,,,,,1,1,1,12,72,4,,1,15,10,4,,30000,1,1,8,14,,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,5,,59,88,1,03,1,8890,530000,15,90.470143924,9499
5392602,1,2,1,60,15,1,15,2,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,50000,1,,3,,12,2,,,,,2,1,2,10,1,,10,,,1,2,,3,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,10,,1,15,1,1,1,1,1,1,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,1,3,,13,85,1,03,4,8559,50000,15,90.470143924,
