DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,CLASE,ESC,MES,DPTO,fex_c_2011
5398343,1,1,1,10,1,1,12,1991,29,1,6,,6,2,,2,,,,,,,1,,1,1,,,,,,2,2,1,3,,,,2,1,2,,6,3,3,,2,14,03,15,2727.3762066
5398343,1,2,1,10,1,2,10,2017,3,3,6,,,1,1,2,,,,,,,,,,,,,,,,,2,1,3,,,,2,2,2,,1,0,,,2,0,03,15,2727.3762066
5398344,1,1,1,10,1,1,10,1954,66,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,3,5,,,2,5,03,15,665.21370892
5398344,1,2,1,10,2,2,4,1953,67,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,3,,,2,3,03,15,665.21370892
5398344,1,3,1,10,3,1,2,1979,42,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,1,36341,2,1,2,,3,5,,,2,5,03,15,665.21370892
5398345,1,1,1,10,1,1,4,1947,73,1,6,,4,2,,2,,,,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,3,5,,,2,5,03,15,1302.3581531
5398346,1,1,1,10,1,1,2,2000,21,1,6,,1,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,36341,2,1,2,,5,11,2,,2,11,03,15,2727.3762066
5398346,1,2,1,10,2,2,6,1997,23,2,6,,1,2,,2,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,1,1,4,9,,,2,9,03,15,2727.3762066
5398346,1,3,1,10,2,2,1,2018,3,3,6,,,2,,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,2,2,,1,0,,,2,0,03,15,2727.3762066
5398346,1,4,1,10,4,2,7,2003,17,5,6,,6,2,,3,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,1,1,3,5,,,2,5,03,15,2727.3762066
5398347,1,1,1,10,1,2,7,1945,75,1,6,,5,3,,3,,,,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,3,2,,,2,2,03,15,665.21370892
5398348,1,1,1,10,1,1,6,1981,39,1,6,,3,3,,2,,1,2,,,,1,,,,,,,,,2,1,,,1,1,36000,2,1,2,,3,5,,,2,5,03,15,665.21370892
5398348,1,2,1,10,2,2,7,1982,38,2,6,,3,3,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,15,665.21370892
5398348,1,3,1,10,3,2,4,2004,16,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,15,665.21370892
5398348,1,4,1,10,4,2,5,2007,13,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,7,,,2,7,03,15,665.21370892
5398349,1,1,1,10,1,1,6,1989,31,1,6,,6,2,,1,2,,,,,,,,,,,,,1,,2,1,,,1,1,36341,2,1,2,,5,11,2,,2,11,03,15,665.21370892
5398349,1,2,1,10,2,2,11,1966,54,5,6,,6,2,,1,5,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,5,,,2,5,03,15,665.21370892
