DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5398349,1,3,1,70,2,20,48,1,,2,32,1,,9,2,7,,,,,,,,,,,1,2,,908526,2,,13,45,97,1,2,03,1312,15,665.21370892
5398351,1,1,1,70,2,16,48,1,,2,16,1,,9,2,7,,,,,,,,,,,1,2,,908526,2,,42,71,95,1,2,03,4210,15,2727.3762066
5398357,1,3,1,70,2,48,48,1,,2,48,2,,7,2,1,,,,,,,,,,,1,2,,1200000,2,,84,39,39,1,2,03,8412,15,665.21370892
5399066,1,1,1,70,2,4,48,1,,2,12,1,,3,2,1,,,,,,,,,,,1,2,,908526,2,,41,95,95,1,1,03,4111,15,2727.3762066
5399075,1,1,1,70,2,68,48,1,,2,68,1,,9,2,1,,,,,,,,,,,1,2,,908526,2,,86,33,39,1,2,03,8621,15,1738.5160157
5402339,1,3,1,70,2,4,50,3,,2,20,1,,3,2,1,,,,,,,,,,,1,2,,500000,2,,45,54,45,1,1,03,4530,23,1931.6422482
5402343,1,4,1,70,2,12,48,8,,2,16,4,,1,2,1,,,,,,,,,,,1,2,,700000,2,,01,62,61,1,1,03,0161,23,3194.9470594
5402343,1,8,1,70,2,24,48,8,,2,24,4,,1,2,1,,,,,,,,,,,1,2,,600000,2,,01,62,61,1,2,03,0161,23,3194.9470594
5404109,1,3,1,70,2,12,40,1,,2,26,1,,7,2,1,,,,,,,,,,,1,2,,908526,2,,86,59,59,1,1,03,8610,70,443.40516244
5404538,2,1,2,70,2,12,48,3,,2,12,3,,1,2,1,,,,,,,,,,,1,2,,800000,2,,97,54,54,1,1,03,9700,23,1473.9988141
5404547,1,5,1,70,2,24,48,3,,2,24,3,,1,2,1,,,,,,,,,,,1,2,,400000,2,,97,54,54,1,2,03,9700,23,2376.250119
5404561,1,3,1,70,2,6,70,2,,2,6,2,,9,2,1,,,,,,,,,,,1,2,,1200000,2,,84,58,58,1,1,03,8422,23,1083.3355042
5404572,1,4,1,70,2,24,48,1,,2,24,1,,4,2,4,,,,,,,,,,,1,2,,908526,2,,47,32,33,1,2,03,4759,23,1228.7578641
5404580,1,1,1,70,2,12,48,3,,2,52,3,,1,2,1,,,,,,,,,,,1,2,,600000,2,,97,54,54,1,1,03,9700,50,547.91112695
5404594,1,1,1,70,2,4,48,4,,2,4,4,,1,2,1,,,,,,,,,,,1,1,800000,900000,2,,01,95,61,1,1,03,0113,50,547.91112695
5404597,1,1,1,70,2,12,48,8,,2,14,8,,6,2,1,,,,,,,,,,,1,2,,500000,2,,01,62,62,1,1,03,0126,50,547.91112695
5404598,1,1,1,70,2,2,40,4,,2,3,4,,1,2,1,,,,,,,,,,,1,1,700000,908000,2,,01,61,61,1,1,03,0161,50,1072.7026725
5404640,1,1,1,70,2,8,48,8,,2,8,8,,5,2,1,,,,,,,,,,,1,2,,500000,2,,01,62,62,1,1,03,0126,50,547.91112695
5404667,1,1,1,70,2,8,48,8,,2,12,1,,2,2,1,,,,,,,,,,,1,2,,980000,2,,56,62,53,1,1,03,5630,50,547.91112695
5404670,1,1,1,70,2,16,48,8,,2,4,8,,6,2,1,,,,,,,,,,,1,1,200000,1050000,2,,01,62,62,1,2,03,0126,50,547.91112695
5404674,1,1,1,70,2,104,48,4,,2,102,5,,2,2,4,,,,,,,,,,,1,2,,1200000,2,,41,95,95,1,2,03,4111,50,547.91112695
5404674,1,2,1,70,2,24,30,3,,2,102,1,,2,2,4,,,,,,,,,,,1,2,,900000,2,,41,54,95,1,2,03,4111,50,547.91112695
5404721,1,2,1,70,2,4,25,4,,2,10,4,,1,2,1,,,,,,,,1,,,,2,,300000,2,,47,41,41,1,1,03,4721,70,931.31423788
5404723,1,1,1,70,2,2,42,4,,2,99,4,,1,2,1,,,,,,,,,,,1,2,,200000,2,,56,41,45,1,1,03,5619,70,1041.4414624
5404730,1,2,1,70,2,2,48,4,,2,52,4,,1,2,1,,,,,,,,,,,1,2,,500000,2,,47,45,45,1,1,03,4782,70,778.50673554
5404731,1,1,1,70,2,12,40,3,,2,52,4,,2,2,1,,,,,,,,1,,,,2,,600000,2,,56,54,53,1,1,03,5611,70,897.71169405
5404739,1,2,1,70,2,2,48,2,,2,999,3,,1,2,1,,,,,,,,,,,1,2,,400000,2,,97,55,54,1,1,03,9700,70,1131.9785002
5404741,1,3,1,70,2,4,40,1,,1,,,,,,,,.,,,,,,,,.,,,,800000,,,,55,,1,1,03,.,70,687.96969778
5404745,1,2,1,70,2,2,48,4,,2,7,4,,1,2,4,,,,,,,,,,,1,2,,500000,2,,25,83,87,1,1,03,2511,70,1200.7574955
5404774,1,3,1,70,2,52,30,2,,2,52,1,,5,2,1,,,,,,,,,,,1,2,,1200000,2,,85,13,13,1,2,03,8530,70,443.40516244
5404778,1,1,1,70,2,3,40,4,,2,3,4,,1,2,1,,,,,,,,1,,,,2,,500000,2,,01,61,61,1,1,03,0161,70,851.96681316
5404780,1,3,1,70,2,4,40,4,,2,4,4,,1,2,1,,,,,,,,,,,1,2,,300000,2,,01,61,61,1,1,03,0161,70,552.49794831
5404789,1,2,1,70,2,8,40,1,,2,12,1,,5,2,1,,,,,,,,,,,1,2,,908526,2,,85,53,53,1,1,03,8530,70,1569.5018923
5404802,1,3,1,70,2,5,40,1,,1,,,,,,,,.,,,,,,,,.,,,,400000,,,,45,,1,1,03,.,70,1598.6435974
5404803,1,5,1,70,2,5,40,3,,2,56,3,,1,2,1,,,,,,,,,,,1,2,,700000,2,,97,54,54,1,1,03,9700,70,832.01224862
5404851,1,2,1,70,2,8,40,3,,2,6,4,,1,2,1,,,,,,,,1,,,,2,,600000,2,,81,54,54,1,1,03,8121,19,985.10121141
5404919,1,2,1,70,2,6,24,3,,2,12,3,,1,2,1,,,,,,,,,,,1,2,,450000,2,,97,54,54,1,1,03,9700,19,931.86639207
5404948,1,1,1,70,2,16,40,4,,2,16,4,,2,2,1,,,,,,,,,,,1,1,100000,600000,2,,47,41,41,1,2,03,4759,19,843.38403776
5404964,1,2,1,70,2,52,45,1,,2,60,1,,9,2,1,,,,,,,,,,,1,2,,908000,2,,84,55,55,1,2,03,8412,19,1054.4449444
5404967,1,3,1,70,2,8,40,1,,2,12,1,,9,2,1,,,,,,,,,,,1,2,,906500,2,,80,58,58,1,1,03,8010,19,1185.213001
5409292,1,5,1,70,2,8,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908000,,,,53,,1,1,03,.,50,2246.4356205
5409298,1,1,1,70,2,4,48,8,,2,4,4,,1,2,8,,,,,,,,,,,1,2,,700000,2,,01,62,62,1,1,03,0141,50,547.91112695
5409299,1,1,1,70,2,4,60,4,,2,26,8,,4,2,1,,,,,,,,,,,1,2,,900000,2,,01,62,62,1,1,03,0141,50,2246.4356205
5409352,1,1,1,70,2,4,50,4,,2,4,4,,1,2,2,,,,,,,,,,,1,2,,700000,2,,81,55,55,1,1,03,8121,50,715.10768109
5409352,1,2,1,70,2,16,50,1,,2,16,1,,9,2,1,,,,,,,,,,,1,2,,900000,2,,47,45,45,1,2,03,4771,50,715.10768109
5409355,1,1,1,70,2,46,50,1,,2,46,1,,5,2,1,,,,,,,,,,,1,2,,900000,2,,45,45,45,1,2,03,4530,50,715.10768109
5409357,1,3,1,70,2,6,48,1,,2,6,1,,3,2,1,,,,,,,,,,,1,2,,908000,2,,08,97,97,1,1,03,0811,50,2931.9414925
5409358,1,2,1,70,2,52,48,1,,2,52,1,,3,2,1,,,,,,,,,,,1,2,,1500000,2,,49,98,98,1,2,03,4923,50,715.10768109
5409430,1,2,1,70,2,48,40,1,,2,144,2,,9,2,4,,,,,,,,,,,1,2,,300000,2,,86,53,59,1,2,03,8610,52,2668.5500791
5409431,1,1,1,70,2,24,48,4,,2,48,4,,9,2,1,,,,,,,,,,,1,2,,908526,2,,86,55,55,1,2,03,8610,52,1440.1192984
5409480,1,1,1,70,2,6,40,8,,2,8,8,,2,2,1,,,,,,,,,,,1,2,,600000,2,,01,62,62,1,1,03,0141,70,443.40516244
5409484,1,6,1,70,2,8,40,3,,2,10,3,,1,2,1,,,,,,,,,,,1,2,,400000,2,,97,54,54,1,1,03,9700,70,554.03333965
5409500,1,3,1,70,2,52,70,1,,2,52,1,,5,2,4,,,,,,,,,,,1,2,,1200000,2,,42,03,03,1,2,03,4210,76,1573.6137573
5409505,1,2,1,70,2,5,48,1,,2,24,1,,9,2,4,,,,,,,,,,,1,2,,908526,2,,94,55,32,1,1,03,9491,76,2752.0672009
