DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500S1,P7500S1A1,P7500S2,P7500S2A1,P7500S3,P7500S3A1,P7505,P7510S1,P7510S1A1,P7510S2,P7510S2A1,P7510S3,P7510S3A1,P750S1,P750S1A1,P750S2,P750S2A1,P1661S1,P1661S1A1,P1661S2,P1661S2A1,P1661S3,P1661S3A1,P1661S4,P1661S4A1,P1661S4A2,P750S3,P750S3A1,P750S4,P7510S5,P7510S5A1,P7510S6,P7510S6A1,P7510S7,P7510S7A1,CLASE,MES,DPTO,fex_c_2011
5398343,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,2727.3762066
5398344,1,1,1,95,2,,,,,,,1,2,,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,2,03,15,665.21370892
5398344,1,2,1,95,2,,,,,,,1,2,,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,2,03,15,665.21370892
5398344,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
5398345,1,1,1,95,2,,,,,,,1,1,2400000,2,,1,1680000,,,1,1680000,,,,,1,1680000,,,,,,,2,,2,,2,,2,03,15,1302.3581531
5398346,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,2727.3762066
5398346,1,2,1,95,2,,,,,,,1,2,,2,,1,640000,,,1,640000,,,,,,,1,INGRESO SOLIDARIO,640000,,,,2,,2,,2,,2,03,15,2727.3762066
5398346,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,2727.3762066
5398347,1,1,1,95,2,,,,,,,1,1,1200000,2,,1,1680000,,,,,,,,,,,,,,1,1680000,,2,,2,,2,,2,03,15,665.21370892
5398348,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
5398348,1,2,1,95,2,,,,,,,1,2,,2,,1,1300000,,,1,1300000,,,,,,,1,INGRESO SOLIDARIO,1300000,,,,2,,2,,2,,2,03,15,665.21370892
5398348,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
5398348,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
5398349,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1200000,2,03,15,665.21370892
5398349,1,2,1,95,2,,,,,,,1,2,,2,,1,960000,,,1,960000,,,,,,,1,INGRESO SOLIDARIO,960000,,,,2,,2,,2,,2,03,15,665.21370892
5398349,1,3,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1400000,2,03,15,665.21370892
5398349,1,5,1,95,1,2,,1,908526,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
5398350,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,2727.3762066
5398350,1,2,1,95,2,,,,,,,1,2,,2,,1,960000,,,1,960000,,,,,,,1,BONO SOLIDARIO,960000,,,,2,,2,,2,,2,03,15,2727.3762066
