DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,P6430,RAMA4D_R4,INGLABO,MES,DPTO,fex_c_2011,RAMA4DP8_R4
5392695,1,1,1,60,17,17,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2000000,1,,3,,12,2,,,,,3,1,1,40,,.,40,,,1,1,,3,,1,1,2,0,1,,,,1,,,,,,2,2,1,0,24,1,,2,,,,,,,,1,14,,,1,20,2,1,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,12,69,1,4,6910,2000000,03,17,248.98908872,
5392696,1,1,1,60,17,17,2,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,2000000,1,,3,,12,1,7,7,0,0,2,9,2,45,,.,45,,,4,9,,1,,2,,,,1,,,,,,,,,1,1,2,1,0,36,1,,2,,,,,,,,10,11,25,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,95,41,1,5,4111,2000000,03,17,173.61928022,
5392696,1,3,1,60,17,17,1,2,1,,2,1,,1,1,2,1,5,,2,,2,1700000,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,1,425000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,1,1,2,1,1,,,,,,,,,1,1,1,0,22,1,,2,,,,,,,,3,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,1,,59,86,1,1,8610,1700000,03,17,173.61928022,7810
5392697,1,1,1,60,17,17,1,2,1,,1,,,1,1,1,1,81,,2,,2,2800000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,1400000,1,2800000,1,1400000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,1,1,1,6,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,8,7,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,1,,39,84,1,2,8424,2800000,03,17,262.17950212,
5392699,1,1,1,60,17,17,1,2,1,,1,,,2,1,1,1,9,,3,,1,908526,1,200000,2,1,61000,2,,1,130000,2,,2,,,1,106554,2,1,33500,2,2,,,2,,,1,63000,2,2,,1,400000,2,,2,,2,,2,,,.,,,,,,,,,.,9,,,,,,,,,40,,.,40,,,9,7,,1,,1,1,1,4,1,1,,,,,,,,,1,1,1,1,27,1,,2,,,,,,,,13,2,90,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,2,1,,90,25,1,1,2592,969526,03,17,250.58808716,
5392703,1,1,1,60,17,17,1,2,1,,2,4,EMPRESA NAPOLES,1,1,2,1,6,,1,,2,1300000,2,,,2,,2,,2,,2,,2,,,1,106454,2,1,33000,2,2,,,2,,,2,,,1,1300000,2,,2,,2,,2,,1,3,,,,,,,,,,,,12,,,,,,,,,48,,.,51,,,9,7,,1,,1,1,1,2,1,1,,,,,,,,,1,1,1,0,24,1,,2,,,,,,,,1,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,5,,58,68,1,1,6820,1300000,03,17,322.87517606,8010
5392707,1,1,1,60,17,17,1,2,1,,1,,,1,1,2,1,72,,2,,2,908526,2,,,2,,2,,2,,2,,2,,,1,105454,2,1,33000,2,2,,,2,,,2,,,1,908526,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,1,1,6,1,1,,,,,,,,,1,1,1,0,36,1,,2,,,,,,,,8,2,50,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,03,85,1,1,8544,908526,03,17,274.6632225,
5392708,1,3,1,60,17,17,1,2,1,,1,,,1,1,2,1,24,,1,,2,908526,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,1,908526,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,5,9,,1,,1,2,1,5,1,1,,,,,,,,,1,1,1,0,36,8,,2,,,,,,,,3,11,45,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,95,41,1,1,4111,908526,03,17,159.89514532,
5392708,1,4,1,60,17,17,1,2,1,,1,,,1,1,2,1,24,,2,,2,908526,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,1,908526,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,2,1,4,1,1,,,,,,,,,1,1,1,0,24,1,,2,,,,,,,,1,11,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,38,82,1,1,8220,908526,03,17,159.89514532,
5392852,1,1,1,60,50,50,1,2,2,10,1,,,1,2,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,3000000,1,,3,,12,2,,,,,1,3,2,48,,.,48,,,9,7,,1,,1,1,2,23,1,1,,,,,,,,,1,2,1,0,12,1,,1,50,24,4,,900000,1,1,1,8,15,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,5,,19,84,1,4,8413,3900000,03,50,331.22387186,
5392853,1,1,1,60,50,50,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,3,1200000,1,,3,,12,2,,,,,3,3,2,48,,.,48,,,1,7,,4,,2,,,,1,,,,,,,,,1,2,2,1,0,3,1,,2,,,,,,,,1,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,5,,57,96,1,4,9602,1200000,03,50,368.80081802,
5392854,1,1,1,60,50,50,2,,,,,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2020,2,2000000,1,,3,,12,1,1,0,0,1,2,3,2,54,,.,54,,,2,7,,1,,2,,,,1,,,,,,,,,1,2,2,1,0,12,4,,2,,,,,,,,3,3,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,84,45,1,4,4520,2000000,03,50,319.77856982,
5392854,1,2,1,60,50,50,2,,,,,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,.,12,,,,,,,,,30,2,,30,,,2,7,,3,,2,,,,1,,,,,,,,,1,2,2,1,24,12,4,,2,,,,,,,,2,3,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,55,45,1,6,4520,,03,50,319.77856982,
5392855,1,1,1,60,50,50,1,2,1,,1,,,1,1,1,1,56,,5,,2,2200000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,1100000,1,2200000,1,1100000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,3,1,15,1,1,,,,,,,,,1,1,1,0,16,1,,2,,,,,,,,3,11,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,1,1,1,3,,13,85,1,2,8530,2200000,03,50,314.93380359,
