DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480S1,P7480S1A1,P7480S3,P7480S3A1,P7480S4,P7480S4A1,P7480S5,P7480S5A1,P7480S6,P7480S6A1,P7480S7,P7480S7A1,P7480S8,P7480S8A1,P7480S9,P7480S9A1,P7480S10,P7480S10A1,P7480S11,P7480S11A1,AREA,MES,DPTO,fex_c_2011
5392695,1,1,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,248.98908872
5392695,1,2,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,248.98908872
5392696,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,173.61928022
5392696,1,2,1,90,2,,1,36,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,173.61928022
5392696,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,173.61928022
5392696,1,4,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,173.61928022
5392697,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,262.17950212
5392697,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,262.17950212
5392697,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,262.17950212
5392698,1,1,1,90,2,,1,30,2,,1,20,2,,2,,2,,2,,2,,2,,17,03,17,187.41883024
5392698,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,187.41883024
5392699,1,1,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,250.58808716
5392699,1,2,1,90,2,,1,7,2,,1,50,2,,2,,2,,2,,2,,2,,17,03,17,250.58808716
5392700,1,1,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,199.49431725
5392701,1,1,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,230.83690968
5392701,1,2,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,230.83690968
5392702,1,1,1,90,2,,1,40,2,,1,40,2,,2,,2,,2,,2,,2,,17,03,17,243.32063007
5392703,1,1,1,90,2,,2,,2,,1,10,2,,2,,2,,2,,2,,2,,17,03,17,322.87517606
5392703,1,2,1,90,2,,1,30,2,,1,20,2,,2,,2,,2,,2,,2,,17,03,17,322.87517606
5392705,1,1,1,90,2,,1,30,2,,1,10,2,,1,8,2,,2,,1,4,2,,17,03,17,236.86395226
5392705,1,2,1,90,2,,1,40,2,,1,30,2,,2,,2,,2,,2,,2,,17,03,17,236.86395226
5392707,1,1,1,90,2,,1,8,2,,1,20,2,,2,,2,,2,,2,,2,,17,03,17,274.6632225
5392707,1,2,1,90,2,,1,6,2,,1,18,2,,2,,2,,2,,2,,2,,17,03,17,274.6632225
5392708,1,1,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,159.89514532
5392708,1,2,1,90,2,,1,30,2,,1,20,2,,2,,2,,2,,2,,2,,17,03,17,159.89514532
5392708,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,159.89514532
5392708,1,4,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,159.89514532
5392852,1,1,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,331.22387186
5392853,1,1,1,90,2,,1,18,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,368.80081802
5392853,1,2,1,90,2,,1,35,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,368.80081802
5392853,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,368.80081802
5392854,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,319.77856982
5392854,1,2,1,90,2,,1,42,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,319.77856982
5392854,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,319.77856982
5392854,1,4,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,319.77856982
5392855,1,1,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,314.93380359
5392856,1,1,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,203.69038331
5392856,1,2,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,203.69038331
5392856,1,3,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,203.69038331
5392857,1,1,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,331.22387186
5392858,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,185.9833582
5392858,1,2,1,90,2,,1,32,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,185.9833582
5392858,1,3,1,90,2,,1,32,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,185.9833582
5392858,1,4,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,185.9833582
5392859,1,1,1,90,2,,1,30,2,,1,10,2,,2,,2,,2,,2,,2,,50,03,50,298.42283554
5392859,1,2,1,90,2,,1,6,2,,1,8,2,,2,,2,,2,,2,,2,,50,03,50,298.42283554
5392859,1,4,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,298.42283554
5392859,1,5,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,298.42283554
5392859,1,6,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,298.42283554
5392860,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,200.55952178
5392860,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,200.55952178
5392861,1,1,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,1,10,50,03,50,210.84041034
5392862,1,1,1,90,2,,1,6,2,,1,7,2,,2,,2,,2,,2,,2,,50,03,50,248.20453029
5392862,1,2,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,1,12,50,03,50,248.20453029
5392862,1,3,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,1,12,50,03,50,248.20453029
