DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3148;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;P7240S1;P6980;P7140;OFICIO;RAMA2D_R4;OCI;MES;P6430;RAMA4D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
6,000,013;1;1;1;60;05;1;5;1;2;1;;1;;1;1;2;1;96;;1;;2;908,526;2;;;2;;2;;2;;2;;2;;;1;106,454;2;2;;;1;38,700;2;2;;;2;;;1;2,400,000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;2;1;25;1;;;;;;;;;1;1;1;0;60;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;30;5;;1;;97;93;1;11;1;9329;908526;05;1030.3000973;
6,000,015;1;2;1;60;05;1;5;1;2;2;12;1;;1;1;2;1;36;;2;;1;908,526;2;;;2;;2;;2;;2;;2;;;1;106,454;2;2;;;2;;;2;;;2;;;1;950,000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;42;;.;42;;;;9;7;;1;;1;1;1;10;1;;;;;;;;;1;1;1;1;36;1;;5;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;90;5;;1;;33;86;1;11;1;8621;908526;05;1064.4435899;
6,000,016;1;1;1;60;05;1;5;1;2;1;;2;2;1;1;2;1;72;;2;;2;1,286,000;2;;;2;;2;;2;;2;;2;;;1;106,454;2;1;35,000;2;2;;;2;;;2;;;1;1,286,000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;5;;1;;1;1;1;8;1;;;;;;;;;1;1;1;3;20;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;40;2;;1;;99;35;1;11;1;3513;1286000;05;1238.1629936;3811
6,000,018;1;1;1;60;05;1;5;1;2;1;;1;;1;1;2;1;4;;5;;1;1,500,000;2;;;2;;2;;2;;2;;2;;;1;106,454;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;8;1;;;;;;;;;1;1;1;0;10;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;60;9;;1;;03;43;1;11;1;4321;1500000;05;1179.6408463;
6,000,021;1;1;1;60;17;1;17;2;;;;;;;;;;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;0;0;3;6;;;;;2;1,500,000;1;;3;;8;1;12;60;;.;60;;;;2;2;;3;;2;;;;;;1;;;;;;;2;2;1;0;192;1;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;3;5;8;;1;;93;41;1;11;5;4111;1500000;17;297.9196065;
6,000,021;1;2;1;60;17;1;17;1;1;;;1;;1;2;2;1;180;;1;;2;908,526;2;;;2;;2;;2;;2;;1;300,000;2;1;106,454;2;2;;;2;;;2;;;2;;;1;893,164;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;45;;.;45;;;;1;2;;1;;1;2;1;10;1;;;;;;;;;1;1;1;3;60;1;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;15;3;;1;;54;97;1;11;3;9700;908526;17;297.9196065;
6,000,021;1;3;1;60;17;1;17;1;1;;;1;;1;2;2;2;5;;1;;2;36,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;5;4;2;;4;;;;1;2;;3;;2;;;;;;;;;;;;1;2;1;1;12;7;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;3;5;3;;1;;59;97;1;11;3;9700;36000;17;297.9196065;
6,000,021;1;4;1;60;17;1;17;1;1;;;1;;1;2;2;2;24;;1;;2;1,200,000;2;;;9;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;60;;.;60;;;;2;2;;1;;2;;;;;;1;;;;;;;1;2;1;3;3;1;;1;2;;;;;;;;2;;;;1;1;1;2;2;2;2;1;1;2;;2;1;1;1;1;2;2;1;3;5;8;;1;1;85;41;1;11;1;4111;1200000;17;297.9196065;
6,000,022;1;3;1;60;17;1;17;1;2;1;;1;;1;1;2;1;60;;1;;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;999;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;19;1;;;;;;;;;1;2;1;3;48;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;8;30;3;;1;;34;47;1;11;1;4752;;17;133.56471853;
6,000,023;1;1;1;60;17;1;17;1;2;1;;1;;1;1;2;1;108;;1;;2;1,200,000;2;;;2;;2;;2;;2;;2;;;1;106,454;2;2;;;2;;;2;;;2;;;1;800,000;2;;1;800,000;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;10;1;;;;;;;;;1;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;20;3;;1;;45;47;1;11;1;4754;1200000;17;221.82824445;
6,000,024;1;2;1;60;17;1;17;1;1;;;1;;1;2;2;2;6;;1;;2;908,526;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;6;48;;.;48;;;;2;7;;1;;1;1;2;15;1;;;;;;;;;2;2;1;6;24;1;;7;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;10;3;;1;;45;56;1;11;1;5630;908526;17;145.1275896;
6,000,026;1;3;1;60;17;1;17;1;2;1;;1;;1;1;2;1;48;;1;;1;908,526;2;;;2;;2;;2;;2;;2;;;1;106,454;2;2;;;2;;;2;;;2;;;1;908,526;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;18;1;;;;;;;;;1;1;1;0;108;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;30;5;;1;;58;80;1;11;1;8010;908526;17;147.70428805;
6,000,026;1;4;1;60;17;1;17;1;2;1;;1;;1;1;2;1;192;;3;;2;908,526;2;;;2;;2;;2;;2;;2;;;1;106,454;2;1;34,000;2;2;;;2;;;2;;;1;908,523;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;16;1;;;;;;;;;1;1;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;30;5;;1;;42;61;1;11;1;6120;908526;17;147.70428805;
6,000,027;1;1;1;60;17;1;17;1;1;;;1;;1;2;2;2;1;;2;;2;250,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;16;2;;16;;;;3;7;;2;;2;;;;;;;;;;;;1;2;2;1;0;12;1;;3;2;;;;;;;;2;;;;1;1;1;2;1;2;2;2;2;2;;2;1;2;2;1;2;2;1;3;10;3;;1;1;53;56;1;11;1;5630;250000;17;200.3636819;
6,000,028;1;1;1;60;17;1;17;2;;;;;;;;;;204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;3,800,000;1;;3;;3;2;12;34;2;;34;;;;1;1;;1;;3;;;;;;;;;;;;;2;2;1;0;240;2;;4;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;10;DE LA PENSION;;;12;69;1;11;4;6910;3800000;17;157.93634345;
6,000,028;1;2;1;60;17;1;17;2;;;;;;;;;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;2,000,000;1;;3;;8;2;12;20;2;;20;;;;1;1;;1;;3;;;;;;;;;;;;;2;2;1;0;120;1;;10;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;10;DE LA PENSION;;;12;69;1;11;4;6910;2000000;17;157.93634345;
6,000,029;1;3;1;60;17;1;17;1;2;1;;1;;1;1;2;1;36;;2;;2;908,526;2;;;2;;2;;2;;2;;2;;;1;98,000;2;2;;;2;;;2;;;2;;;1;893,164;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;2;1;8;1;;;;;;;;;1;1;1;3;64;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;20;2;;1;;34;65;1;11;1;6523;908526;17;236.58205029;
6,000,030;1;2;1;60;17;1;17;1;2;1;;1;;1;1;1;1;12;;5;;2;2,000,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;2,000,000;1;2,000,000;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;22;2;;22;;;;9;7;;1;;1;3;1;20;1;;;;;;;;;1;1;1;0;84;2;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;1;1;1;2;7;2;;1;;13;85;1;11;2;8530;2000000;17;177.56830368;
