DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6360;P6360S1;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3148;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;P7240S1;P6980;P7140;OFICIO;RAMA2D_R4;OCI;MES;P6430;RAMA4D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
5570694;1;1;1;60;;1;;;44;1;2;1;;1;;1;1;1;1;120;;6;;2;2500000;2;;;1;;2;;1;98;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;1200000;1;1200000;1;1200000;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;10;;1;;1;2;1;12;1;;;;;;;;;1;1;1;0;120;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;7;90;5;;1;;97;05;1;10;1;0510;2500000;44;831.79616115;
5570694;1;2;1;60;;1;;;44;2;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;100000;1;;3;;1;2;12;30;2;;30;;;;1;1;;3;;2;;;;;;;;;;;;1;2;2;1;24;6;1;;1;2;;;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;;2;1;1;2;2;2;2;1;14;;3;;1;1;13;85;1;10;4;8559;100000;44;831.79616115;
5570699;1;1;1;60;;1;;;50;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;400000;1;;3;;1;1;3;35;1;;35;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;1;30;72;4;;1;2;;;;;;;;2;;;;1;1;1;2;1;2;2;2;2;2;;2;1;2;2;1;2;2;1;3;15;8;;1;1;45;47;1;10;4;4781;400000;50;698.86725371;
5570699;1;2;1;60;;1;;;50;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;500000;1;;3;;1;1;9;35;1;;35;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;1;13;1;1;1;1;1;2;1;2;2;2;2;2;;1;1;2;2;2;2;2;1;3;20;8;;1;1;45;47;1;10;4;4781;500000;50;698.86725371;
5570701;1;1;1;60;;1;;;50;2;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;120000;1;;3;;1;1;6;10;1;;10;;;;1;1;;2;;2;;;;;;;;;;;;1;2;2;1;12;48;1;;7;2;;;;;;;;1;38;1;1;1;1;1;2;1;2;2;2;2;2;;1;1;2;2;2;2;1;1;14;;8;;1;1;53;56;1;10;4;5619;120000;50;879.36092241;
5570701;1;2;1;60;;1;4;;50;2;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;500000;1;;1;;5;1;4;30;1;;30;;;;1;8;;10;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;1;18;2;1;1;1;1;2;1;2;1;1;2;2;;2;1;1;2;1;2;2;1;8;60;8;;1;1;97;01;1;10;4;0161;500000;50;879.36092241;
5570701;1;4;1;60;;1;;;50;2;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;500000;1;;1;;1;2;12;30;2;;30;;;;1;8;;11;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;2;1;8;60;8;;1;;97;01;1;10;4;0161;500000;50;879.36092241;
5570702;1;1;1;60;;1;;;50;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;6;;;;;2;240000;1;;1;;1;1;1;26;1;;26;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;1;22;2;1;1;1;1;2;1;2;2;2;2;2;;2;1;2;2;2;2;2;1;8;40;8;;1;1;61;47;1;10;4;4723;240000;50;1086.4174281;
5570702;1;2;1;60;;1;;;50;1;2;1;;1;;1;1;2;1;94;;1;;2;908000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;908000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;8;1;;;;;;;;;1;1;1;3;60;8;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;10;8;;1;;99;38;1;10;2;3811;908000;50;1086.4174281;
5570704;1;1;1;60;;1;;;50;2;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;700000;1;;3;;1;1;12;24;1;;24;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;1;120;4;;3;2;;;;;;;;1;24;1;1;1;1;1;2;1;2;2;1;1;2;;1;1;2;2;2;2;2;1;3;5;8;;1;1;98;49;1;10;4;4923;700000;50;1373.5515341;
