PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3051S1;P3052;P3052S1;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3366;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20220417;04;2022;7031228;1;1;1;60;;1;3689.8463559;25;1;4923;1;2;1;;1;;1;;2;2;2;2;360;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;7;;;;;;;;;;;;;1;15000000;1;0;0;3000000;0;7000000;;;;;;;;;;;;;;;;;;1;1;2022;2;;3000000;1;;3;;1;2;12;72;;;72;;;;1;4;;1;;1;2;2;18;1;2;1;24;120;1;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;7;60;9;1;3000000;49;4923;8332
20220417;04;2022;7031228;1;2;1;60;;1;3689.8463559;25;1;9602;2;;;;;;;;;;;;240;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;;;1;300000;1;0;0;0;50000;0;;;;;;;;;;;;;;;;;;1;1;2021;2;;200000;1;;3;;3;1;10;24;2;;24;;;;1;7;;3;;2;;;;2;2;1;48;72;2;;3;;2;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;3;2;3;1;200000;96;9602;5141
20220417;04;2022;7031228;1;3;1;60;;1;3689.8463559;25;1;9491;1;2;2;12;1;;1;;1;1;1;1;7;1;;1;1;1;1;1;2;1000000;2;;2;;;2;;2;;2;;2;;2;;;1;117172;2;2;;;2;;;2;;;2;;;2;;1;200000;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;30;2;;30;;;;4;7;;1;;1;1;1;4;2;1;1;12;9;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;5;3;1;1000000;94;9491;4120
20220417;04;2022;7031229;1;1;1;60;;1;2254.2414826;25;1;9603;1;1;;;1;;1;;2;2;2;2;12;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;3;3;3;3;;;;500000;500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;500000;1;;1;;1;1;12;20;2;;16;6;;2;2;7;;2;;2;;;;2;2;1;0;131;2;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;3;3;3;1;500000;96;9603;9112
20220417;04;2022;7031230;1;1;1;60;;1;2680.9376523;25;1;9700;1;1;;;1;;2;;2;2;2;2;36;3;;2;2;2;2;1;2;480000;2;;2;;;1;100000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;15;2;;15;;;;1;2;;2;;1;4;2;0;2;2;1;48;36;1;;11;;2;;;;;;2;;;;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;3;6;3;1;580000;97;9700;9111
20220417;04;2022;7031231;1;1;1;60;;1;2720.8862141;25;1;8121;2;;;;;;;;;;;;240;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;3;3;3;6;;;;720000;720000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;720000;1;;1;;1;1;11;24;2;;24;;;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;11;10;3;1;720000;81;8121;9111
20220417;04;2022;7031232;1;1;1;60;;1;1385.6446823;25;1;141;2;;;;;;;;;;;;390;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;0;1;1;1;1;4;7;;;;;;;;;;;;;2;;;;;;;;21600000;1;7200000;500000;0;0;0;2000000;0;900000;0;1;36000;1;3000000;;;2;;;2;;1000000;1;;3;;10;2;12;18;2;;18;;;;2;8;;3;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;11;20;3;1;1000000;01;0141;9212
20220417;04;2022;7031232;1;2;1;60;;1;1385.6446823;25;1;141;2;;;;;;;;;;;;24;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;42;;;42;;;;2;8;;4;;2;;;;2;2;1;24;48;4;;1;;2;;;;;;1;48;1;1;1;1;1;2;2;2;2;1;2;2;1;1;1;1;1;2;2;1;11;20;8;1;;01;0141;9212
20220417;04;2022;7031236;1;2;1;60;;1;1937.5346627;25;1;121;2;;;;;;;;;;;;400;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;0;0;3;1;1;1;7;;;;;;;;;;;;;2;;;;;;;;7000000;12;2000000;100000;1200000;1500000;2000000;0;0;0;0;1;50000;1;2000000;;;2;;;2;;100000;1;;2;;5;2;12;36;1;;36;;;;2;8;;1;;1;2;2;18;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;1;13;20;3;1;100000;01;0121;6111
20220417;04;2022;7031237;1;1;1;60;;1;2254.2414826;25;1;5619;2;;;;;;;;;;;;12;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;;;1;400000;1;0;200000;0;235000;0;;;;;;;;;;;;;;;;;;2;;;2;;0;1;;2;;2;2;12;70;;;70;;;;1;1;;1;;2;;;;2;2;1;24;180;1;;2;;2;;;;;;2;;;;1;2;1;1;2;2;2;2;2;2;2;1;2;2;1;2;2;1;14;;8;1;0;56;5619;9411
