DIRECTORIO,SECUENCIA_P,ORDEN,P6016,P3271,P6030S1,P6030S3,P6040,P6050,P6083,P6083S1,P6081,P6081S1,P2057,P2059,P2061,P6080,P6080S1,P6080S1A1,P6070,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P6090,P6100,P6110,P6120,P1906S1,P1906S2,P1906S3,P1906S4,P1906S5,P1906S6,P1906S7,P1906S8,P6160,P6170,P3041,P3042,P3042S1,P3042S2,P3043,P3043S1,HOGAR,CLASE,P3038,P3039,AREA,MES,PERIODO,DPTO,pt,FEX_C18,LGB_Numerica,LGB_sectores,Trans_numerica,LGBT_Numerica,Discapacidad,Dificultad,Campesina,POB_MAY18,PER,REGIS
5000000,1,1,1,1,3,1988,33,1,1,6,2,,2,2,1,6,,,2,1,2,,,1,1,,,,,,,,,2,,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,,1,20220104,08,1,1432.4633227,0,,0,0,0,0,0,1,2022,10
5000000,1,2,2,2,12,1990,31,2,2,,2,,1,,1,6,,,2,1,1,,,,,,,,,,,1,,2,,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,,1,20220104,08,1,1432.4633227,0,,0,0,0,0,1,1,2022,10
5000000,1,3,3,2,4,2010,11,3,1,2,1,1,2,2,2,6,,,6,,,,,,,,,,1,,,,,2,,,,4,4,4,4,4,4,4,4,1,1,1,3,4,,,,1,1,,,,1,20220104,08,1,1432.4633227,,,,,0,0,0,,2022,10
5000000,1,4,2,2,4,2016,5,3,1,2,1,1,2,2,1,6,,,,,,,,,,,,,,,,,,2,,,,4,4,4,4,4,4,4,4,2,2,,1,0,,,,1,1,,,,1,20220104,08,1,1432.4633227,,,,,0,0,0,,2022,10
5000000,1,5,2,1,7,2018,3,3,1,2,1,1,2,2,1,6,,,,,,,,,,,,,,,,,,2,,,,4,4,4,4,4,4,4,4,2,2,,1,0,,,,1,1,,,,1,20220104,08,1,1432.4633227,,,,,,,0,,2022,10
5000000,1,6,6,2,6,1945,76,4,3,,3,,2,2,2,6,,,4,,,1,,,,,,,,,,,,2,,,,4,4,4,4,4,4,4,4,1,2,,1,0,,,,1,1,1,2,,1,20220104,08,1,1432.4633227,0,,0,0,0,0,0,1,2022,10
5000001,1,1,1,1,8,1963,58,1,3,,3,,2,2,2,6,,,2,1,2,1,,1,1,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,3,5,,,,1,1,2,1,,1,20220104,08,1,1088.7962663,0,,0,0,0,0,0,1,2022,10
5000001,1,2,2,2,9,1960,61,2,3,,3,,2,2,2,6,,,2,1,1,1,,,1,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,3,5,,,,1,1,1,2,,1,20220104,08,1,1088.7962663,0,,0,0,0,0,0,1,2022,10
5000001,1,3,3,1,8,1985,36,3,1,2,1,1,2,2,2,6,,,6,,,1,,,,,,1,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,3,5,,,,1,1,2,1,,1,20220104,08,1,1088.7962663,0,,0,0,0,0,0,1,2022,10
5000002,1,1,1,2,2,2001,20,1,2,,2,,2,2,2,6,,,4,,,,,1,1,,,1,,,,,,2,,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,,1,20220104,08,1,2066.712422,0,,0,0,0,0,0,1,2022,10
5000002,1,2,1,2,8,2018,3,3,1,1,2,,2,2,2,6,,,,,,,,,,,,,,,,,,2,,,,4,4,4,4,4,4,4,4,2,2,,1,0,,,,1,1,,,,1,20220104,08,1,2066.712422,,,,,,,0,,2022,10
5000002,1,3,2,1,12,2019,2,3,1,1,2,,2,2,2,6,,,,,,,,,,,,,,,,,,2,,,,4,4,4,4,4,4,4,4,,,,,,,,,1,1,,,,1,20220104,08,1,2066.712422,,,,,,,0,,2022,10
5000003,1,1,1,1,5,1977,44,1,2,,2,,2,2,2,6,,,3,1,2,,1,,1,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,,1,20220104,08,1,1834.3104538,0,,0,0,0,0,0,1,2022,10
5000003,1,2,2,2,9,1984,37,2,2,,2,,9,9,9,6,,,3,1,1,1,1,,1,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,8,4,415,2,,1,1,1,2,,1,20220104,08,1,1834.3104538,0,,0,0,0,0,9,1,2022,10
5000003,1,3,2,1,5,2009,12,3,1,2,1,1,2,2,2,6,,,6,,,,,,,,,,1,,,,,1,3,,,4,4,4,4,4,4,4,4,1,1,2,4,2,,,,1,1,,,,1,20220104,08,1,1834.3104538,,,,,0,0,0,,2022,10
5000003,1,4,2,2,5,2013,8,3,1,2,1,1,2,2,2,6,,,,,,,,,,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,1,2,4,2,,,,1,1,,,,1,20220104,08,1,1834.3104538,,,,,0,0,0,,2022,10
5000003,1,5,2,2,8,2015,6,3,1,2,1,1,2,2,2,6,,,,,,,,,,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,2,1,2,2,0,,,,1,1,,,,1,20220104,08,1,1834.3104538,,,,,0,0,0,,2022,10
5000004,1,1,1,2,7,1994,27,1,2,,3,,2,2,2,6,,,1,2,,,,,,,,1,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,,1,20220104,08,1,1920.0804079,0,,0,0,0,0,0,1,2022,10
