DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,P3044,P6440,P6450,P6460,P6460S1,P6400,P6410,P6422,P6424S1,P6424S2,P6424S3,P6424S5,P6426,P6430S1,P3045S1,P3045S2,P3045S3,P3046,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P3047,P3048,P3049,P6765,P6765S1,P3053,P3054,P3055,P3056,P6760,P3061,P3063,P3064,P3065,P3066,P3067,P3067S1,P3067S2,P6775,P3068,P6750,P3073,P550,P6780,P6780S1,P1879,P1805,P6790,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P3069,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P1880,P1880S1,P7040,P7045,P7050,P7070,P7075,P7077,P7090,P7100,P7110,P7120,P7130,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P1881,P1882,P7240,CLASE,OCI,AREA,P6430,RAMA4D_R4,OFICIO_C8,RAMA2D_R4,MES,PERIODO,DPTO,FT,FEX_C18,INGLABO,P3363,P3364,P3364S1,P6640S1,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P3051,P3051S1,P3052,P3052S1,P3365,P3365S1,P3054S1,P3055S1,P3057,P3058S1,P3058S2,P3058S3,P3058S4,P3058S5,P3059,P3062S1,P3062S2,P3062S3,P3062S4,P3062S5,P3062S6,P3062S7,P3062S8,P3062S9,P3063S1,P3064S1,P3366,PER,REGIS
5000000,1,1,1,AGUA EMBOTELLADA,1,1,,,1,,1,2,2,2,2,36,,2,2,2,2,2,768000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,72,,,72,,,4,5,,4,,2,,,,2,2,1,0,24,4,,3,,2,,,,,,2,,,,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,3,15,8,1,1,,1,4632,9621,46,1,20220104,08,1,1432.4633227,768000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000001,1,1,1,SERVICIO DE REPARTO DE VOLANTES PUBLICITARIO A PARTICUARES,1,1,,,1,,1,2,2,2,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,2,,1,2,2,,,,,,2,2,,,,,,500000,1,,3,,1,1,12,40,,,40,,,3,6,,2,,2,,,,2,2,1,0,36,1,,5,,1,0,4,100000,1,6,2,,,,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,40,3,1,1,,4,5320,9621,53,1,20220104,08,1,1088.7962663,600000,,,,,2,,,,,1,,,500000,500000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000001,1,2,1,DESODORANTE COLONIAS,2,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,5,,1,2,2,,,,,,2,2,,,,,,50000,1,,3,,5,1,12,14,2,,14,,,1,2,,2,,2,,,,2,2,1,0,18,1,,2,,2,,,,,,2,,,,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,3,10,3,1,1,,4,4792,3322,47,1,20220104,08,1,1088.7962663,50000,,,,,2,,,,,3,,,200000,200000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000001,1,3,1,SERVICIO DE DOMICILIOS A PARTICULARES,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,60000,1,,3,,1,2,12,25,1,,25,,,1,2,,2,,2,,,,2,2,1,9,3,1,,1,,2,,,,,,1,23,1,1,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,13,10,3,1,1,,4,5320,9621,53,1,20220104,08,1,1088.7962663,60000,,,,,2,,,,,3,,,60000,60000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000002,1,1,1,LICOR,1,1,,,1,,1,2,2,2,2,6,,1,1,1,9,2,360000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,39,3,PORQUE DEBE CUIDAR A SUS HIJOS EL RESTO DE DIAS,39,,,3,7,,4,,2,,,,2,2,1,0,3,1,,3,,2,,,,,,2,,,,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,12,10,3,1,1,,1,5630,5131,56,1,20220104,08,1,2066.712422,360000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000003,1,1,1,SERVICIO DE TRANSPORTE DE PASAJEROS,2,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,600000,1,,3,,1,2,12,72,,,72,,,1,4,,2,,2,,,,2,2,1,0,36,1,,5,,2,,,,,,2,,,,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,14,,3,1,1,,4,4921,8321,49,1,20220104,08,1,1834.3104538,600000,,,,,2,,,,,3,,,1440000,1440000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000003,1,2,1,REFUERZO ESCOLAR,2,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,500000,1,,3,,3,1,12,30,2,,30,,,1,1,,2,,2,,,,2,2,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,14,,3,1,1,,4,8559,2359,85,1,20220104,08,1,1834.3104538,500000,,,,,2,,,,,3,,,500000,500000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000005,1,1,1,TRANSPORTE,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,99,1,,3,,3,2,12,48,,,48,,,1,4,,1,,3,,,,2,2,1,0,300,2,,4,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,6,5,2,1,1,,4,4921,8324,49,1,20220104,08,1,931.05697511,,,,,,2,,,,,3,,,99,99,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000006,1,1,1,ADMINISTRACION PUBLICA MUNICIPAL SECRETARIA DE SALUD,1,2,2,12,1,,1,2,2,2,2,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,,1,2,2,,,,,,2,2,,,,,,3000000,1,,3,,1,1,12,48,,,48,,,10,5,,1,,1,2,2,17,1,2,1,0,60,1,,2,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,11,10,3,1,1,,4,8413,5329,84,1,20220104,08,1,1414.4304632,3000000,,,,,2,,,,,1,3000000,3000000,,,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000006,1,3,1,SERVICIOS MEDICOS CON HOSPITALIZACION,1,2,1,,1,,1,1,2,1,1,72,,1,1,1,1,2,1100000,2,,,2,,2,,2,,2,,2,,,1,106000,1,1,33200,2,2,,,2,,,2,,,1,1000000,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,10,7,,1,,1,1,1,6,1,1,1,12,12,1,,1,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,2,30,3,1,1,,1,8610,5321,86,1,20220104,08,1,1414.4304632,1100000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
