PERIODO,DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,P7495,P7500S1,P7500S1A1,P7500S2,P7500S2A1,P7500S3,P7500S3A1,P7505,P7510S1,P7510S1A1,P7510S2,P7510S2A1,P7510S3,P7510S3A1,P750S1,P750S2,P750S3,P750S1A1,P750S2A1,P1661S1,P1661S2,P1661S3,P1661S4,P1661S1A1,P1661S2A1,P1661S3A1,P1661S4A1,P1661S4A2,P750S3A1,P7510S5,P7510S5A1,P7510S6,P7510S6A1,P7510S7,P7510S7A1,CLASE,AREA,MES,DPTO,P3367,P3368,P3369,P3370,P3370S1,P3371,P3371S1,P3371S2,P3371S3,P3371S4,P3372,P3372S1,FEX_C18,PER,REGIS
20220104,5000000,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1432.4633227,2022,90
20220104,5000000,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1432.4633227,2022,90
20220104,5000000,1,6,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1432.4633227,2022,90
20220104,5000001,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1088.7962663,2022,90
20220104,5000001,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1088.7962663,2022,90
20220104,5000001,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1088.7962663,2022,90
20220104,5000002,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,2066.712422,2022,90
20220104,5000003,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1834.3104538,2022,90
20220104,5000003,1,2,1,2,,,,,,,1,2,,2,,1,1920000,,1,,,1920000,,,,1,,,,INGRESO SOLIDARIO,1920000,,2,,2,,2,,1,,1,08,2,,,2,,2,,,,,2,,1834.3104538,2022,90
20220104,5000004,1,1,1,2,,,,,,,1,1,500000,2,,2,,,,,,,,,,,,,,,,,2,,2,,2,,1,,1,08,1,0,0,2,,2,,,,,2,,1920.0804079,2022,90
20220104,5000005,1,1,1,1,2,,1,98,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,1,99,0,2,,2,,,,,2,,931.05697511,2022,90
20220104,5000005,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,931.05697511,2022,90
20220104,5000005,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,931.05697511,2022,90
20220104,5000006,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1414.4304632,2022,90
