DIRECTORIO;SECUENCIA_P;ORDEN;P6016;P3271;P6030S1;P6030S3;P6040;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;HOGAR;CLASE;P3038;P3039;AREA;LGB_Numerica;LGB_sectores;Trans_numerica;LGBT_Numerica;Discapacidad;Dificultad;Campesina;POB_MAY18;MES;PERIODO;DPTO;pt;FEX_C18;PER;REGIS
5032621;1;1;1;1;4;1976;45;1;2;;2;;2;2;2;6;;;3;1;2;;;;1;;;1;;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;101.38606248;2022;10
5032621;1;2;2;2;12;1977;44;2;1;5;2;;1;;2;6;;;3;1;1;;;;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;3;;;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;101.38606248;2022;10
5032621;1;3;3;2;6;2005;16;3;1;2;1;1;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;3;;;4;4;3;4;4;4;4;4;1;1;1;5;1;;1;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;101.38606248;2022;10
5032621;1;4;4;1;9;2007;14;3;1;2;1;1;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;0;;;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;101.38606248;2022;10
5032621;1;5;5;2;6;1954;67;5;2;;2;;1;;2;6;;;2;2;;;;;;;;;;;;1;;1;3;;;4;1;4;1;1;1;1;2;2;2;;1;0;;;;1;1;1;2;19;0;;0;0;1;1;0;1;02;20220205;19;1;101.38606248;2022;10
5032622;1;1;1;2;7;1988;33;1;2;;2;;2;2;2;6;;;2;1;2;1;;;;;;;;1;;;;1;1;3;360000;4;4;4;4;4;4;4;4;1;2;;10;10;912;7;912;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;204.82985735;2022;10
5032622;1;2;2;1;11;1995;26;2;2;;2;;2;2;2;6;;;2;1;1;1;;1;1;;;;;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;10;9;732;5;732;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;204.82985735;2022;10
5032623;1;1;1;2;2;1946;76;1;3;;3;;2;2;2;6;;;6;;;;1;;;;;;;;;;;1;1;2;105000;4;4;4;4;4;4;4;4;1;2;;5;1;;1;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;111.74009729;2022;10
5032623;1;2;1;2;4;1942;79;6;3;;3;;2;2;2;6;;;6;;;;1;;;;;;;;;;;1;1;3;90000;2;4;3;3;3;4;3;3;2;2;;1;0;;;;1;1;1;2;19;0;;0;0;1;1;0;1;02;20220205;19;1;111.74009729;2022;10
5032623;1;3;3;2;6;1949;72;6;3;;3;;2;2;2;6;;;6;;;;1;;;;;;;;;;;1;1;3;90000;4;4;4;4;4;4;4;4;1;2;;4;4;;;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;111.74009729;2022;10
5032623;1;4;1;1;2;1951;70;6;2;;2;;2;2;2;6;;;4;;;;1;;;;;;;;;;;1;1;2;105000;4;4;3;1;3;3;3;3;1;2;;5;2;;2;;1;1;2;1;19;0;;0;0;1;1;0;1;02;20220205;19;1;111.74009729;2022;10
5032624;1;1;1;2;11;1954;67;1;3;;3;;2;2;2;6;;;2;1;2;;;1;;;;;;;;;;1;1;2;450000;4;4;3;4;4;4;4;4;1;2;;10;10;913;7;913;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;184.48442922;2022;10
5032624;1;2;2;1;8;1953;68;2;3;;3;;2;2;2;6;;;2;1;1;;;;1;;;;;;;;;1;1;5;;4;4;3;4;4;4;4;4;1;2;;4;1;;;;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;184.48442922;2022;10
5032625;1;1;1;2;8;1974;47;1;2;;2;;2;2;2;6;;;4;;;1;;;;;;1;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;154.46044959;2022;10
5032626;1;1;1;2;5;1954;67;1;2;;3;;1;;2;6;;;6;;;1;1;1;1;;;;;1;;;;1;3;;;4;4;2;4;4;4;4;4;1;2;;3;1;;;;1;1;1;2;19;0;;0;0;1;1;0;1;02;20220205;19;1;141.01531776;2022;10
5032626;1;2;1;1;9;2004;17;8;2;;2;;2;2;2;6;;;6;;;;;;;;;;;;;1;;1;9;;;4;4;4;4;4;4;4;4;1;2;;4;2;;;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;141.01531776;2022;10
5032626;1;3;1;1;4;2012;9;8;2;;2;;2;2;2;6;;;;;;;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;4;;;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;141.01531776;2022;10
5032627;1;1;1;1;12;1964;57;1;3;;3;;2;1;2;6;;;3;1;2;1;1;1;;;;;;;;;;1;1;3;120000;4;4;3;4;4;4;4;4;1;2;;10;10;411;7;411;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;136.67016443;2022;10
5032627;1;2;2;2;1;1969;53;2;2;;2;;2;2;2;1;999_01;;3;1;1;1;;;;;;;;1;;;;1;1;5;;3;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;1;2;19;0;;0;0;0;1;0;1;02;20220205;19;1;136.67016443;2022;10
