DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;P3044;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P3047;P3048;P3049;P6765;P6765S1;P3053;P3054;P3055;P3056;P6760;P3061;P3063;P3064;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;CLASE;OCI;AREA;P6430;RAMA4D_R4;OFICIO_C8;RAMA2D_R4;INGLABO;MES;PERIODO;DPTO;FT;FEX_C18;P3363;P3364;P3364S1;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3051;P3051S1;P3052;P3052S1;P3365;P3365S1;P3054S1;P3055S1;P3057;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063S1;P3064S1;P3366;PER;REGIS
5032621;1;1;1;PAPA RELLENAS EMPENADAS GASEOSAS RELLENA;2;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;24;2;;24;;;2;1;;2;;2;;;;2;2;1;24;60;1;;5;;2;;;;;;2;;;;1;1;1;2;1;2;2;1;1;2;1;1;2;2;2;2;2;2;14;;8;1;1;19;6;5619;5246;56;;02;20220205;19;1;101.38606248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032621;1;2;1;PAPAS RELLENAS EMPENADAS RELLENA GASEOSA;1;1;;;1;;2;2;2;2;2;24;;9;9;9;9;2;1200000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;40;;;2;1;;2;;2;;;;2;2;1;12;36;4;;2;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;14;;8;1;1;19;1;5619;5120;56;1200000;02;20220205;19;1;101.38606248;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032622;1;1;1;CUIDADO DE PACIENTES;1;2;2;3;1;;1;2;2;2;2;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;1;;1;2;2;;;;;;1;1;;;;;;0;1;;3;;1;1;3;50;;;50;;;10;7;;1;;1;2;2;2;1;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;8;30;2;1;1;19;4;8610;2269;86;0;02;20220205;19;1;204.82985735;;;;;2;;;;;1;3600000;3600000;;;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032627;1;1;1;SERVICIO DE SUMINISTRO DE AGUA POTABLE EN EL AREA RURAL;1;2;2;3;1;;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;3;1;;1;2;2;;;;;;1;1;;;;;;2400000;1;;3;;1;1;8;40;;;40;;;5;7;;1;;1;2;2;16;1;2;1;4;82;4;;2;;1;8;4;800000;3;1;1;4;1;1;1;1;1;2;1;2;1;1;2;2;1;1;1;2;1;2;2;2;2;20;2;1;1;19;4;3600;4311;36;3200000;02;20220205;19;1;136.67016443;;;;;2;;;;;1;2400000;2400000;;;1;240000;;;;;;;;;;;;;;;;;;;;;;2022;60
5032628;1;2;1;SERVICIO DE EDUCACION PREESCOLAR BASICA PRIMARIA Y MEDIA SECUNDARIA;1;2;1;;1;;1;1;1;1;1;144;;2;2;1;1;2;2180000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;2216000;1;4993000;1;2800000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;60;;;60;;;10;7;;1;;1;3;1;12;1;1;1;12;24;2;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;2;1;1;1;8;90;2;1;1;19;2;8530;2330;85;2180000;02;20220205;19;1;101.83093154;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032628;1;3;1;PROCESOS ORGANIZATIVOS QUE CONSTRUYEN PAZ HACIA UNA DEMOCRACIA CON JUSTICIA;1;2;1;;1;;2;2;2;2;2;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;3;1;;1;2;2;;;;;;1;1;;;;;;;1;;3;;3;2;12;60;;;60;;;6;7;;1;;1;2;2;10;1;2;1;1;180;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;2;2;1;2;8;10;2;1;1;19;4;8412;2611;84;;02;20220205;19;1;101.83093154;;;;;2;;;;;1;98;98;;;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032629;1;3;1;SERVICIOS DE INSTALACION DE REDES DE INTERNET TELEFONIA Y TELEVISION;1;2;2;6;1;;2;2;1;1;1;84;;1;1;1;1;2;1000000;2;;;2;;2;;2;;2;;2;;;1;106000;2;1;40000;2;2;;;2;;;2;;;1;450000;1;450000;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;7;;1;;1;2;1;7;1;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;1;11;10;2;1;1;19;1;6190;3113;61;1000000;02;20220205;19;1;110.40333399;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032629;1;4;1;SERVICIOS MEDICOS LABORATORIO Y ODONTOLOGIA;1;2;1;;1;;1;1;1;1;1;9;;1;1;1;1;2;480000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;290000;1;290000;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;25;2;;25;;;3;7;;1;;1;1;1;12;1;1;1;0;3;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;1;2;35;3;1;1;19;1;8692;5321;86;480000;02;20220205;19;1;110.40333399;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032630;1;1;1;SERVICIO DE SOLDADURA A ESTRUCTURAS EN HIERRO;1;1;;;1;;2;2;2;2;2;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;;1;2;2;;;;;;2;2;;;;;;900000;1;;3;;3;2;4;60;;;60;;;1;2;;1;;3;;;;2;2;1;12;240;2;;4;;2;;;;;;2;;;;2;;;;;;;;;;;;2;2;2;2;2;1;11;30;2;1;1;19;4;2592;7212;25;900000;02;20220205;19;1;92.986804199;;;;;2;;;;;3;;;900000;900000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032631;1;1;1;VENTA DE LICORES Y DULCERIA;2;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;7;;;;;1;1;;;;;;1;1;2021;2;;900000;1;;3;;1;1;12;70;;;70;;;2;1;;2;;2;;;;2;2;1;12;24;1;;2;;2;;;;;;2;;;;1;1;1;2;1;2;1;2;2;2;1;1;1;1;1;2;2;2;14;;5;1;1;19;4;4724;5223;47;900000;02;20220205;19;1;138.26015371;;;;;1;1;0;1;0;3;;;;;;;;;1200000;0;400000;0;350000;0;;;;;;;;;;;;;;2022;60
