PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3051S1;P3052;P3052S1;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3366;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20220730;07;2022;7126198;1;1;1;60;;1;763.93903708;70;1;4620;2;;;;;;;;;;;;96;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;700000;700000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;700000;1;;1;;1;1;12;35;1;;35;;;;2;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;1;1;1;2;1;2;2;2;2;2;2;1;1;1;1;2;2;1;11;30;3;1;700000;46;4620;1420
20220730;07;2022;7126200;1;1;1;60;;1;841.82298037;70;1;5619;2;;;;;;;;;;;;24;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;100000;100000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;100000;1;;3;;1;1;12;25;1;;25;;;;1;6;;2;;2;;;;2;2;1;6;120;4;;3;;2;;;;;;2;;;;1;1;1;2;1;2;1;1;1;2;2;1;2;2;2;2;2;2;3;10;3;1;100000;56;5619;5246
20220730;07;2022;7126202;1;1;1;60;;1;659.20122816;70;1;9529;2;;;;;;;;;;;;240;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;70000;70000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;70000;1;;1;;1;2;6;25;1;;25;;;;1;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;14;;3;1;70000;95;9529;7531
20220730;07;2022;7126203;1;1;1;60;;1;761.08366335;70;1;8692;2;;;;;;;;;;;;48;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;500000;500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;500000;1;;1;;1;1;5;20;1;;20;;;;1;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;1;20;1;1;1;1;1;2;1;2;2;2;2;2;1;1;1;2;1;2;2;1;3;20;3;1;500000;86;8692;2266
20220730;07;2022;7126204;1;1;1;60;;1;415.75003174;66;1;4762;2;;;;;;;;;;;;36;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;4;7;;;;;;;;;;;;;1;8000000;1;2500000;4000000;4000000;450000;0;;;;;;;;;;;;;;;;;;1;1;2022;1;1;1500000;1;;3;;8;2;12;52;;;52;;;;2;7;;1;;1;1;2;8;2;2;1;1;6;2;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;8;15;3;1;1500000;47;4762;1420
20220730;07;2022;7126206;1;1;1;60;;1;376.95100361;66;1;123;1;1;;;1;;1;;2;2;2;2;5;7;;2;2;2;2;1;2;850000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;48;;;48;;;;3;8;;2;;2;;;;2;2;1;2;3;7;;7;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;35;3;1;850000;01;0123;9211
20220730;07;2022;7126206;1;3;1;60;;1;376.95100361;66;1;9529;1;1;;;1;;1;;2;2;2;2;24;1;;1;1;2;9;1;2;970000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;48;;;48;;;;2;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;25;3;1;970000;95;9529;7234
20220730;07;2022;7126208;1;1;1;60;;1;419.96696192;66;1;4752;1;1;;;1;;1;;2;2;2;2;1;1;;2;2;2;2;1;2;400000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;30;1;;30;;;;2;2;;2;;2;;;;2;2;1;2;25;4;;3;;2;;;;;;1;20;1;1;1;1;1;2;1;2;2;1;2;2;1;1;1;2;2;2;2;1;3;15;3;1;400000;47;4752;9333
20220730;07;2022;7126208;1;2;1;60;;1;419.96696192;66;1;4791;2;;;;;;;;;;;;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;;;1;300000;1;300000;150000;0;0;0;;;;;;;;;;;;;;;;;;2;;;2;;300000;1;;3;;1;2;6;20;1;;20;;;;1;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;1;20;2;1;2;;;;;;;;;;;;1;1;1;2;1;1;14;;3;1;300000;47;4791;5221
20220730;07;2022;7126209;1;2;1;60;;1;473.39658945;66;1;4111;1;1;;;1;;2;;2;2;2;2;2;1;;2;2;2;2;1;2;950000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;48;;;48;;;;2;2;;2;;2;;;;2;2;1;2;5;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;2;2;2;2;2;1;11;30;3;1;950000;41;4111;9313
