DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;P3044;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P3047;P3048;P3049;P6765;P6765S1;P3053;P3054;P3055;P3056;P6760;P3061;P3063;P3064;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;CLASE;OCI;AREA;P6430;RAMA4D_R4;OFICIO_C8;RAMA2D_R4;INGLABO;MES;PERIODO;DPTO;FT;FEX_C18;P3363;P3364;P3364S1;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3051;P3051S1;P3052;P3052S1;P3365;P3365S1;P3054S1;P3055S1;P3057;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063S1;P3064S1;P3366;PER;REGIS
7000061;1;1;1;EXTRACCION Y PROCESAMIENTO DE CARBON COQUE EN MINAS;1;2;1;;1;;1;1;1;1;1;60;;1;1;1;1;2;1000000;2;;;2;;2;;2;;2;;2;;;1;80000;1;2;;;2;;;2;;;2;;;1;500000;1;900000;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;8;10;;1;;1;1;1;5;1;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;15;8;2;1;;1;0510;9311;05;1000000;03;20220313;54;1;1156.0060945;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000061;1;6;1;EXTRACCION Y PROCESAMIENTO DE CARBON COQUE EN MINAS;1;2;1;;1;;1;1;1;1;1;12;;1;1;1;1;2;1300000;2;;;1;90000;2;;2;;2;;2;;;1;117000;1;2;;;2;;;2;;;2;;;1;600000;1;900000;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;8;10;;1;;1;1;1;1;1;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;2;2;1;1;11;10;8;2;1;;1;0510;8111;05;1390000;03;20220313;54;1;1156.0060945;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000062;1;1;1;ROZAR CULTIVO DE LECHOZAS(PAPAYAS) EN DIFERENTES FINCAS;2;;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;6;;1;2;2;;;;;;2;2;;;;;;300000;1;0;3;;10;2;12;40;;;21;1;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;3;60;5;2;1;;4;0161;9211;01;300000;03;20220313;54;1;633.50278563;;;;;2;;;;;2;;;300000;300000;2;;;;;;;;;;;;;;;;;;;;;;2;2022;60
7000063;1;1;1;BRINDAR SERVICIOS DE ACARREO MUDANZA Y TRASTEOS A PARTICULARES EN CARRO;2;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;;1;2;2;;;;;;2;2;;;;;;350000;1;4200000;1;;3;2;12;20;2;;4;6;;1;4;;2;;2;;;;2;2;1;1;300;1;;13;EL EMPLEADOR LO CONSIDERABA MUY VIEJO;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;1;8;1;5;2;1;;4;4923;8332;49;350000;03;20220313;54;1;576.86990894;;;;;2;;;;;3;;;400000;400000;2;;;;;;;;;;;;;;;;;;;;;;2;2022;60
7000063;1;2;1;COMPRA DE CARBON PARA PROCESAMIENTO Y VENTA DE COQUE A EMPRESAS PARTICULARES;1;2;1;;1;;1;1;1;1;1;60;;1;1;2;1;2;1400000;2;;;2;;2;;2;;2;;2;;;1;115000;2;2;;;2;;;2;;;2;;;2;;1;700000;1;700000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;10;;1;;1;2;1;5;1;1;1;0;36;1;;2;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;10;5;2;1;;1;4661;4311;46;1400000;03;20220313;54;1;576.86990894;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000064;1;1;1;HOGAR;1;1;;;1;;2;2;2;2;2;18;;2;2;2;2;2;400000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;50;;;50;;;1;2;;7;;2;;;;2;2;1;0;12;4;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;2;2;2;1;3;5;8;2;1;;3;9700;9111;97;400000;03;20220313;54;1;289.00152361;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000064;1;4;1;VENTA DE MATERIALES PARA CONSTRUCCION AL POR MENOR;1;2;1;;1;;1;1;1;1;1;12;;1;1;9;1;2;1000000;2;;;2;;2;;2;;2;;2;;;1;1170000;2;2;;;2;;;2;;;2;;;1;507000;1;507000;1;507000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;30;7;PARO ARMADO EN LA ZONA NO FUE A TRABAJAR;4;7;;1;;1;1;1;1;1;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;5;5;2;1;;1;4752;5223;47;1000000;03;20220313;54;1;289.00152361;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000065;1;1;1;ADMINISTRAR RECURSOS DE SALUD DEL MUNICIPIO DE CUCUTA;1;2;1;;1;;1;1;1;1;1;252;;1;1;1;1;2;1200000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;1;500000;1;500000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;5;;1;;1;2;1;21;1;1;1;0;96;1;;7;;2;;;;;;1;10;2;1;2;;;;;;;;;;;;1;1;1;2;1;1;11;120;5;2;1;;2;8413;5321;84;1200000;03;20220313;54;1;444.54675363;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000067;1;1;1;ORDEÑAR VACAS EN DIFERENTES FINCAS GANADERAS  PARTICULARES;2;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;6;;1;1;2;;;;;;9;2;;;;;;600000;1;3600000;1;;1;1;6;48;;;48;;;1;8;;2;;2;;;;2;2;1;12;9;4;;2;;2;;;;;;1;10;2;1;1;1;1;2;1;2;1;2;2;2;1;1;2;2;2;2;2;1;11;30;5;2;1;;4;0162;9212;01;600000;03;20220313;54;1;677.89848045;;;;;2;;;;;3;;;600000;600000;2;;60000;;;;;;;;;;;;;;;;;;;;;2022;60
7000068;1;1;1;LIMPIAR Y CERCAR POTREROS EN DIFERENTES FINCAS;2;;;;;;;;;;;540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;4;6;;1;2;2;;;;;;2;2;;;;;;1000000;1;12000000;3;;9;2;12;50;;;50;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;10;15;8;2;1;;4;0161;9211;01;1000000;03;20220313;54;1;418.95824998;;;;;2;;;;;2;;;1000000;1000000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
