PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3051S1;P3052;P3052S1;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3366;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20231252;12;2023;7627427;1;1;1;60;;2;2269.1671815;44;1;141;1;1;;;1;;1;;2;2;2;2;2;7;;9;9;9;9;1;2;1200000;2;;2;;;1;200000;1;80000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;5;8;;11;;2;;;;2;2;1;0;24;7;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;2;3;3;3;1;1480000;01;0141;9212
20231252;12;2023;7627428;1;1;1;60;;2;1930.8257783;44;1;141;1;1;;;1;;1;;2;2;2;2;24;7;;1;1;1;2;1;2;1000000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;56;;;56;;;;3;8;;2;;2;;;;2;2;1;2;36;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;3;5;3;1;1000000;01;0141;9212
20231252;12;2023;7627429;1;1;1;60;;2;1451.3689821;44;1;141;1;1;;;1;;1;;2;2;2;2;12;7;;9;9;9;9;1;2;1200000;2;;2;;;1;250000;1;120000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;5;8;;2;;2;;;;2;2;1;0;60;4;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;2;3;5;8;1;1570000;01;0141;8341
20231252;12;2023;7627430;1;1;1;60;;2;1773.1663129;44;1;9700;1;1;;;1;;1;;1;2;2;2;0;3;;9;9;9;9;1;2;600000;2;;2;;;1;250000;1;100000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;1;300000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;1;7;;2;;2;;;;2;2;1;0;6;3;;9;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;2;3;2;3;1;950000;97;9700;9111
20231252;12;2023;7627431;1;1;1;60;;2;1828.767528;44;1;141;1;1;;;1;;1;;2;2;2;2;24;7;;9;9;9;9;1;2;1000000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;56;;;56;;;;4;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;3;4;3;1;1000000;01;0141;8332
20231252;12;2023;7627432;1;1;1;60;;2;1930.8257783;44;1;141;1;2;1;;1;;1;;1;1;2;2;48;7;;1;9;9;9;1;2;875000;2;;2;;;1;300000;1;200000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;1;400000;1;400000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;6;8;;1;;1;1;1;4;1;2;1;1;36;7;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;14;;3;1;1375000;01;0141;9212
20231252;12;2023;7627433;1;1;1;60;;2;2112.7371758;44;1;9700;1;1;;;1;;1;;2;2;2;2;6;3;;2;2;2;2;1;2;600000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;9;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;48;;;48;;;;1;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;3;3;3;1;600000;97;9700;9111
20231252;12;2023;7627433;1;2;1;60;;2;2112.7371758;44;1;141;1;1;;;1;;1;;2;2;2;2;6;7;;1;1;1;1;1;2;1000000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;56;;;56;;;;6;8;;2;;2;;;;2;2;1;6;24;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;3;8;3;1;1000000;01;0141;9211
20231252;12;2023;7627434;1;1;1;60;;2;1828.767528;44;1;141;1;1;;;1;;1;;2;2;2;2;0;7;;9;9;9;9;1;2;300000;2;;2;;;1;300000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;5;8;;11;;2;;;;2;2;1;1;5;4;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;2;3;5;3;1;600000;01;0141;6113
20231252;12;2023;7627435;1;1;1;60;;2;2269.1671815;44;1;150;1;1;;;1;;1;;2;2;2;2;0;7;;9;9;9;1;1;2;600000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;48;;;56;;;;6;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;2;2;1;1;3;9;3;1;600000;01;0150;9213
