PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3051S1;P3052;P3052S1;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3366;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20230104;01;2023;7309060;1;2;1;60;;1;1580.6772728;25;1;8412;1;2;9;;1;;2;;2;2;2;2;36;2;;1;1;1;1;1;2;1200000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;7;7;;1;;1;1;2;3;1;2;2;;;;;;;2;;;;;;2;;;;1;1;1;2;2;2;1;2;2;1;1;1;2;2;1;2;2;1;3;5;3;1;1200000;84;8412;3422
20230104;01;2023;7309061;1;1;1;60;;1;1001.6607824;25;1;4773;2;;;;;;;;;;;;36;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;;;1;10000000;1;2200000;7000000;7000000;600000;300000;;;;;;;;;;;;;;;;;;1;1;2022;1;1;2200000;1;;3;;1;2;12;72;;;72;;;;1;7;;1;;1;2;2;15;2;2;1;24;280;1;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;5;3;1;2200000;47;4773;1420
20230104;01;2023;7309061;1;2;1;60;;1;1001.6607824;25;1;111;1;1;;;1;;1;;2;2;2;2;80;7;;2;2;2;2;1;2;650000;2;;2;;;9;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;3;8;;3;;2;;;;2;2;1;12;300;1;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;2;2;2;2;2;1;11;15;3;1;650000;01;0111;9211
20230104;01;2023;7309064;1;1;1;60;;2;324.59826195;66;1;4711;2;;;;;;;;;;;;80;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;1;3;1;1;1;6;;;;600000;600000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;100000;1;1200000;3;;1;1;12;65;;;65;;;;2;1;;3;;2;;;;2;2;1;29;39;1;;3;;2;;;;;;2;;;;1;2;1;1;2;2;2;1;2;2;1;1;1;2;2;2;1;2;14;;8;1;100000;47;4711;5221
20230104;01;2023;7309064;1;2;1;60;;2;324.59826195;66;1;4791;2;;;;;;;;;;;;39;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;1;1;6;;;;1500000;1500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1300000;1;15600000;3;;1;2;12;68;;;68;;;;1;4;;1;;1;1;2;8;1;2;1;4;35;1;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;45;1;1;1300000;47;4791;9621
20230104;01;2023;7309064;1;3;1;60;;2;324.59826195;66;1;5611;1;1;;;1;;1;;2;2;2;2;9;1;;1;1;1;1;1;2;800000;2;;2;;;1;130000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;36;1;;36;;;;3;7;;3;;2;;;;2;2;2;;;;;;;1;20;4;450000;1;4;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;35;2;1;1380000;56;5611;5131
20230104;01;2023;7309064;1;5;1;60;;2;324.59826195;66;1;4711;2;;;;;;;;;;;;24;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;40;;;;2;1;;2;;2;;;;2;2;1;48;216;7;;11;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;14;;3;1;;47;4711;5223
20230104;01;2023;7309065;1;2;1;60;;2;187.86539973;66;1;123;1;1;;;1;;1;;2;2;2;2;36;7;;9;9;9;2;1;2;800000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;2;8;;2;;2;;;;2;2;1;0;120;7;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;3;3;5;1;800000;01;0123;9211
20230104;01;2023;7309068;1;1;1;60;;2;115.53099257;66;1;8121;2;;;;;;;;;;;;360;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;400000;400000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;0;1;200000;3;;1;2;12;30;1;;30;;;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;1;2;1;2;2;2;2;1;2;2;1;1;2;2;2;2;2;2;3;30;5;1;0;81;8121;9111
20230104;01;2023;7309069;1;2;1;60;;2;232.33489063;66;1;8121;1;2;2;12;1;;1;;1;1;1;1;35;1;;1;1;1;9;1;2;1000000;2;;2;;;2;;2;;2;;2;;2;;;1;117000;2;2;;;2;;;2;;;2;;;1;500000;1;1000000;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;2;7;;1;;1;2;1;5;1;2;1;1;9;3;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;2;40;8;1;1000000;81;8121;9112
