PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18;LGB_Numerica;LGB_sectores;LGBT_Numerica;Trans_numerica;Discapacidad;Dificultad;Campesina
20230208;02;2023;7338343;1;1;1;10;;2;287.80126112;18;1;1;1;48;6;1974;1;3;;2;;1;;1;6;;;3;1;2;;;;;;;;;;;1;;2;;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1;0;;0;0;0;0;1
20230208;02;2023;7338343;1;2;1;10;;2;287.80126112;18;1;2;2;46;2;1976;2;3;;3;;1;;1;6;;;3;1;1;1;1;;;;;;;;;;;2;;;;4;4;4;4;4;4;4;4;1;2;;3;4;;;;1;2;1;0;;0;0;0;0;1
20230208;02;2023;7338343;1;3;1;10;;2;287.80126112;18;1;3;1;13;3;2009;3;2;;1;1;1;;1;6;;;6;;;;;;;;;;1;;;;;2;;;;4;4;4;4;4;4;4;4;1;1;1;4;3;;;;;;;;;;;0;0;1
20230208;02;2023;7338344;1;1;1;10;;2;371.63210403;18;1;1;1;29;3;1993;1;2;;3;;1;;1;6;;;3;1;2;;;;;;;;;;;1;;1;3;;;4;4;2;4;4;4;4;4;1;2;;3;3;;;;2;1;1;0;;0;0;1;1;1
20230208;02;2023;7338344;1;2;1;10;;2;371.63210403;18;1;2;2;25;3;1997;2;2;;2;;1;;1;6;;;3;1;1;1;1;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;2;;;;1;2;1;0;;0;0;0;0;1
20230208;02;2023;7338344;1;3;1;10;;2;371.63210403;18;1;3;1;10;11;2012;3;1;2;2;;1;;1;6;;;6;;;;;;;;;;;;;1;;2;;;;4;4;4;4;4;4;4;4;1;2;;3;2;;;;;;;;;;;0;0;1
20230208;02;2023;7338344;1;4;1;10;;2;371.63210403;18;1;2;2;0;3;2022;3;1;2;1;1;1;;1;6;;;;;;;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;;1
20230208;02;2023;7338345;1;1;1;10;;2;333.79102895;18;1;1;2;41;10;1981;1;2;;2;;1;;1;6;;;3;1;2;;1;1;1;;;;;;;;;1;3;;;4;4;3;4;4;4;4;4;1;2;;3;5;;;;1;2;1;0;;0;0;0;0;1
20230208;02;2023;7338345;1;2;1;10;;2;333.79102895;18;1;2;1;54;5;1968;2;3;;3;;1;;1;6;;;3;1;1;;;;;;;;;;;1;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1;0;;0;0;0;0;1
20230208;02;2023;7338345;1;3;1;10;;2;333.79102895;18;1;3;2;12;6;2010;3;1;1;1;2;1;;1;6;;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;1;;;;;;;;;;;0;0;1
20230208;02;2023;7338345;1;4;1;10;;2;333.79102895;18;1;4;2;9;6;2013;3;1;1;1;2;1;;1;6;;;;;;;;;;;;;;;;;;2;;;;4;4;4;4;4;4;4;4;1;1;1;3;3;;;;;;;;;;;0;0;1
20230208;02;2023;7338346;1;1;1;10;;2;259.60038427;18;1;1;1;51;11;1971;1;1;3;3;;1;;1;6;;;4;;;;;;;;;;;;;1;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;1;;;;2;1;1;0;;0;0;0;0;1
20230208;02;2023;7338346;1;2;1;10;;2;259.60038427;18;1;2;1;17;11;2005;3;2;;1;1;1;;1;6;;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;3;;;;;;;;;;;0;0;1
20230208;02;2023;7338346;1;3;1;10;;2;259.60038427;18;1;3;2;74;2;1949;4;3;;3;;1;;1;6;;;4;;;;;;;;;;;;;1;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;3;;;;1;2;1;0;;0;0;0;0;1
20230208;02;2023;7338347;1;1;1;10;;2;215.02179881;18;1;1;1;46;5;1976;1;2;;2;;1;;1;6;;;6;;;;;;;;;;;;;1;;1;3;;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;2;1;1;0;;0;0;0;0;1
20230208;02;2023;7338348;1;1;1;10;;2;316.76443659;18;1;1;1;48;4;1974;1;3;;2;;1;;1;6;;;2;1;2;1;;;;;;1;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;3;;;;2;1;1;0;;0;0;0;0;1
20230208;02;2023;7338348;1;2;1;10;;2;316.76443659;18;1;2;2;39;4;1983;2;2;;2;;1;;1;6;;;2;1;1;;1;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;3;;;;1;2;1;0;;0;0;0;0;1
20230208;02;2023;7338348;1;3;1;10;;2;316.76443659;18;1;3;1;16;6;2006;3;1;2;2;;1;;1;6;;;6;;;;;;;;;;;;;1;;1;3;;;3;4;4;4;4;4;4;4;1;2;;4;1;;;;;;;;;;;0;1;1
20230208;02;2023;7338348;1;4;1;10;;2;316.76443659;18;1;4;1;12;1;2011;3;1;2;1;1;1;;1;6;;;6;;;;;;;;;;;;;1;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;1;;;;;;;;;;;0;0;1
20230208;02;2023;7338349;1;1;1;10;;2;166.12934315;18;1;1;1;50;4;1972;1;2;;3;;1;;1;6;;;3;1;2;1;;;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;4;;;;2;1;1;0;;0;0;0;0;1
20230208;02;2023;7338349;1;2;1;10;;2;166.12934315;18;1;2;2;52;5;1970;2;2;;3;;1;;1;6;;;3;1;1;1;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;1;;;;1;2;1;0;;0;0;0;0;1
20230208;02;2023;7338350;1;1;1;10;;2;554.8660118;18;1;1;1;62;7;1960;1;2;;3;;1;;1;6;;;2;1;2;;;;;;;1;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1;0;;0;0;0;0;1
20230208;02;2023;7338350;1;2;1;10;;2;554.8660118;18;1;2;2;31;11;1991;2;2;;2;;1;;1;6;;;2;1;1;;;;;;;;;;;1;;2;;;;4;4;4;3;3;4;4;4;1;2;;4;3;;;;1;2;1;0;;0;0;0;1;1
20230208;02;2023;7338350;1;3;1;10;;2;554.8660118;18;1;3;1;13;4;2009;3;1;2;1;1;1;;1;6;;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;1;;;;;;;;;;;0;0;1
20230208;02;2023;7338350;1;4;1;10;;2;554.8660118;18;1;4;2;11;1;2012;3;1;2;1;1;1;;1;6;;;6;;;;;;;;;;;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;0;;;;;;;;;;;0;0;1
20230208;02;2023;7338350;1;5;1;10;;2;554.8660118;18;1;5;1;5;12;2017;3;1;2;1;1;1;;1;6;;;;;;;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;2;1;1;2;0;;;;;;;;;;;0;0;1
20230208;02;2023;7338350;1;6;1;10;;2;554.8660118;18;1;2;1;1;12;2021;3;1;2;1;1;1;;1;6;;;;;;;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;;1
20230208;02;2023;7338351;1;1;1;10;;2;157.84071575;18;1;1;2;20;10;2002;1;2;;2;;1;;1;6;;;6;;;;;;;;;;;;;1;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;10;4;311;2;;1;2;1;0;;0;0;0;0;1
20230208;02;2023;7338352;1;1;1;10;;2;338.1929658;18;1;1;2;20;10;2002;1;2;;2;;1;;1;6;;;3;1;2;;;1;1;;;;;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;2;;;;1;2;1;0;;0;0;0;0;1
20230208;02;2023;7338352;1;2;1;10;;2;338.1929658;18;1;2;1;30;2;1993;2;2;;2;;1;;1;6;;;3;1;1;;;;1;;;1;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1;0;;0;0;0;0;1
20230208;02;2023;7338352;1;3;1;10;;2;338.1929658;18;1;2;1;1;6;2021;3;1;1;1;2;1;;1;6;;;;;;;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;;1
