PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20250417;04;2025;8173631;1;1;1;10;;2;444.98992841;08;1;1;1;41;11;1983;1;2;;2;;1;;1;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;1;;1;;2;1;1
20250417;04;2025;8173631;1;2;1;10;;2;444.98992841;08;1;2;2;37;1;1988;2;2;;3;;1;;1;5;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;1;;1;;1;2;1
20250417;04;2025;8173631;1;3;1;10;;2;444.98992841;08;1;2;1;17;3;2008;3;1;2;1;1;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;5;1;;1;;;;
20250417;04;2025;8173631;1;4;1;10;;2;444.98992841;08;1;2;1;11;7;2013;3;1;2;1;1;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;4;;;;;;
20250417;04;2025;8173631;1;5;1;10;;2;444.98992841;08;1;2;2;10;4;2015;3;1;2;1;1;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;3;;;;;;
20250417;04;2025;8173632;1;1;1;10;;2;318.79324195;08;1;1;1;61;3;1964;1;2;;2;;2;1;1;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250417;04;2025;8173633;1;1;1;10;;2;691.08424737;08;1;1;2;81;11;1943;1;3;;3;;1;;1;6;;;3;1;2;1;3;;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;1;2;1
20250417;04;2025;8173633;1;2;1;10;;2;691.08424737;08;1;2;1;83;12;1941;2;3;;3;;1;;1;6;;;3;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20250417;04;2025;8173633;1;3;1;10;;2;691.08424737;08;1;3;1;49;9;1975;3;1;1;1;2;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20250417;04;2025;8173633;1;4;1;10;;2;691.08424737;08;1;4;2;47;8;1977;3;1;1;1;2;1;;1;6;;;2;1;5;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;1;;1;;1;2;1
20250417;04;2025;8173633;1;5;1;10;;2;691.08424737;08;1;5;1;44;9;1980;7;2;;3;;1;;1;6;;;2;1;4;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;1;;1;;2;1;1
20250417;04;2025;8173633;1;6;1;10;;2;691.08424737;08;1;6;2;24;8;2000;8;1;4;1;5;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;2;10;1;112;2;;1;2;1
20250417;04;2025;8173633;1;7;1;10;;2;691.08424737;08;1;4;2;17;7;2007;8;1;4;1;5;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;5;1;;1;;;;
20250417;04;2025;8173633;1;8;1;10;;2;691.08424737;08;1;4;1;16;5;2008;8;1;4;1;5;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;3;;;;;;
20250417;04;2025;8173633;1;9;1;10;;2;691.08424737;08;1;9;1;38;12;1986;3;1;1;1;2;1;;1;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
