PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20250417;04;2025;8173631;1;3;1;70;;2;444.98992841;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173633;1;1;1;70;;2;691.08424737;08;1;;;;;;;;;1;;60;2;4;4;1;2;2;;2;;.;5120;56;5619
20250417;04;2025;8173633;1;2;1;70;;2;691.08424737;08;1;;;;;;;;;1;;108;3;4;4;1;2;2;;2;;.;6111;01;0113
20250417;04;2025;8173633;1;6;1;70;;2;691.08424737;08;1;;;;;;;;;1;;12;2;2;3;1;2;2;;2;;.;5311;97;9700
20250417;04;2025;8173633;1;7;1;70;;2;691.08424737;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173633;1;8;1;70;;2;691.08424737;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173634;1;1;1;70;;2;306.54131565;08;1;;;;;;;;;1;;18;3;5;2;10;2;2;;2;;.;5153;85;8530
20250417;04;2025;8173635;1;5;1;70;;2;462.05877488;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173636;1;2;1;70;;2;370.10718405;08;;1;80;1;;;;48;1423500;1;;50;0;8;4;10;2;2;;2;;4110;4110;84;8412
20250417;04;2025;8173637;1;2;1;70;;2;190.47756702;08;1;;;;;;;;;1;;360;0;4;4;1;2;2;;2;;.;9411;56;5619
20250417;04;2025;8173637;1;3;1;70;;2;190.47756702;08;;1;8;4;;;;48;1300000;1;;2;0;8;4;2;2;2;;2;;9312;9312;41;4112
20250417;04;2025;8173638;1;3;1;70;;2;351.63125784;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173641;1;2;1;70;;2;250.04926055;08;1;;;;;;;;;1;;72;0;5;1;10;2;3;;2;;.;5311;85;8511
20250417;04;2025;8173642;1;1;1;70;;1;4122.4960817;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173642;1;4;1;70;;1;4122.4960817;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173643;1;2;1;70;;1;2199.4639557;08;1;;;;;2;5;;1423500;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173644;1;1;1;70;;1;2914.7970627;08;1;;;;;;;;;1;;18;0;8;3;1;2;2;;2;;.;9111;97;9700
20250417;04;2025;8173649;1;1;1;70;;1;1756.5219649;08;1;;;;;;;;;1;;55;0;4;7;2;2;2;;2;;.;9211;01;0121
20250417;04;2025;8173650;1;1;1;70;;1;2646.2858481;08;;1;12;4;;;;30;500000;1;;4;1;6;4;1;2;2;;2;;5221;3322;47;4792
20250417;04;2025;8173650;1;3;1;70;;1;2646.2858481;08;;1;16;1;;;;48;1423500;1;;4;2;1;1;10;2;2;;2;;5242;5242;47;4711
20250417;04;2025;8173650;1;4;1;70;;1;2646.2858481;08;;1;32;1;;;;48;1500000;2;;;;;;;;2;;2;;4311;;;
20250417;04;2025;8173651;1;1;1;70;;1;2199.4639557;08;1;;;;;2;5;;1000000;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173652;1;3;1;70;;1;1057.5800191;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173653;1;2;1;70;;1;877.52676383;70;1;;;;;;;;;1;;2;0;8;1;3;2;2;;2;;.;5120;56;5611
20250417;04;2025;8173653;1;3;1;70;;1;877.52676383;70;;1;12;1;;;;40;1423000;1;;3;0;6;4;2;2;2;;2;;7422;5132;56;5630
20250417;04;2025;8173653;1;4;1;70;;1;877.52676383;70;1;;;;;;;;;1;;36;0;4;4;1;2;2;;2;;.;9411;56;5619
20250417;04;2025;8173654;1;2;1;70;;1;745.94221852;70;1;;;;;1;;40;1423500;1;;120;0;3;3;1;2;2;;2;;.;9111;97;9700
20250417;04;2025;8173655;1;1;1;70;;1;449.94056275;70;1;;;;;;;;;1;;36;0;4;4;1;2;2;;2;;.;6111;01;0111
20250417;04;2025;8173656;1;1;1;70;;1;425.28471777;70;1;;;;;;;;;1;;36;0;4;4;1;2;2;;2;;.;9121;96;9601
20250417;04;2025;8173657;1;2;1;70;;1;1393.8920931;70;;1;12;3;;;;40;1000000;1;;7;0;8;3;1;2;2;;2;;9111;9111;97;9700
20250417;04;2025;8173657;1;4;1;70;;1;1393.8920931;70;;1;10;4;;;;45;900000;1;;3;0;4;4;2;2;2;;2;;9313;8350;93;9321
20250417;04;2025;8173657;1;5;1;70;;1;1393.8920931;70;;1;20;3;;;;44;800000;1;;12;0;8;3;1;2;2;;2;;9111;9111;97;9700
20250417;04;2025;8173658;1;1;1;70;;1;1433.792992;70;1;;;;;;;;;1;;120;0;6;1;2;2;2;;2;;.;9112;55;5514
20250417;04;2025;8173658;1;2;1;70;;1;1433.792992;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173658;1;3;1;70;;1;1433.792992;70;1;;;;;;;;;1;;36;0;4;4;1;2;2;;2;;.;9313;41;4111
20250417;04;2025;8173658;1;6;1;70;;1;1433.792992;70;1;;;;;;;;;1;;2;0;2;1;3;2;2;;2;;.;5131;56;5611
20250417;04;2025;8173659;1;2;1;70;;1;887.47333185;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173660;1;1;1;70;;1;449.94056275;70;1;;;;;;;;;1;;24;0;4;4;1;2;2;;2;;.;9212;01;0141
20250417;04;2025;8173660;1;2;1;70;;1;449.94056275;70;1;;;;;;;;;1;;240;0;4;4;1;2;2;;2;;.;9121;96;9601
20250417;04;2025;8173661;1;6;1;70;;1;1516.3709544;70;;1;9;4;;;;44;700000;1;;5;0;6;4;1;2;2;;2;;9313;9331;49;4921
20250417;04;2025;8173661;1;7;1;70;;1;1516.3709544;70;;1;12;1;;;;48;800000;1;;5;0;8;1;2;2;2;;2;;5221;5221;47;4711
20250417;04;2025;8173661;1;8;1;70;;1;1516.3709544;70;1;;;;;;;;;1;;8;0;8;4;1;2;2;;2;;.;9112;81;8121
20250417;04;2025;8173663;1;1;1;70;;1;449.94056275;70;1;;;;;;;;;1;;168;0;4;4;1;2;2;;2;;.;7522;31;3110
20250417;04;2025;8173663;1;2;1;70;;1;449.94056275;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173664;1;1;1;70;;1;1169.161355;70;1;;;;;;;;;1;;60;0;4;4;1;2;2;;2;;.;6111;01;0113
20250417;04;2025;8173664;1;3;1;70;;1;1169.161355;70;1;;;;;;;;;1;;23;0;8;1;10;2;2;;2;;.;5230;52;5221
20250417;04;2025;8173664;1;8;1;70;;1;1169.161355;70;1;;;;;;;;;1;;1;0;4;1;2;2;2;;2;;.;8157;96;9601
20250417;04;2025;8173666;1;2;1;70;;1;794.99316615;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173666;1;6;1;70;;1;794.99316615;70;1;;;;;1;;40;1423500;1;;36;0;6;1;3;2;2;;2;;.;5246;10;1081
20250417;04;2025;8173668;1;2;1;70;;1;537.91658817;70;;1;24;1;;;;30;2000000;1;;24;0;8;1;5;2;2;;2;;2341;2341;85;8530
20250417;04;2025;8173670;1;2;1;70;;1;617.02873802;70;1;;;;;;;;;1;;120;0;4;4;1;2;2;;2;;.;9111;81;8121
20250417;04;2025;8173671;1;2;1;70;;1;779.52709646;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173671;1;6;1;70;;1;779.52709646;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173672;1;1;1;70;;1;724.52863562;70;;1;2;2;;;;30;2500000;1;;108;0;3;1;5;2;2;;2;;2342;2342;85;8530
20250417;04;2025;8173673;1;2;1;70;;1;699.6577231;70;1;;;;;;;;;1;;24;0;3;1;9;2;2;;2;;.;5223;47;4719
20250417;04;2025;8173674;1;1;1;70;;1;420.907834;70;;1;12;1;;;;40;800000;1;;4;0;3;3;1;2;2;;2;;5131;9111;97;9700
20250417;04;2025;8173675;1;1;1;70;;1;1052.9238584;70;;1;12;1;;;;40;1423500;1;;3;0;3;3;1;2;2;;2;;3322;9111;97;9700
20250417;04;2025;8173676;1;1;1;70;;1;446.73668125;70;1;;;;;;;;;1;;48;0;3;1;3;2;2;;2;;.;9112;55;5511
20250417;04;2025;8173677;1;1;1;70;;1;709.85026965;70;;1;2;4;;;;20;1000000;1;;4;0;3;4;1;2;2;;2;;5142;5142;96;9602
20250417;04;2025;8173678;1;1;1;70;;1;694.59583382;70;1;;;;;;;;;1;;60;0;4;1;9;2;2;;2;;.;5311;88;8891
20250417;04;2025;8173678;1;3;1;70;;1;694.59583382;70;;1;8;1;;;;40;1423500;1;;3;0;8;1;9;2;2;;2;;5311;5311;88;8891
20250417;04;2025;8173679;1;1;1;70;;1;655.69251247;70;1;;;;;;;;;1;;36;0;3;3;1;2;2;;2;;.;5311;97;9700
20250417;04;2025;8173679;1;2;1;70;;1;655.69251247;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173680;1;1;1;70;;1;616.57181296;70;1;;;;;;;;;1;;36;0;5;1;9;2;3;;2;;.;8350;33;3315
20250417;04;2025;8173680;1;3;1;70;;1;616.57181296;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173681;1;2;1;70;;1;692.15338632;70;1;;;;;;;;;1;;180;0;6;3;1;2;2;;2;;.;9111;97;9700
20250417;04;2025;8173681;1;3;1;70;;1;692.15338632;70;1;;;;;;;;;1;;280;0;4;4;1;2;2;;2;;.;7512;56;5619
20250417;04;2025;8173682;1;2;1;70;;1;1023.1139974;70;;1;12;1;;;;40;3000000;1;;48;0;3;1;10;2;2;;2;;2269;2269;86;8610
20250417;04;2025;8173683;1;2;1;70;;1;1046.5451639;70;;1;16;1;;;;40;2000000;1;;5;0;8;1;2;2;2;;2;;3412;1411;55;5514
20250417;04;2025;8173683;1;4;1;70;;1;1046.5451639;70;1;;;;;;;;;1;;18;0;2;1;10;2;2;;2;;.;3322;61;6120
20250417;04;2025;8173683;1;7;1;70;;1;1046.5451639;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173684;1;1;1;70;;1;951.46326437;70;;1;12;1;;;;48;800000;1;;24;0;4;1;4;2;2;;2;;5223;5246;10;1081
20250417;04;2025;8173685;1;2;1;70;;1;796.75134193;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173685;1;3;1;70;;1;796.75134193;70;;1;12;1;;;;40;3000000;1;;12;0;8;2;8;2;2;;2;;4110;4110;86;8610
20250417;04;2025;8173686;1;1;1;70;;2;548.91502674;70;1;;;;;;;;;1;;72;0;4;4;1;2;2;;2;;.;1311;01;0141
20250417;04;2025;8173686;1;3;1;70;;2;548.91502674;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173687;1;2;1;70;;2;805.19410821;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173689;1;1;1;70;;1;564.4281982;70;1;;;;;;;;;1;;120;0;6;1;3;2;2;;2;;.;9112;55;5511
20250417;04;2025;8173689;1;3;1;70;;1;564.4281982;70;1;;;;;;;;;1;;48;0;1;1;2;2;2;;2;;.;5223;47;4711
20250417;04;2025;8173690;1;2;1;70;;1;542.26666291;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173693;1;2;1;70;;2;1155.7236735;70;1;;;;;;;;;1;;36;0;2;3;2;2;2;;2;;.;9111;97;9700
20250417;04;2025;8173694;1;2;1;70;;1;413.83003982;70;;1;12;1;;;;48;1423500;2;;;;;;;;2;;2;;3257;;;
20250417;04;2025;8173696;1;1;1;70;;1;316.25608759;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173697;1;2;1;70;;2;805.19410821;70;1;;;;;;;;;1;;360;0;3;3;1;2;2;;2;;.;9111;97;9700
20250417;04;2025;8173699;1;2;1;70;;2;1225.6482673;70;1;;;;;2;5;;300000;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173699;1;4;1;70;;2;1225.6482673;70;1;;;;;1;;48;700000;2;;;;;;;;2;;2;;.;.;;.
20250417;04;2025;8173700;1;1;1;70;;1;490.09113299;70;;1;10;4;;;;48;1423500;1;;12;0;6;1;2;2;2;;2;;8323;1439;52;5221
20250417;04;2025;8173703;1;1;1;70;;1;330.51112287;70;;1;10;1;;;;44;800000;1;;6;0;8;1;3;2;2;;2;;5120;5120;56;5611
20250417;04;2025;8173703;1;3;1;70;;1;330.51112287;70;1;;;;;;;;;1;;240;0;4;3;1;2;2;;2;;.;9111;97;9700
20250417;04;2025;8173703;1;4;1;70;;1;330.51112287;70;1;;;;;;;;;1;;60;0;4;4;1;2;2;;2;;.;9331;49;4921
