PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4005;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S8A1;P5222S9;P5222S10;P5222S11;P6008
20250835;08;2025;8316823;1;1;01;;2;21.338782805;08;1;1;4;1;0;2;2;2;;2;1;3;1;2;1;4;2;3;4;1;;;50000000;200000;;;1;;;;;;;;;;1;2
20250835;08;2025;8316824;1;1;01;;2;21.317266121;08;1;1;2;1;0;2;2;2;;2;1;2;1;2;1;4;2;1;4;4;;;;350000;;;1;;;;;;;;;;1;2
20250835;08;2025;8316825;1;1;01;;2;39.311306212;08;1;1;2;1;0;2;2;2;;2;1;4;3;2;1;4;2;1;1;1;;;40000000;300000;;;;;;;;;;;;;1;4
20250835;08;2025;8316826;1;1;01;;2;36.719855013;08;1;1;2;1;0;2;2;2;;2;1;3;2;2;1;4;2;5;5;3;;;;;300000;;1;1;;;;;;;;;1;3
20250835;08;2025;8316827;1;1;01;;2;34.77669391;08;1;1;2;1;0;2;2;2;;2;1;4;2;2;1;4;2;1;4;4;;;;250000;;;;;;;;;;;;;1;4
20250835;08;2025;8316828;1;1;01;;2;26.570787004;08;1;1;2;1;0;2;2;2;;2;1;4;2;2;1;4;2;3;4;1;;;40000000;300000;;;1;;;;;;;;;;1;4
20250835;08;2025;8316829;1;1;01;;2;33.776833913;08;1;1;2;1;0;2;2;2;;2;1;1;1;2;1;4;2;2;1;1;;;40000000;300000;;;;;;;;;;;;;1;5
20250835;08;2025;8316830;1;1;01;;2;42.024975535;08;1;1;4;1;0;2;2;2;;2;1;3;2;2;1;4;2;3;4;3;;;;;350000;;;;;;;;;;;;1;3
20250835;08;2025;8316831;1;1;01;;2;35.570846615;08;1;1;4;1;0;2;2;2;;2;1;3;2;2;1;4;2;1;4;1;;;50000000;400000;;;;;;;;;;;;;1;4
20250835;08;2025;8316832;1;1;01;;2;34.982401203;08;1;1;2;1;0;2;2;2;;2;1;3;1;2;1;4;2;4;4;1;;;45000000;350000;;;1;;;;;;;;;;1;3
20250835;08;2025;8316833;1;1;01;;1;329.62732105;44;1;1;2;1;2;1;1;1;1;1;1;3;2;1;1;1;10;1;3;3;;;;;400000;;;;;;;;;;;;1;6
20250835;08;2025;8316834;1;1;01;;1;242.3817728;44;1;1;2;1;2;1;1;1;1;1;1;3;1;1;2;1;10;1;3;3;;;;;200000;;;;;;;;;;1;;;2
20250835;08;2025;8316835;1;1;01;;1;291.43777614;44;3;1;2;1;2;2;1;1;1;1;1;1;1;1;2;1;10;2;4;3;;;;;200000;;;;;;;;;;;;1;3
