PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20250835;08;2025;8316823;1;2;1;70;;2;21.338782805;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250835;08;2025;8316825;1;2;1;70;;2;39.311306212;08;1;;;;;1;;36;1423000;1;;6;0;4;3;2;2;2;;2;;.;9111;97;9700
20250835;08;2025;8316826;1;2;1;70;;2;36.719855013;08;;1;52;1;;;;47;1423500;1;;52;1;6;1;9;2;2;;2;;5321;5321;86;8621
20250835;08;2025;8316827;1;2;1;70;;2;34.77669391;08;1;;;;;;;;;1;;72;3;3;3;1;2;2;;2;;.;9111;97;9700
20250835;08;2025;8316828;1;3;1;70;;2;26.570787004;08;1;;;;;;;;;1;;196;1;4;1;4;2;2;;2;;.;5131;56;5611
20250835;08;2025;8316828;1;4;1;70;;2;26.570787004;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250835;08;2025;8316830;1;2;1;70;;2;42.024975535;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250835;08;2025;8316830;1;3;1;70;;2;42.024975535;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250835;08;2025;8316831;1;2;1;70;;2;35.570846615;08;1;;;;;1;;48;1423000;1;;14;0;9;3;2;2;2;;2;;.;9111;97;9700
20250835;08;2025;8316832;1;1;1;70;;2;34.982401203;08;1;;;;;1;;24;600000;1;;3;2;8;4;1;2;2;;2;;.;9111;81;8121
20250835;08;2025;8316834;1;1;1;70;;1;242.3817728;44;1;;;;;;;;;1;;3;5;4;3;1;2;2;;2;;.;9111;97;9700
20250835;08;2025;8316835;1;1;1;70;;1;291.43777614;44;;1;1;1;;;;40;800000;1;;2;5;6;1;2;2;2;;2;;5142;5142;96;9602
20250835;08;2025;8316836;1;1;1;70;;1;223.30584676;44;;1;4;1;;;;40;1423500;1;;4;4;8;4;5;2;2;;2;;5321;5223;10;1081
20250835;08;2025;8316837;1;5;1;70;;1;243.89702588;44;1;;;;;;;;;1;;120;4;4;4;4;2;2;;2;;.;5120;56;5611
20250835;08;2025;8316837;1;6;1;70;;1;243.89702588;44;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250835;08;2025;8316839;1;2;1;70;;1;342.02021762;44;1;;;;;;;;;1;;60;5;4;4;1;2;2;;2;;.;5212;56;5619
20250835;08;2025;8316840;1;2;1;70;;1;249.89559881;44;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250835;08;2025;8316841;1;1;1;70;;1;273.92598107;44;1;;;;;;;;;1;;84;5;4;4;1;2;2;;2;;.;5223;03;0312
20250835;08;2025;8316843;1;5;1;70;;2;375.11918324;70;1;;;;;;;;;1;;2;0;3;3;1;2;2;;2;;.;9111;97;9700
20250835;08;2025;8316844;1;2;1;70;;2;384.34419636;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250835;08;2025;8316846;1;2;1;70;;2;452.24559746;70;1;;;;;2;5;;500000;1;;10;0;4;3;1;2;2;;2;;.;9111;97;9700
20250835;08;2025;8316847;1;2;1;70;;2;242.81249538;70;;1;3;1;;;;48;1300000;1;;1;0;1;1;5;2;2;;1;1300000;5414;5414;56;5611
20250835;08;2025;8316848;1;1;1;70;;2;616.61191387;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250835;08;2025;8316848;1;2;1;70;;2;616.61191387;70;;1;12;1;;;;44;1423500;1;;12;0;8;1;10;2;2;;2;;5223;8153;14;1410
20250835;08;2025;8316848;1;3;1;70;;2;616.61191387;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250835;08;2025;8316848;1;5;1;70;;2;616.61191387;70;1;;;;;;;;;1;;36;0;3;4;1;2;2;;2;;.;9111;81;8121
20250835;08;2025;8316849;1;1;1;70;;2;242.81249538;70;1;;;;;;;;;1;;240;0;4;4;1;2;2;;2;;.;9111;81;8121
20250835;08;2025;8316850;1;1;1;70;;2;606.0512677;70;1;;;;;;;;;1;;24;0;7;4;1;2;2;;2;;.;6111;01;0113
20250835;08;2025;8316850;1;2;1;70;;2;606.0512677;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250835;08;2025;8316854;1;2;1;70;;2;426.86923191;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250835;08;2025;8316855;1;1;1;70;;2;457.27821513;70;1;;;;;;;;;1;;18;0;8;1;3;2;2;;2;;.;5223;47;4771
20250835;08;2025;8316856;1;3;1;70;;2;500.84019699;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250835;08;2025;8316857;1;2;1;70;;2;452.24559746;70;;1;8;4;;;;25;400000;1;;3;0;8;3;1;2;2;;2;;9111;9111;97;9700
20250835;08;2025;8316859;1;3;1;70;;2;612.65474026;70;1;;;;;;;;;1;;6;0;2;3;1;2;2;;2;;.;9111;97;9700
20250835;08;2025;8316859;1;4;1;70;;2;612.65474026;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250835;08;2025;8316860;1;1;1;70;;2;452.52852001;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250835;08;2025;8316860;1;2;1;70;;2;452.52852001;70;1;;;;;;;;;1;;56;0;8;1;10;2;2;;2;;.;5321;86;8610
20250835;08;2025;8316861;1;1;1;70;;2;444.97983525;70;1;;;;;;;;;1;;360;0;4;3;1;2;2;;2;;.;9111;97;9700
20250835;08;2025;8316863;1;1;1;70;;2;449.54075542;70;1;;;;;2;5;;400000;2;;;;;;;;2;;2;;.;.;;.
