PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4005;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S8A1;P5222S9;P5222S10;P5222S11;P6008
20250105;01;2025;8086872;1;1;01;;2;2184.7522833;13;1;1;2;1;2;1;2;1;2;1;1;3;2;2;1;1;8;3;4;1;;;99;350000;;;;;;;;;;;;;1;1
20250105;01;2025;8086874;1;1;01;;2;1208.4902112;13;2;1;2;1;2;2;2;1;2;1;1;3;2;2;2;1;8;5;4;4;;;;200000;;;1;;;;;;;;;;1;3
20250105;01;2025;8086875;1;1;01;;2;2104.1139054;13;1;1;4;1;2;2;2;1;2;1;1;4;1;2;1;1;9;1;4;1;;;1500000;300000;;1;1;;;;;;;;;;1;1
20250105;01;2025;8086876;1;1;01;;2;2420.0649222;13;1;1;4;1;2;2;2;1;2;1;1;4;3;2;2;1;9;1;4;1;;;100000000;300000;;;1;;;;;;;;;;1;3
20250105;01;2025;8086877;1;1;01;;2;2507.271381;13;1;1;4;1;2;2;2;1;2;1;1;3;2;2;1;1;9;3;4;1;;;30000000;300000;;;;;;;;;;;;;1;3
20250105;01;2025;8086878;1;1;01;;2;2370.2804669;13;1;1;2;1;2;2;2;1;2;1;1;3;2;2;1;1;8;4;4;7;FAMILIAR;;;250000;;;;;;;;;;;;;1;4
20250105;01;2025;8086879;1;1;01;;2;1262.2622161;13;1;1;2;1;2;2;2;1;2;1;1;3;2;2;1;1;8;5;4;4;;;;350000;;;;;;;;;;;;;1;3
20250105;01;2025;8086881;1;1;01;;2;1368.1188784;13;1;1;4;1;2;2;2;1;2;1;1;3;1;2;1;1;9;1;4;3;;;;;350000;;;;;;;;;;1;;;2
20250105;01;2025;8086882;1;1;01;;2;175.89013714;13;1;5;2;1;0;2;2;2;;2;1;3;1;2;1;4;9;4;4;5;;;;200000;;;;;;;;;;;1;;;2
20250105;01;2025;8086883;1;1;01;;2;175.89013714;13;1;1;4;1;0;2;2;2;;2;1;3;1;2;1;4;8;1;5;5;;;;80000;;;;;;;;;;;1;;;2
