PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20250209;02;2025;8115690;1;1;1;10;;2;365.81735873;68;1;1;1;77;4;1947;1;3;;3;;1;;1;6;;;3;1;2;1;3;;;2;4;3;4;4;4;4;4;1;2;;3;3;;;;2;1;1
20250209;02;2025;8115690;1;2;1;10;;2;365.81735873;68;1;2;2;74;3;1950;2;3;;3;;1;;1;6;;;3;1;1;1;3;;;3;4;3;4;4;4;4;4;1;2;;3;4;;;;1;2;1
20250209;02;2025;8115691;1;1;1;10;;2;988.11422659;68;1;1;2;36;6;1988;1;2;;2;;2;2;2;6;;;3;1;2;1;1;5;;4;4;4;4;4;4;4;4;1;2;;8;4;119;5;119;1;2;1
20250209;02;2025;8115691;1;2;1;10;;2;988.11422659;68;1;2;1;40;5;1984;2;2;;2;;2;2;2;6;;;3;1;1;1;1;1;64000;4;4;4;4;4;4;4;4;1;2;;8;4;714;5;714;2;1;1
20250209;02;2025;8115691;1;3;1;10;;2;988.11422659;68;1;1;1;11;3;2013;3;1;1;1;2;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;1;;;;;;
20250209;02;2025;8115693;1;1;1;10;;2;658.365741;68;1;1;2;31;8;1993;1;2;;2;;1;;1;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250209;02;2025;8115693;1;2;1;10;;2;658.365741;68;1;1;1;13;5;2011;3;1;1;2;;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;3;;;;;;
20250209;02;2025;8115693;1;3;1;10;;2;658.365741;68;1;1;1;7;4;2017;3;1;1;2;;1;;1;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;2;;;;;;
20250209;02;2025;8115693;1;4;1;10;;2;658.365741;68;1;1;2;4;5;2020;3;1;1;2;;1;;1;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;;;
20250209;02;2025;8115694;1;1;1;10;;2;792.03962562;68;1;1;2;65;2;1960;1;3;;3;;1;;1;6;;;6;;;1;1;2;57000;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20250209;02;2025;8115694;1;2;1;10;;2;792.03962562;68;1;2;2;63;10;1961;6;3;;3;;1;;1;6;;;6;;;1;3;;;4;4;3;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20250209;02;2025;8115695;1;1;1;10;;2;758.41357702;68;1;1;1;52;6;1972;1;2;;3;;2;2;2;6;;;3;1;2;1;1;1;128000;4;4;4;4;4;4;4;4;1;2;;8;4;713;5;713;2;1;1
