PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20250209;02;2025;8115690;1;1;1;70;;2;365.81735873;68;1;;;;;;;;;1;;48;0;4;4;1;2;2;;2;;.;6222;03;0312
20250209;02;2025;8115690;1;2;1;70;;2;365.81735873;68;1;;;;;;;;;1;;36;0;3;5;2;2;2;;2;;.;5120;56;5611
20250209;02;2025;8115691;1;1;1;70;;2;988.11422659;68;;1;4;4;;;;48;1500000;1;;144;0;3;1;4;2;2;;2;;1420;2342;85;8530
20250209;02;2025;8115694;1;1;1;70;;2;792.03962562;68;1;;;;;;;;;1;;1;1;7;1;3;2;3;;2;;.;8153;14;1410
20250209;02;2025;8115694;1;2;1;70;;2;792.03962562;68;1;;;;;;;;;1;;150;0;4;4;1;2;2;;2;;.;9111;81;8121
20250209;02;2025;8115695;1;4;1;70;;2;758.41357702;68;1;;;;;;;;;1;;4;0;4;1;2;2;2;;2;;.;4311;69;6920
20250209;02;2025;8115696;1;2;1;70;;2;476.99411853;68;;1;12;1;;;;48;2000000;1;;4;4;8;1;10;2;2;;2;;5414;5414;86;8621
20250209;02;2025;8115697;1;2;1;70;;2;227.46345789;68;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250209;02;2025;8115699;1;1;1;70;;2;227.46345789;68;1;;;;;;;;;1;;180;5;3;3;1;2;2;;2;;.;9111;97;9700
20250209;02;2025;8115699;1;2;1;70;;2;227.46345789;68;1;;;;;;;;;1;;56;5;4;7;2;2;2;;2;;.;9212;01;0141
20250209;02;2025;8115699;1;3;1;70;;2;227.46345789;68;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
