PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3052;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P3071S3;P3072S2;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1881S1;P1882;P7240;P7240S1;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20250209;02;2025;8115691;1;2;1;60;;2;988.11422659;68;1;9491;1;2;2;12;1;;1;;2;2;1;1;216;1;;1;1;1;1;1;2;1600000;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;1;52000;2;2;;;2;;;2;;;1;1420000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;7;;1;;1;1;1;12;1;1;1;0;36;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;60;2;;1;1600000;94;9491;3114
20250209;02;2025;8115693;1;1;1;60;;2;658.365741;68;1;9700;1;1;;;1;;1;;2;2;2;2;24;3;;2;2;2;2;1;2;1250000;2;;2;;;1;250000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;1;2;;2;;2;;;;2;2;1;2;4;4;;8;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;12;;15;5;;1;1500000;97;9700;9111
20250209;02;2025;8115695;1;1;1;60;;2;758.41357702;68;1;4321;1;2;2;12;1;;1;;2;2;1;1;14;1;;1;1;1;1;1;2;3200000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;3080000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;7;9;;1;;1;1;1;16;1;1;1;0;72;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;8;;20;2;;1;3200000;43;4321;3113
20250209;02;2025;8115695;1;2;1;60;;2;758.41357702;68;1;8530;1;2;2;10;1;;1;;2;2;1;2;10;1;;1;1;1;1;1;2;1423500;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;2;;;2;;;2;;;2;;;1;980000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;9;7;;1;;1;1;1;9;1;1;1;2;10;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;;60;2;;1;1423500;85;8530;1412
20250209;02;2025;8115695;1;3;1;60;;2;758.41357702;68;1;4759;1;2;2;12;1;;1;;2;2;1;2;4;1;;1;1;1;1;1;2;1423500;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;4;7;;1;;1;1;1;3;1;1;1;0;12;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;;20;2;;1;1423500;47;4759;4311
20250209;02;2025;8115696;1;1;1;60;;2;476.99411853;68;1;610;1;2;2;6;2;1;1;7810;1;2;1;2;3;1;;1;1;1;1;1;2;2000000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;1000000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;10;7;;1;;1;1;1;6;1;1;1;0;24;1;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;10;4;;1;2000000;06;0610;9311
20250209;02;2025;8115697;1;1;1;60;;2;227.46345789;68;1;311;2;;;;;;;;;;;;240;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;900000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;900000;1;10000000;3;;10;1;12;36;2;;36;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;15;8;;1;900000;03;0311;6222
20250209;02;2025;8115701;1;1;1;60;;2;365.81735873;68;1;311;2;;;;;;;;;;;;480;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;800000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;800000;1;9600000;3;;9;2;12;36;2;;36;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;20;3;;1;800000;03;0311;6222
20250209;02;2025;8115703;1;2;1;60;;2;764.99665275;68;1;4723;1;2;1;;1;;1;;1;1;1;1;160;1;;1;1;1;1;2;2;1600000;2;;2;;;2;;2;;2;;2;;2;;;1;160000;1;2;;;2;;;2;;;2;;;1;1300000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;7;;1;;1;2;1;16;1;1;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;2;11;;20;2;;1;1600000;47;4723;5223
20250209;02;2025;8115705;1;1;1;60;;2;487.15378936;68;1;121;1;1;;;1;;1;;2;2;2;2;36;7;;2;2;2;2;1;2;1100000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;3;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;2;2;3;;20;5;;1;1100000;01;0121;9211
20250209;02;2025;8115706;1;1;1;60;;2;746.3381978;68;1;121;1;1;;;1;;1;;2;2;2;2;14;1;;2;2;2;2;1;2;1500000;2;;2;;;2;;1;400000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;2;8;;2;;2;;;;2;2;1;0;36;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;5;2;;1;1900000;01;0121;1311
20250209;02;2025;8115707;1;1;1;60;;2;457.00616243;68;1;161;2;;;;;;;;;;;;12;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;3;3;3;6;;;1000000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1000000;1;12000000;3;;1;1;12;40;;;40;;;1;8;;2;;2;;;;2;2;1;0;1;1;;1;;2;;;;;;;;2;;;;1;1;1;2;1;2;2;1;1;2;;2;1;1;2;1;2;1;1;3;;15;2;;1;1000000;01;0161;9211
20250209;02;2025;8115708;1;1;1;60;;2;964.0138796;68;1;6201;1;2;2;12;1;;1;;2;2;1;1;39;1;;1;1;1;1;1;2;1423500;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;1;50000;2;2;;;2;;;2;;;1;1300000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;7;7;;1;;1;2;1;19;1;1;1;0;22;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;3;2;;1;1423500;62;6201;9112
20250209;02;2025;8115709;1;2;1;60;;2;1483.6144137;68;1;4771;2;;;;;;;;;;;;120;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;1;2200000;1;0;1000000;0;0;0;;;;;;;;;;;;;;;;;;2;;;2;;1200000;1;1200000;3;;3;2;12;48;;;48;;;1;1;;1;;2;;;;2;9;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;;2;;1;1200000;47;4771;5221
20250209;02;2025;8115709;1;3;1;60;;2;1483.6144137;68;1;5224;2;;;;;;;;;;;;140;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;3;1;1;6;;;1000000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1000000;1;12000000;3;;1;1;12;35;1;;35;;;1;6;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;11;;20;2;;1;1000000;52;5224;9333
20250209;02;2025;8115711;1;1;1;60;;2;1609.8813971;68;1;5619;2;;;;;;;;;;;;48;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;700000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;500000;1;6000000;3;;1;2;12;16;2;;18;;;1;1;;2;;2;;;;2;2;1;0;36;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;;2;;1;500000;56;5619;9411
