PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4005;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S8A1;P5222S9;P5222S10;P5222S11;P6008
20250731;07;2025;8283143;1;1;01;;2;27.752874284;08;1;5;1;1;1;2;2;2;;2;1;2;1;6;;4;6;5;5;4;;;;200000;;;;;;;;;;;1;;;2
20250731;07;2025;8283145;1;1;01;;2;59.11013206;08;1;2;1;1;1;2;2;2;;2;1;3;2;6;;4;6;5;5;4;;;;100000;;;;;;;;;;;1;;;4
20250731;07;2025;8283147;1;1;01;;2;57.990161862;08;1;1;2;1;1;2;2;2;;2;1;6;5;2;1;4;6;1;1;1;;;30000000;200000;;;;;;;;;;;;;1;7
20250731;07;2025;8283149;1;1;01;;2;45.273065619;08;1;1;2;1;1;2;2;2;;2;1;2;1;2;1;4;9;5;5;4;;;;150000;;;;;;;;;;;1;;;2
20250731;07;2025;8283151;1;1;01;;2;41.370225176;08;1;1;1;1;1;2;2;2;;2;1;4;3;6;;4;6;5;5;5;;;;60000;;;1;;;;;;;;;;1;5
20250731;07;2025;8283153;1;1;01;;2;42.3936339;08;1;5;1;1;1;2;2;2;;2;1;3;2;6;;4;6;1;1;4;;;;300000;;;;;;;;;;;;;1;4
20250731;07;2025;8283155;1;1;01;;2;44.129039802;08;1;1;2;1;1;2;2;2;;2;1;3;2;6;;4;6;5;5;1;;;20000000;200000;;;1;;;;;;;;;;1;4
20250731;07;2025;8283157;1;1;01;;2;539.16872392;08;1;1;2;1;1;2;2;1;3;1;1;4;3;2;1;1;1;1;1;5;;;;600000;;;;;;;;;;;1;;;7
20250731;07;2025;8283159;1;1;01;;2;413.55172829;08;1;1;2;1;1;1;2;1;3;1;1;3;2;2;1;1;1;1;3;1;;;70000000;500000;;;1;;;;;;;;;;1;3
20250731;07;2025;8283161;1;1;01;;2;299.76143949;08;1;1;2;1;1;1;2;1;3;1;1;4;3;2;1;1;1;2;3;5;;;;400000;;;;;;;;;;;;;1;3
20250731;07;2025;8283163;1;1;01;;2;496.46970862;08;1;1;2;1;1;1;2;1;3;1;1;3;2;2;1;1;1;3;3;5;;;;450000;;;1;;;;;;;;;;;4
20250731;07;2025;8283165;1;1;01;;2;301.38252512;08;1;1;2;1;1;1;2;1;3;1;1;3;2;2;1;1;1;1;3;4;;;;300000;;;;;;;;;;;;;1;3
20250731;07;2025;8283167;1;1;01;;2;295.85069729;08;1;1;2;1;1;1;2;1;3;1;1;2;1;2;1;1;1;5;3;4;;;;300000;;;;;;;;;;;1;;;1
20250731;07;2025;8283169;1;1;01;;2;472.71483005;08;1;1;2;1;1;1;2;1;3;1;1;4;3;2;1;1;1;1;3;5;;;;450000;;;;;;;;;;;;;1;3
20250731;07;2025;8283171;1;1;01;;2;507.13921189;08;1;1;2;1;1;1;2;1;3;1;1;3;2;2;1;1;1;1;3;5;;;;500000;;;;;;;;;;;;;1;4
20250731;07;2025;8283173;1;1;01;;2;316.50404163;08;1;1;4;1;1;1;2;1;3;1;1;3;2;2;1;1;1;1;3;1;;;60000000;500000;;;1;;;;;;;;;;1;7
20250731;07;2025;8283175;1;1;01;;2;217.11409468;08;1;1;2;1;1;1;2;1;3;1;1;4;2;2;1;1;1;1;3;5;;;;500000;;;;;;;;;;;;;1;3
20250731;07;2025;8283177;1;1;01;;1;309.31852241;63;3;1;4;1;3;1;1;1;3;1;1;1;1;1;2;1;1;1;3;3;;;;;1200000;;1;;;;;;;;;;;1
20250731;07;2025;8283181;1;1;01;;1;309.31852241;63;2;1;2;1;3;1;1;1;3;1;1;2;1;1;1;1;1;1;3;6;;;;500000;;;1;;;;;;;;;;1;1
20250731;07;2025;8283183;1;1;01;;1;619.41578169;63;2;1;4;1;3;1;1;1;3;1;1;4;2;1;1;1;1;1;3;1;;;250000000;600000;;;1;;;;;;;;;;1;3
20250731;07;2025;8283185;1;1;01;;1;1227.4713042;63;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;750000;;;;;;;;;;;;1;4
20250731;07;2025;8283187;1;1;01;;1;378.05597184;63;2;1;4;1;2;1;1;1;3;1;1;3;1;1;1;1;1;1;3;6;;;;500000;;;;;;;;;;;;;1;1
20250731;07;2025;8283189;1;1;01;;1;531.62991951;63;1;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;4;;;;400000;;;;;;;;;;;;;1;2
20250731;07;2025;8283191;1;1;01;;1;882.93615186;63;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;450000;;1;;;;;;;;;;1;3
20250731;07;2025;8283193;1;1;01;;1;794.92892821;63;1;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;400000;;;;;;;;;;;;1;3
20250731;07;2025;8283195;1;1;01;;1;1091.6881257;63;1;1;4;1;2;2;1;1;2;1;1;4;3;1;1;1;1;1;4;1;;;80000000;450000;;;;;;;;;;;;;1;4
20250731;07;2025;8283197;1;1;01;;1;606.18488877;63;1;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;400000;;;;;;;;;;;;1;2
20250731;07;2025;8283199;1;1;01;;1;548.31175931;63;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;350000;;;;;;;;;;;;1;2
20250731;07;2025;8283201;1;1;01;;1;667.44436865;63;1;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;1;;;50000000;700000;;;;;;;;;;;;;1;2
20250731;07;2025;8283203;1;1;01;;1;453.15448246;66;1;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;500000;;1;;;;;;;;;;1;3
20250731;07;2025;8283205;1;1;01;;1;445.85849944;66;1;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;1;;;120000000;600000;;;1;;;;;;;;;;1;4
20250731;07;2025;8283207;1;1;01;;1;269.0573409;66;1;1;2;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;;3
20250731;07;2025;8283209;1;1;01;;1;302.36982912;66;1;1;4;1;2;1;1;1;2;1;1;5;3;1;1;1;1;1;3;1;;;100000000;650000;;;1;;;;;;;;;;;4
20250731;07;2025;8283211;1;1;01;;1;217.21136589;66;1;1;4;1;2;1;1;1;2;1;1;4;2;1;1;1;1;1;3;1;;;95000000;500000;;;1;;;;;;;;;;;2
20250731;07;2025;8283213;1;1;01;;1;360.57624615;66;1;1;4;1;3;1;1;1;2;1;1;5;3;1;1;1;1;1;3;3;;;;;430000;;1;;;;;;;;;;1;4
20250731;07;2025;8283215;1;1;01;;1;356.3859454;66;1;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;500000;;1;;;;;;;;;;;2
20250731;07;2025;8283217;1;1;01;;1;197.37937108;66;1;1;4;1;3;1;1;1;2;1;1;3;1;1;1;1;1;1;3;4;;;;550000;;;1;;;;;;;;;;;1
20250731;07;2025;8283219;1;1;01;;1;505.79690267;66;1;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;1;;;80000000;500000;;;1;;;;;;;;;;1;6
20250731;07;2025;8283221;1;1;01;;1;325.88923988;66;1;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;1;;;110000000;600000;;;1;;;;;;;;;;;5
20250731;07;2025;8283223;1;1;01;;1;368.83022215;66;1;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;4;;;;500000;;;1;;;;;;;;;;;4
20250731;07;2025;8283225;1;1;01;;1;370.00753429;66;2;1;4;1;3;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;540000;;1;;;;;;;;;;;5
20250731;07;2025;8283227;1;1;01;;1;509.87077106;66;1;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;1;;;130000000;600000;;;;;;;;;;;1;;;4
20250731;07;2025;8283229;1;1;01;;1;320.22248108;66;2;1;4;1;2;1;1;1;2;1;1;3;3;1;1;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;;3
20250731;07;2025;8283231;1;1;01;;1;458.02479605;66;2;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;700000;;1;;;;;;;;;;;3
20250731;07;2025;8283233;1;1;01;;1;403.71539391;66;2;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;500000;;1;;;;;;;;;;1;2
20250731;07;2025;8283235;1;1;01;;1;211.36475436;66;1;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;1;;;80000000;500000;;;1;;;;;;;;;;;2
20250731;07;2025;8283237;1;1;01;;1;616.93963533;66;1;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;500000;;;;;;;;;;;;1;4
20250731;07;2025;8283239;1;1;01;;1;224.60008592;66;2;1;4;1;2;1;1;1;2;1;1;4;2;1;1;1;1;1;3;4;;;;500000;;;1;;;;;;;;;;1;3
20250731;07;2025;8283241;1;1;01;;1;201.86526588;66;1;1;4;1;2;1;1;1;2;1;1;4;1;1;1;1;1;1;3;1;;;120000000;700000;;;1;;;;;;;;;;;1
20250731;07;2025;8283243;1;1;01;;1;211.36475436;66;1;1;4;1;2;1;1;1;2;1;1;4;1;1;1;1;1;1;3;1;;;150000000;600000;;;1;;;;;;;;;;;2
20250731;07;2025;8283245;1;1;01;;1;341.33500537;66;1;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;350000;;;;;;;;;;1;;;4
