PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20250731;07;2025;8283143;1;2;1;70;;2;27.752874284;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283145;1;2;1;70;;2;59.11013206;08;1;;;;;1;;40;600000;1;;64;1;6;3;1;2;2;;2;;.;9111;97;9700
20250731;07;2025;8283147;1;2;1;70;;2;57.990161862;08;1;;;;;;;;;1;;36;2;3;3;1;2;2;;2;;.;9111;97;9700
20250731;07;2025;8283147;1;4;1;70;;2;57.990161862;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283149;1;2;1;70;;2;45.273065619;08;1;;;;;1;;32;600000;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283151;1;4;1;70;;2;41.370225176;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283153;1;2;1;70;;2;42.3936339;08;1;;;;;;;;;1;;48;2;3;1;3;2;2;;2;;.;5223;47;4711
20250731;07;2025;8283155;1;2;1;70;;2;44.129039802;08;1;;;;;;;;;1;;36;2;3;3;1;2;2;;2;;.;9111;97;9700
20250731;07;2025;8283155;1;3;1;70;;2;44.129039802;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283157;1;1;1;70;;2;539.16872392;08;1;;;;;2;5;;1423500;1;;2;0;2;1;7;2;2;;2;;.;9313;41;4111
20250731;07;2025;8283157;1;5;1;70;;2;539.16872392;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283159;1;2;1;70;;2;413.55172829;08;1;;;;;;;;;1;;180;1;3;3;1;2;2;;2;;.;9111;97;9700
20250731;07;2025;8283161;1;1;1;70;;2;299.76143949;08;1;;;;;;;;;1;;180;0;3;3;1;2;2;;2;;.;9111;97;9700
20250731;07;2025;8283161;1;3;1;70;;2;299.76143949;08;1;;;;;2;5;;1400000;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283163;1;3;1;70;;2;496.46970862;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283165;1;1;1;70;;2;301.38252512;08;1;;;;;;;;;1;;180;1;1;4;1;2;2;;2;;.;8342;43;4390
