PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3052;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P3071S3;P3072S2;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1881S1;P1882;P7240;P7240S1;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20250731;07;2025;8283143;1;1;1;60;;2;27.752874284;08;1;143;1;1;;;1;;1;;2;2;2;2;84;7;;2;2;2;2;1;2;590000;2;;2;;;2;;1;200000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;40;;;2;8;;2;;2;;;;2;2;1;0;3;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;10;3;;1;790000;01;0143;9212
20250731;07;2025;8283145;1;1;1;60;;2;59.11013206;08;1;141;1;1;;;1;;1;;2;2;2;2;48;1;;2;2;2;2;1;2;1000000;2;;2;;;2;;1;100000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;70;;;70;;;2;8;;2;;2;;;;2;2;1;1;36;7;;7;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;;4;8;;1;1100000;01;0141;1311
20250731;07;2025;8283145;1;3;1;60;;2;59.11013206;08;1;141;1;1;;;1;;1;;2;2;2;2;48;7;;2;2;2;2;1;2;720000;2;;2;;;2;;1;100000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;2;8;;2;;2;;;;2;2;1;1;18;7;;8;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;;3;3;;1;820000;01;0141;9212
20250731;07;2025;8283145;1;4;1;60;;2;59.11013206;08;1;161;2;;;;;;;;;;;;24;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;600000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;600000;1;7200000;3;;10;2;12;42;;;42;;;1;8;;2;;2;;;;2;2;1;0;6;7;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;;5;3;;1;600000;01;0161;9211
20250731;07;2025;8283147;1;1;1;60;;2;57.990161862;08;1;5022;1;2;2;12;1;;1;;1;2;1;1;6;1;;1;1;1;1;1;2;1423500;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;2;;;2;;;2;;;2;;;1;800000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;10;7;;1;;1;1;1;3;1;1;1;0;84;4;;3;;1;20;1412;5630;5;1200000;2;7;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;5;1;;1;2623500;50;5022;9122
20250731;07;2025;8283147;1;5;1;60;;2;57.990161862;08;1;5022;1;2;1;;1;;1;;1;2;1;1;24;1;;1;1;1;1;1;2;1423500;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;2;;;2;;;2;;;2;;;1;800000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;10;7;;1;;1;1;1;2;1;1;1;0;36;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;5;1;;1;1423500;50;5022;7212
20250731;07;2025;8283147;1;6;1;60;;2;57.990161862;08;1;5630;1;1;;;1;;1;;2;2;2;2;12;1;;2;2;2;2;1;2;800000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;40;;;2;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;3;3;;1;800000;56;5630;1412
20250731;07;2025;8283149;1;1;1;60;;2;45.273065619;08;1;113;1;1;;;1;;1;;2;2;2;2;14;1;;1;1;2;2;1;2;1000000;2;;2;;;1;30000;1;150000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;1000000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;70;;;0;3;;2;8;;2;;2;;;;2;2;1;0;7;7;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;14;;;8;;1;1180000;01;0113;1311
20250731;07;2025;8283151;1;1;1;60;;2;41.370225176;08;1;5619;2;;;;;;;;;;;;48;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;90000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;80000;1;960000;3;;3;2;12;28;2;;28;;;1;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;14;;;3;;1;80000;56;5619;7514
20250731;07;2025;8283151;1;2;1;60;;2;41.370225176;08;1;113;2;;;;;;;;;;;;14;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;900000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;820000;1;9840000;3;;1;2;12;40;;;40;;;1;8;;2;;2;;;;2;2;1;2;36;1;;1;;2;;;;;;;;2;;;;1;2;1;2;2;2;2;2;2;2;;2;1;2;2;1;2;1;1;3;;4;5;;1;820000;01;0113;6111
