PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20250313;03;2025;8144358;1;3;1;70;;2;60.904598211;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250313;03;2025;8144358;1;5;1;70;;2;60.904598211;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250313;03;2025;8144358;1;9;1;70;;2;60.904598211;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250313;03;2025;8144359;1;2;1;70;;2;44.043941198;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250313;03;2025;8144360;1;3;1;70;;2;39.040913382;08;;1;12;1;;;;48;1400000;2;;;;;;;;2;;2;;5223;;;
20250313;03;2025;8144360;1;4;1;70;;2;39.040913382;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250313;03;2025;8144361;1;2;1;70;;2;44.043941198;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250313;03;2025;8144362;1;1;1;70;;2;39.683054303;08;1;;;;;1;;40;700000;1;;96;3;3;3;1;2;2;;2;;.;9111;97;9700
20250313;03;2025;8144362;1;3;1;70;;2;39.683054303;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250313;03;2025;8144363;1;2;1;70;;2;31.936402804;08;1;;;;;;;;;1;;48;3;3;3;1;2;2;;2;;.;9111;97;9700
20250313;03;2025;8144363;1;3;1;70;;2;31.936402804;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250313;03;2025;8144364;1;2;1;70;;2;17.361436674;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250313;03;2025;8144365;1;1;1;70;;2;41.448362345;08;1;;;;;1;;40;750000;1;;74;1;3;1;3;2;2;;2;;.;5223;47;4711
20250313;03;2025;8144366;1;1;1;70;;2;21.438773026;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
