PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P7495;P7500S1;P7500S1A1;P7500S2;P7500S2A1;P7500S3;P7500S3A1;P7505;P7510S1;P7510S1A1;P7510S2;P7510S2A1;P7510S3;P7510S3A1;P750S1;P750S1A1;P750S2;P750S2A1;P1661S5;P1661S5A1;P1661S6;P1661S6A1;P1661S3;P1661S3A1;P1661S4;P1661S4A1;P1661S4A2;P750S3;P750S3A1;P7510S5;P7510S5A1;P7510S6;P7510S6A1;P7510S7;P7510S7A1;P3367;P3368;P3369;P3370;P3370S1;P3371;P3371S1;P3371S2;P3371S3;P3371S4;P3372;P3372S1
20250313;03;2025;8144358;1;1;1;90;;2;60.904598211;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144358;1;2;1;90;;2;60.904598211;08;2;;;;;;;1;2;;2;;1;1000000;;;1;1000000;1;1000000;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144358;1;3;1;90;;2;60.904598211;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144358;1;5;1;90;;2;60.904598211;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144358;1;6;1;90;;2;60.904598211;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144358;1;7;1;90;;2;60.904598211;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144358;1;9;1;90;;2;60.904598211;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144359;1;1;1;90;;2;44.043941198;08;2;;;;;;;1;2;;2;;1;3000000;;;1;3000000;1;3000000;;;;;;;;;;2;;1;1200000;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144359;1;2;1;90;;2;44.043941198;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144360;1;1;1;90;;2;39.040913382;08;2;;;;;;;1;2;;2;;1;1000000;;;1;1000000;;;;;;;1;COLOMBIA SIN HAMBRE;1000000;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144360;1;2;1;90;;2;39.040913382;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144360;1;3;1;90;;2;39.040913382;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144360;1;4;1;90;;2;39.040913382;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144361;1;1;1;90;;2;44.043941198;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144361;1;2;1;90;;2;44.043941198;08;2;;;;;;;1;2;;2;;1;200000;;;1;200000;;;;;;;1;DEVOLUCION DEL IVA;200000;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144362;1;1;1;90;;2;39.683054303;08;2;;;;;;;1;2;;2;;1;3000000;;;1;3000000;1;3000000;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144362;1;2;1;90;;2;39.683054303;08;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;2;;1;1300000;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144362;1;3;1;90;;2;39.683054303;08;2;;;;;;;1;1;1200000;2;;2;;;;;;;;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144363;1;1;1;90;;2;31.936402804;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144363;1;2;1;90;;2;31.936402804;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144363;1;3;1;90;;2;31.936402804;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144364;1;1;1;90;;2;17.361436674;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144364;1;2;1;90;;2;17.361436674;08;2;;;;;;;1;1;600000;2;;2;;;;;;;;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144365;1;1;1;90;;2;41.448362345;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144365;1;2;1;90;;2;41.448362345;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144366;1;1;1;90;;2;21.438773026;08;2;;;;;;;1;1;2800000;2;;2;;;;;;;;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144367;1;1;1;90;;2;37.381555968;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144367;1;2;1;90;;2;37.381555968;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144368;1;1;1;90;;1;831.4351315;08;2;;;;;;;1;2;;2;;1;747000;;;1;747000;;;;;;;1;COLOMBIA SIN HAMBRE;747000;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144368;1;2;1;90;;1;831.4351315;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144370;1;1;1;90;;1;990.71548391;08;2;;;;;;;1;2;;2;;1;1760000;;;1;1760000;;;;;1;1760000;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144370;1;2;1;90;;1;990.71548391;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144370;1;3;1;90;;1;990.71548391;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144370;1;4;1;90;;1;990.71548391;08;2;;;;;;;1;1;960000;2;;2;;;;;;;;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144371;1;1;1;90;;1;1466.3922823;08;2;;;;;;;1;1;6000000;2;;2;;;;;;;;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144371;1;2;1;90;;1;1466.3922823;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144372;1;1;1;90;;1;1162.8978975;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144372;1;2;1;90;;1;1162.8978975;08;2;;;;;;;1;1;500000;2;;2;;;;;;;;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144372;1;4;1;90;;1;1162.8978975;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144373;1;1;1;90;;1;1864.3191671;08;2;;;;;;;1;1;6000000;2;;2;;;;;;;;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144373;1;2;1;90;;1;1864.3191671;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144373;1;3;1;90;;1;1864.3191671;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144374;1;1;1;90;;1;1087.678024;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144374;1;2;1;90;;1;1087.678024;08;2;;;;;;;1;1;800000;2;;2;;;;;;;;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144375;1;1;1;90;;1;1606.3262699;08;2;;;;;;;1;2;;2;;1;1500000;;;1;1500000;1;1500000;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144375;1;2;1;90;;1;1606.3262699;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144375;1;3;1;90;;1;1606.3262699;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144376;1;1;1;90;;1;1536.2900426;08;2;;;;;;;1;2;;2;;1;1200000;;;1;1200000;;;;;;;1;IVA;1200000;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144376;1;2;1;90;;1;1536.2900426;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144377;1;1;1;90;;1;831.4351315;08;2;;;;;;;1;1;1200000;1;7200000;2;;;;;;;;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144377;1;2;1;90;;1;831.4351315;08;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144378;1;1;1;90;;2;178.32361924;18;2;;;;;;;1;1;2000000;2;;2;;;;;;;;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144378;1;2;1;90;;2;178.32361924;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144379;1;1;1;90;;2;164.07177476;18;1;2;;2;;1;150000;1;1;3000000;2;;2;;;;;;;;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144380;1;1;1;90;;2;622.32580932;18;2;;;;;;;1;1;3000000;2;;2;;;;;;;;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144381;1;1;1;90;;2;302.83291432;18;2;;;;;;;1;2;;2;;1;960000;;;1;960000;;;;;1;960000;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144381;1;2;1;90;;2;302.83291432;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144382;1;1;1;90;;2;426.83809964;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144382;1;2;1;90;;2;426.83809964;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144382;1;3;1;90;;2;426.83809964;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144383;1;1;1;90;;2;212.22047512;18;2;;;;;;;1;2;;2;;1;720000;;;1;720000;;;;;;;1;COLOMBIA SIN HAMBRE;720000;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144383;1;2;1;90;;2;212.22047512;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144383;1;3;1;90;;2;212.22047512;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144384;1;1;1;90;;2;216.82605989;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144385;1;1;1;90;;2;169.58730628;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144386;1;1;1;90;;2;589.82574597;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144387;1;1;1;90;;2;567.98110718;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144387;1;2;1;90;;2;567.98110718;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144388;1;1;1;90;;2;164.07177476;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144388;1;2;1;90;;2;164.07177476;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144389;1;1;1;90;;2;164.07177476;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144389;1;2;1;90;;2;164.07177476;18;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144390;1;1;1;90;;2;180.95614509;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144390;1;2;1;90;;2;180.95614509;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144391;1;1;1;90;;2;331.07984753;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144391;1;2;1;90;;2;331.07984753;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144392;1;1;1;90;;2;148.79379536;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144392;1;2;1;90;;2;148.79379536;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144393;1;1;1;90;;2;166.27448072;68;2;;;;;;;1;1;3600000;2;;2;;;;;;;;;;;;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144393;1;2;1;90;;2;166.27448072;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144394;1;1;1;90;;2;235.95462272;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144394;1;2;1;90;;2;235.95462272;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144394;1;3;1;90;;2;235.95462272;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144394;1;4;1;90;;2;235.95462272;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144395;1;1;1;90;;2;155.08779201;68;1;1;250000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144395;2;1;2;90;;2;155.08779201;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144398;1;1;1;90;;2;374.2486697;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144398;1;2;1;90;;2;374.2486697;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144398;1;3;1;90;;2;374.2486697;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144399;1;1;1;90;;2;374.78935296;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144399;1;2;1;90;;2;374.78935296;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144400;1;1;1;90;;2;110.84965381;68;1;2;;1;5900000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;450000;0;2;;2;;;;;2;
20250313;03;2025;8144400;1;2;1;90;;2;110.84965381;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144401;1;1;1;90;;2;110.84965381;68;2;;;;;;;1;1;3600000;2;;2;;;;;;;;;;;;;;;;;2;;2;;2;;1;0;0;2;;2;;;;;2;
20250313;03;2025;8144401;1;2;1;90;;2;110.84965381;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144402;1;1;1;90;;2;198.38173246;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144403;1;1;1;90;;2;82.22461095;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144403;1;2;1;90;;2;82.22461095;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144403;1;3;1;90;;2;82.22461095;68;2;;;;;;;1;2;;2;;1;960000;;;1;960000;;;;;1;960000;;;;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144404;1;1;1;90;;2;94.451140122;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144404;1;2;1;90;;2;94.451140122;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144404;1;3;1;90;;2;94.451140122;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144405;1;1;1;90;;2;188.32741072;68;2;;;;;;;1;2;;2;;1;260000;;;1;260000;;;;;;;1;DEVOLUCION DE IVA;260000;;;2;;2;;2;;2;;;2;;2;;;;;2;
20250313;03;2025;8144405;1;2;1;90;;2;188.32741072;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144405;1;3;1;90;;2;188.32741072;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144405;1;4;1;90;;2;188.32741072;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144405;1;5;1;90;;2;188.32741072;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144405;1;6;1;90;;2;188.32741072;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
