PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;FFT;PET;P6240;P6240S1;P6240S2;P6250;P6260;P6260S1;P6260S1A1;P6260S2;P6270;P6280;P3362S1;P3362S2;P3362S3;P3362S4;P3362S5;P3362S6;P3362S7;P3362S8;P3362S7A1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351
20250522;05;2025;8207971;1;1;1;50;;2;75.795526379;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207971;1;2;1;50;;2;75.795526379;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207972;1;1;1;50;;2;65.131042188;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207972;1;2;1;50;;2;65.131042188;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207973;1;1;1;50;;2;33.17781763;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207973;1;2;1;50;;2;33.17781763;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207973;1;3;1;50;;2;33.17781763;08;1;;1;4;;;2;2;;;;2;1;;1;;;;;;;;;;;;;;;1
20250522;05;2025;8207974;1;1;1;50;;2;48.741070162;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207974;1;2;1;50;;2;48.741070162;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207975;1;1;1;50;;2;51.467061636;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207975;1;2;1;50;;2;51.467061636;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207975;1;3;1;50;;2;51.467061636;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207976;1;1;1;50;;2;46.398735079;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207976;1;2;1;50;;2;46.398735079;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;1;10;;;;;;
20250522;05;2025;8207976;1;3;1;50;;2;46.398735079;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207977;1;1;1;50;;2;41.733809946;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207977;1;2;1;50;;2;41.733809946;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;1;12;;;;;;
20250522;05;2025;8207977;1;3;1;50;;2;41.733809946;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207978;1;1;1;50;;2;53.391112347;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207978;1;2;1;50;;2;53.391112347;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207978;1;3;1;50;;2;53.391112347;08;1;;1;3;;;1;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207979;1;1;1;50;;2;36.343412705;08;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207980;1;1;1;50;;2;39.118159374;08;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207981;1;1;1;50;;2;567.53350296;11;1;;1;4;;;2;2;;;;2;1;;;1;;1;;;;;;;;;;;;1
20250522;05;2025;8207981;1;2;1;50;;2;567.53350296;11;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207982;1;1;1;50;;2;242.71665119;11;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207984;1;1;1;50;;2;449.21566586;11;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207984;1;2;1;50;;2;449.21566586;11;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207985;1;1;1;50;;2;186.59799562;63;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207986;1;1;1;50;;2;98.302826034;63;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207986;1;2;1;50;;2;98.302826034;63;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207987;1;1;1;50;;2;98.302826034;63;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207987;1;2;1;50;;2;98.302826034;63;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207988;1;1;1;50;;2;98.302826034;63;;1;1;6;OIR MUSICA ESCRIBIR Y ACTIVIDADES RECREATIVAS;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207988;1;2;1;50;;2;98.302826034;63;;1;1;6;ESCRIBIR HACER MANUALIDADES;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207989;1;1;1;50;;2;98.302826034;63;;1;1;6;DE VIAJE FUERA DEL PAIS;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207989;1;2;1;50;;2;98.302826034;63;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207989;1;3;1;50;;2;98.302826034;63;;1;1;6;EN REPOSO POR CIRUGIA;;2;2;;;;2;2;;;;;;;;;;1;11;;;;;;
20250522;05;2025;8207991;1;1;1;50;;2;98.302826034;63;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207991;1;2;1;50;;2;98.302826034;63;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207991;1;3;1;50;;2;98.302826034;63;1;;1;6;VER TELEVISION;;1;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207991;1;4;1;50;;2;98.302826034;63;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207991;1;5;1;50;;2;98.302826034;63;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207992;1;1;1;50;;2;98.302826034;63;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207992;1;2;1;50;;2;98.302826034;63;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207993;1;1;1;50;;2;98.302826034;63;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207993;1;2;1;50;;2;98.302826034;63;;1;1;6;ACTIVIDADES RECREATIVAS PASEAR VER TELEVISION LEER;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207994;1;1;1;50;;2;98.302826034;63;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207994;1;2;1;50;;2;98.302826034;63;1;;1;4;;;2;2;;;;2;1;1;1;;;;;;;;;;;;;;;1
20250522;05;2025;8207995;1;1;1;50;;1;3114.8487784;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207996;1;1;1;50;;1;6088.9423992;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207996;1;2;1;50;;1;6088.9423992;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207997;1;1;1;50;;1;3114.8487784;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207998;1;1;1;50;;1;3602.8476764;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207998;1;2;1;50;;1;3602.8476764;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207998;1;3;1;50;;1;3602.8476764;05;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207998;1;4;1;50;;1;3602.8476764;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8207999;1;1;1;50;;1;8218.4090405;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207999;1;2;1;50;;1;8218.4090405;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8207999;1;3;1;50;;1;8218.4090405;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208000;1;1;1;50;;1;5190.9184793;05;1;;1;4;;;2;2;;;;2;1;1;1;;;;;;;;;;;;;;;1
20250522;05;2025;8208000;1;2;1;50;;1;5190.9184793;05;;1;1;6;ENFERMO EN LA CAMA;;2;2;;;;2;2;;;;;;;;;;1;11;;;;;;
20250522;05;2025;8208000;1;4;1;50;;1;5190.9184793;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208001;1;1;1;50;;1;3590.1327204;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208001;1;2;1;50;;1;3590.1327204;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208002;1;1;1;50;;1;3190.7140712;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208003;1;1;1;50;;1;7613.5773692;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208003;1;2;1;50;;1;7613.5773692;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208004;1;1;1;50;;1;3656.3313406;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208004;1;2;1;50;;1;3656.3313406;05;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208005;1;1;1;50;;1;5210.8429959;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208005;1;2;1;50;;1;5210.8429959;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208006;1;1;1;50;;1;5046.7262993;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208006;1;2;1;50;;1;5046.7262993;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208006;1;3;1;50;;1;5046.7262993;05;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208007;1;1;1;50;;1;5275.2027655;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208007;1;2;1;50;;1;5275.2027655;05;;1;1;6;ENFERMO EN LA CAMA;;2;2;;;;2;1;1;;;;;;;;;;;;;;;;2
20250522;05;2025;8208008;1;1;1;50;;1;5175.4458385;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208008;1;2;1;50;;1;5175.4458385;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208008;1;3;1;50;;1;5175.4458385;05;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208009;1;1;1;50;;1;6397.8403095;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208009;1;2;1;50;;1;6397.8403095;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208009;1;3;1;50;;1;6397.8403095;05;1;;1;2;;;1;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208010;1;1;1;50;;1;4263.7286956;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208010;1;2;1;50;;1;4263.7286956;05;1;;1;3;;;2;2;;;;2;2;;;;;;;;;;1;2;;2;;1;4;1
20250522;05;2025;8208011;1;1;1;50;;1;7221.7646553;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208011;1;2;1;50;;1;7221.7646553;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208011;1;3;1;50;;1;7221.7646553;05;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;1;12;;;;;;
20250522;05;2025;8208011;1;5;1;50;;1;7221.7646553;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208011;1;6;1;50;;1;7221.7646553;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208012;1;1;1;50;;1;5275.2027655;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;1;7;;1;2;;;
20250522;05;2025;8208012;1;2;1;50;;1;5275.2027655;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208013;1;1;1;50;;1;5871.3989296;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208013;1;2;1;50;;1;5871.3989296;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208014;1;1;1;50;;1;3269.043363;05;;1;1;6;ANDAR LA CALLE;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208016;1;1;1;50;;1;2735.3628484;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208017;1;1;1;50;;1;4874.5449977;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208017;1;2;1;50;;1;4874.5449977;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208017;1;3;1;50;;1;4874.5449977;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208018;1;1;1;50;;1;3185.4970575;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208018;1;2;1;50;;1;3185.4970575;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208019;1;1;1;50;;1;4559.3637181;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208019;1;2;1;50;;1;4559.3637181;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208020;1;1;1;50;;1;3324.5604744;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208021;1;1;1;50;;1;3747.14079;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208021;1;2;1;50;;1;3747.14079;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208021;1;3;1;50;;1;3747.14079;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208022;1;1;1;50;;1;3742.150259;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208022;1;2;1;50;;1;3742.150259;05;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208022;1;3;1;50;;1;3742.150259;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208022;1;4;1;50;;1;3742.150259;05;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208022;1;6;1;50;;1;3742.150259;05;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208023;1;1;1;50;;1;2363.4919046;05;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208024;1;1;1;50;;1;4453.638039;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250522;05;2025;8208024;1;2;1;50;;1;4453.638039;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250522;05;2025;8208024;1;3;1;50;;1;4453.638039;05;;1;1;6;VER TV;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250520;05;2025;8208027;1;1;1;50;;1;106.62614965;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250520;05;2025;8208027;1;2;1;50;;1;106.62614965;05;;1;1;6;DESCANSANDO REZANDO;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250520;05;2025;8208027;1;3;1;50;;1;106.62614965;05;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
