PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20250522;05;2025;8207973;1;2;1;70;;2;33.17781763;08;1;;;;;;;;;1;;72;2;4;3;1;2;2;;2;;.;9111;97;9700
20250522;05;2025;8207973;1;3;1;70;;2;33.17781763;08;;1;8;1;;;;47;1400000;1;;24;2;2;1;2;2;2;;2;;5223;5223;47;4771
20250522;05;2025;8207975;1;2;1;70;;2;51.467061636;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8207975;1;3;1;70;;2;51.467061636;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8207976;1;2;1;70;;2;46.398735079;08;1;;;;;2;4;;1200000;1;;6;3;3;1;10;2;2;;2;;.;9214;01;0125
20250522;05;2025;8207977;1;2;1;70;;2;41.733809946;08;1;;;;;2;5;;1200000;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8207977;1;3;1;70;;2;41.733809946;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8207978;1;1;1;70;;2;53.391112347;08;1;;;;;;;;;1;;48;2;3;3;1;2;2;;2;;.;9111;97;9700
20250522;05;2025;8207978;1;2;1;70;;2;53.391112347;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8207981;1;1;1;70;;2;567.53350296;11;;1;8;1;;;;47;5000000;1;;18;0;8;1;10;2;1;1;2;;2143;2143;84;8413
20250522;05;2025;8207987;1;2;1;70;;2;98.302826034;63;1;;;;;;;;;1;;6;0;4;4;1;2;2;;2;;.;5120;56;5611
20250522;05;2025;8207988;1;1;1;70;;2;98.302826034;63;1;;;;;;;;;1;;312;0;5;2;10;2;3;;2;;.;2310;85;8544
20250522;05;2025;8207988;1;2;1;70;;2;98.302826034;63;1;;;;;;;;;1;;288;0;5;2;10;2;3;;2;;.;3422;84;8413
20250522;05;2025;8207989;1;1;1;70;;2;98.302826034;63;1;;;;;;;;;1;;60;0;3;4;1;2;2;;2;;.;7422;43;4321
20250522;05;2025;8207989;1;2;1;70;;2;98.302826034;63;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8207989;1;3;1;70;;2;98.302826034;63;1;;;;;2;3;;1700000;1;;24;0;8;4;1;2;1;1;2;;.;5322;88;8899
20250522;05;2025;8207991;1;2;1;70;;2;98.302826034;63;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8207991;1;4;1;70;;2;98.302826034;63;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8207991;1;5;1;70;;2;98.302826034;63;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8207993;1;2;1;70;;2;98.302826034;63;1;;;;;;;;;1;;240;0;3;1;10;2;2;;2;;.;4321;27;2711
20250522;05;2025;8207994;1;2;1;70;;2;98.302826034;63;;1;102;1;;;;48;3000000;1;;13;0;8;1;8;2;2;;2;;5223;4132;42;4210
20250522;05;2025;8207996;1;2;1;70;;1;6088.9423992;05;1;;;;;;;;;1;;60;0;3;1;5;2;2;;2;;.;4311;69;6920
20250522;05;2025;8207998;1;1;1;70;;1;3602.8476764;05;1;;;;;;;;;1;;120;0;8;3;2;2;2;;2;;.;9111;97;9700
20250522;05;2025;8207998;1;2;1;70;;1;3602.8476764;05;1;;;;;;;;;1;;24;0;4;1;10;2;2;;2;;.;7112;42;4290
20250522;05;2025;8207998;1;3;1;70;;1;3602.8476764;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8207998;1;4;1;70;;1;3602.8476764;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8208000;1;1;1;70;;1;5190.9184793;05;;1;18;1;;;;47;2000000;1;;4;2;8;1;10;2;2;;2;;4110;4416;42;4210
20250522;05;2025;8208000;1;2;1;70;;1;5190.9184793;05;1;;;;;2;4;;1423500;1;;1;1;4;1;4;2;2;;2;;.;7112;41;4111
20250522;05;2025;8208001;1;2;1;70;;1;3590.1327204;05;1;;;;;;;;;1;;24;0;7;5;3;2;2;;1;400000;.;1412;56;5611
20250522;05;2025;8208003;1;2;1;70;;1;7613.5773692;05;1;;;;;;;;;1;;29;1;3;1;10;2;2;;2;;.;3322;61;6120
20250522;05;2025;8208004;1;2;1;70;;1;3656.3313406;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8208005;1;2;1;70;;1;5210.8429959;05;1;;;;;;;;;1;;3;0;3;1;5;2;2;;2;;.;5223;55;5511
20250522;05;2025;8208006;1;2;1;70;;1;5046.7262993;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8208006;1;3;1;70;;1;5046.7262993;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8208007;1;1;1;70;;1;5275.2027655;05;1;;;;;;;;;1;;12;1;4;3;1;2;2;;2;;.;9111;97;9700
20250522;05;2025;8208007;1;2;1;70;;1;5275.2027655;05;1;;;;;;3;;1423500;1;;0;2;4;7;2;2;2;;1;1400000;.;8111;07;0722
20250522;05;2025;8208008;1;3;1;70;;1;5175.4458385;05;1;;;;;;;;;1;;4;0;8;1;4;2;2;;2;;.;5223;47;4772
20250522;05;2025;8208009;1;2;1;70;;1;6397.8403095;05;1;;;;;;;;;1;;24;0;8;1;4;2;2;;2;;.;9112;41;4111
20250522;05;2025;8208010;1;2;1;70;;1;4263.7286956;05;;1;8;1;;;;47;1423500;2;;;;;;;;2;;2;;5223;;;
20250522;05;2025;8208011;1;3;1;70;;1;7221.7646553;05;1;;;;;2;5;;1423500;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8208011;1;6;1;70;;1;7221.7646553;05;1;;;;;;;;;1;;12;1;3;3;1;2;2;;2;;.;9111;97;9700
20250522;05;2025;8208012;1;1;1;70;;1;5275.2027655;05;1;;;;;1;;40;500000;1;;10;0;4;4;1;2;2;;2;;.;5246;47;4729
20250522;05;2025;8208014;1;1;1;70;;1;3269.043363;05;1;;;;;;;;;1;;27;1;4;4;1;2;2;;2;;.;9621;53;5320
20250522;05;2025;8208017;1;2;1;70;;1;4874.5449977;05;1;;;;;;;;;1;;5;0;3;1;10;2;2;;2;;.;5131;55;5511
20250522;05;2025;8208018;1;1;1;70;;1;3185.4970575;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8208018;1;2;1;70;;1;3185.4970575;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8208019;1;2;1;70;;1;4559.3637181;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8208020;1;1;1;70;;1;3324.5604744;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8208021;1;1;1;70;;1;3747.14079;05;1;;;;;;;;;1;;108;0;3;4;1;2;2;;1;60000;.;5120;56;5611
20250522;05;2025;8208022;1;3;1;70;;1;3742.150259;05;1;;;;;;;;;1;;4;0;3;1;6;2;2;;2;;.;5131;55;5511
20250522;05;2025;8208022;1;4;1;70;;1;3742.150259;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8208022;1;6;1;70;;1;3742.150259;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8208024;1;2;1;70;;1;4453.638039;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250522;05;2025;8208024;1;3;1;70;;1;4453.638039;05;1;;;;;;;;;1;;3;0;4;4;2;2;2;;2;;.;9313;41;4111
20250520;05;2025;8208027;1;1;1;70;;1;106.62614965;05;1;;;;;;;;;1;;60;0;3;4;1;2;2;;2;;.;5120;56;5611
20250520;05;2025;8208027;1;2;1;70;;1;106.62614965;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250520;05;2025;8208027;1;3;1;70;;1;106.62614965;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250520;05;2025;8208029;1;1;1;70;;1;328.3675433;05;1;;;;;;;;;1;;12;0;5;1;10;2;3;;2;;.;8323;49;4921
20250520;05;2025;8208029;1;2;1;70;;1;328.3675433;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208033;1;2;1;70;;1;399.84806118;05;;1;16;1;;;;24;1200000;1;;13;0;3;1;4;2;2;;2;;2642;2642;46;4649
20250518;05;2025;8208034;1;2;1;70;;1;211.38471031;05;1;;;;;;;;;1;;240;0;3;1;10;2;2;;2;;.;5230;13;1311
20250518;05;2025;8208036;1;3;1;70;;1;99.962015295;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208036;1;4;1;70;;1;99.962015295;05;1;;;;;;;;;1;;120;0;5;5;3;2;3;;2;;.;1420;47;4771
20250518;05;2025;8208037;1;1;1;70;;1;99.962015295;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208037;1;4;1;70;;1;99.962015295;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208039;1;1;1;70;;1;307.50223819;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208040;1;1;1;70;;1;215.78427384;05;1;;;;;;;;;1;;24;0;5;1;10;2;3;;2;;.;2412;64;6412
20250518;05;2025;8208040;1;2;1;70;;1;215.78427384;05;1;;;;;;;;;1;;96;0;5;1;8;2;3;;2;;.;4120;86;8621
20250518;05;2025;8208040;1;3;1;70;;1;215.78427384;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208040;1;4;1;70;;1;215.78427384;05;1;;;;;;;;;1;;5;0;2;1;4;2;2;;2;;.;5223;47;4771
20250518;05;2025;8208042;1;2;1;70;;1;265.31735539;05;1;;;;;;;;;1;;60;0;4;1;8;2;2;;2;;.;5120;56;5629
20250518;05;2025;8208045;1;3;1;70;;1;273.0925256;05;1;;;;;;;;;1;;48;0;4;1;5;2;2;;2;;.;5120;56;5611
20250518;05;2025;8208046;1;2;1;70;;1;343.7873244;05;1;;;;;;;;;1;;300;0;3;4;1;2;2;;2;;.;9111;81;8121
20250519;05;2025;8208050;1;1;1;70;;1;273.31416387;05;1;;;;;;;;;1;;120;0;5;1;10;2;3;;2;;.;9321;10;1082
20250519;05;2025;8208051;1;3;1;70;;1;234.31966453;05;1;;;;;;;;;1;;4;0;2;1;3;2;2;;2;;.;5223;47;4751
20250519;05;2025;8208051;1;4;1;70;;1;234.31966453;05;1;;;;;;;;;1;;5;0;2;1;5;2;2;;2;;.;7221;25;2511
20250519;05;2025;8208052;1;2;1;70;;1;149.94302294;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250519;05;2025;8208055;1;3;1;70;;1;200.65529382;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250519;05;2025;8208055;1;4;1;70;;1;200.65529382;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250519;05;2025;8208056;1;4;1;70;;1;200.65529382;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208057;1;5;1;70;;1;447.43719222;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208058;1;3;1;70;05;1;958.02376825;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208059;1;3;1;70;05;1;1746.5772134;05;1;;;;;2;5;;1623000;1;;2;0;4;4;1;2;3;;2;;.;8324;49;4921
20250518;05;2025;8208061;1;1;1;70;05;1;967.36790226;05;1;;;;;;;;;1;;36;0;5;2;10;2;3;;2;;.;2142;84;8412
20250518;05;2025;8208061;1;2;1;70;05;1;967.36790226;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208062;1;1;1;70;05;1;1062.8498653;05;1;;;;;;;;;1;;240;0;4;2;10;2;2;;2;;.;2131;84;8422
20250518;05;2025;8208062;1;2;1;70;05;1;1062.8498653;05;1;;;;;;;;;1;;4;0;8;1;4;2;2;;2;;.;9321;47;4719
20250518;05;2025;8208063;1;1;1;70;05;1;5305.0025467;05;1;;;;;;;;;1;;72;0;5;1;10;2;3;;2;;.;7223;25;2511
20250518;05;2025;8208063;1;2;1;70;05;1;5305.0025467;05;1;;;;;;;;;1;;480;0;3;1;10;2;2;;2;;.;8160;10;1081
20250518;05;2025;8208067;1;2;1;70;05;1;909.51170423;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208069;1;2;1;70;05;1;967.36790226;05;1;;;;;;;;;1;;12;0;5;1;3;2;3;;2;;.;4120;47;4761
20250518;05;2025;8208071;1;3;1;70;05;1;889.4025246;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208071;1;5;1;70;05;1;889.4025246;05;1;;;;;;;;;1;;36;0;6;7;3;2;2;;2;;.;9212;01;0141
20250518;05;2025;8208073;1;1;1;70;05;1;1343.5665309;05;1;;;;;;;;;1;;48;0;5;2;10;2;3;;2;;.;2423;84;8413
