PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20251044;10;2025;8374096;1;3;1;70;;2;20.425814514;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251044;10;2025;8374096;1;6;1;70;;2;20.425814514;08;1;;;;;;;;;1;;360;1;3;1;9;2;2;;2;;.;4120;46;4664
20251044;10;2025;8374106;1;1;1;70;;2;163.42353174;63;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251044;10;2025;8374106;1;2;1;70;;2;163.42353174;63;1;;;;;;;;;2;;;;;;;;3;;1;1600000;.;.;;.
20251044;10;2025;8374107;1;2;1;70;;2;174.37650303;63;1;;;;;;;;;1;;12;0;3;1;2;2;2;;2;;.;5223;47;4772
20251044;10;2025;8374108;1;3;1;70;;2;305.27164591;63;1;;;;;;;;;1;;24;0;3;4;1;2;2;;2;;.;2651;23;2393
20251044;10;2025;8374109;1;3;1;70;;2;113.44359465;63;1;;;;;;;;;1;;12;0;9;1;4;2;2;;2;;.;5131;56;5613
20251044;10;2025;8374110;1;1;1;70;;2;113.44359465;63;1;;;;;;;;;1;;120;0;9;4;1;2;2;;2;;.;5212;56;5619
20251044;10;2025;8374111;1;1;1;70;;2;113.44359465;63;1;;;;;;;;;1;;150;0;4;3;1;2;2;;2;;.;9111;97;9700
20251044;10;2025;8374112;1;2;1;70;;2;309.35392168;63;1;;;;;1;;30;1423500;2;;;;;;;;2;;2;;.;.;;.
20251044;10;2025;8374113;1;1;1;70;;2;113.44359465;63;1;;;;;;;;;1;;72;0;4;7;2;2;2;;2;;.;9211;01;0123
20251044;10;2025;8374114;1;1;1;70;;2;113.44359465;63;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251044;10;2025;8374116;1;1;1;70;;2;234.63808905;63;1;;;;;1;;30;350000;1;;12;0;3;3;1;2;2;;2;;.;9111;97;9700
20251044;10;2025;8374117;1;1;1;70;;2;293.51456432;63;;1;8;7;;;;46;1423500;1;;2;0;8;7;2;2;2;;2;;7544;7544;01;0123
